,Date,Open,Close
0,1996-01-01,3.03,2.98
1,1996-01-02,2.98,2.975
2,1996-01-03,2.975,2.985
3,1996-01-04,2.985,2.965
4,1996-01-05,2.965,2.96
5,1996-01-08,2.96,2.925
6,1996-01-09,2.925,2.83
7,1996-01-10,2.83,2.84
8,1996-01-11,2.84,2.83
9,1996-01-12,2.83,2.825
10,1996-01-15,2.825,2.79
11,1996-01-16,2.79,2.74
12,1996-01-17,2.74,2.655
13,1996-01-18,2.655,2.64
14,1996-01-19,2.64,2.555
15,1996-01-22,2.555,2.545
16,1996-01-23,2.545,2.53
17,1996-01-24,2.53,2.465
18,1996-01-25,2.465,2.435
19,1996-01-29,2.435,2.485
20,1996-01-30,2.485,2.52
21,1996-01-31,2.52,2.59
22,1996-02-01,2.59,2.78
23,1996-02-02,2.78,2.915
24,1996-02-05,2.915,2.995
25,1996-02-06,2.995,2.975
26,1996-02-07,2.975,2.865
27,1996-02-08,2.865,3.045
28,1996-02-09,3.045,3.65
29,1996-02-12,3.65,3.51
30,1996-02-13,3.6,3.45
31,1996-02-14,3.45,3.71
32,1996-02-15,3.71,3.685
33,1996-02-16,3.685,3.56
34,1996-02-19,3.56,3.515
35,1996-02-20,3.515,3.365
36,1996-02-22,3.365,3.425
37,1996-02-23,3.425,3.42
38,1996-02-26,3.42,3.385
39,1996-02-27,3.39,3.395
40,1996-02-28,3.395,3.325
41,1996-02-29,3.3,3.065
42,1996-03-01,3.065,3.11
43,1996-03-04,3.11,3.065
44,1996-03-06,3.065,3.1
45,1996-03-07,3.1,3.06
46,1996-03-08,3.06,3.05
47,1996-03-11,3.05,2.995
48,1996-03-12,2.995,2.955
49,1996-03-13,2.955,3.08
50,1996-03-14,3.08,3.07
51,1996-03-15,3.1,3.0
52,1996-03-18,3.0,2.985
53,1996-03-19,2.985,2.955
54,1996-03-21,2.955,3.005
55,1996-03-22,3.005,2.995
56,1996-03-25,2.995,3.025
57,1996-03-26,3.025,3.045
58,1996-03-27,3.045,3.1
59,1996-03-28,3.1,3.21
60,1996-03-29,3.21,3.245
61,1996-04-01,3.245,3.29
62,1996-04-02,3.29,3.4
63,1996-04-03,3.4,3.49
64,1996-04-04,3.49,3.405
65,1996-04-08,3.405,3.45
66,1996-04-09,3.45,3.385
67,1996-04-10,3.385,3.285
68,1996-04-11,3.25,3.335
69,1996-04-12,3.335,3.35
70,1996-04-15,3.41,3.425
71,1996-04-16,3.42,3.375
72,1996-04-17,3.375,3.505
73,1996-04-18,3.55,3.655
74,1996-04-19,3.7,3.845
75,1996-04-22,4.0,3.77
76,1996-04-23,3.77,3.71
77,1996-04-24,3.895,3.845
78,1996-04-25,3.9,3.685
79,1996-04-26,3.685,3.7
80,1996-04-29,3.7,3.685
81,1996-04-30,3.685,3.545
82,1996-05-01,3.545,3.625
83,1996-05-02,3.68,3.565
84,1996-05-03,3.565,3.5
85,1996-05-06,3.5,3.38
86,1996-05-07,3.38,3.415
87,1996-05-08,3.2,3.485
88,1996-05-09,3.485,3.405
89,1996-05-10,3.405,3.385
90,1996-05-13,3.385,3.42
91,1996-05-14,3.485,3.425
92,1996-05-15,3.425,3.48
93,1996-05-16,3.48,3.575
94,1996-05-17,3.55,3.53
95,1996-05-20,3.475,3.405
96,1996-05-21,3.4,3.335
97,1996-05-22,3.335,3.375
98,1996-05-23,3.4,3.35
99,1996-05-24,3.35,3.385
100,1996-05-27,3.385,3.34
101,1996-05-28,3.34,3.39
102,1996-05-29,3.39,3.445
103,1996-05-30,3.5,3.41
104,1996-05-31,3.41,3.415
105,1996-06-03,3.415,3.45
106,1996-06-04,3.45,3.4
107,1996-06-05,3.4,3.405
108,1996-06-06,3.445,3.435
109,1996-06-07,3.42,3.435
110,1996-06-10,3.465,3.44
111,1996-06-11,3.47,3.43
112,1996-06-12,3.45,3.51
113,1996-06-13,3.51,3.875
114,1996-06-14,3.925,4.045
115,1996-06-17,4.05,3.87
116,1996-06-18,3.85,3.83
117,1996-06-19,3.935,3.8
118,1996-06-20,3.75,3.765
119,1996-06-21,3.7,3.68
120,1996-06-24,3.71,3.66
121,1996-06-25,3.675,3.64
