Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-07-01,1.52,1.59,1.52,1.58,87810,0.0,0.0
2002-07-02,1.52,1.62,1.52,1.6,588615,0.0,0.0
2002-07-03,1.58,1.62,1.56,1.61,162075,0.0,0.0
2002-07-04,1.61,1.66,1.61,1.63,266625,0.0,0.0
2002-07-05,1.66,1.77,1.66,1.71,408600,0.0,0.0
2002-07-08,1.7,1.76,1.7,1.74,165600,0.0,0.0
2002-07-09,1.73,1.75,1.7,1.72,74835,0.0,0.0
2002-07-10,1.7,1.75,1.68,1.74,93675,0.0,0.0
2002-07-11,2.22,2.22,2.05,2.2,61380,5.5,0.0
2002-07-12,2.23,2.23,2.17,2.18,63405,0.0,0.0
2002-07-15,2.21,2.21,2.11,2.13,42795,0.0,0.0
2002-07-16,2.17,2.17,2.11,2.12,107070,0.0,0.0
2002-07-17,2.1,2.1,2.02,2.05,114600,0.0,0.0
2002-07-18,2.14,2.14,1.96,2.06,88500,0.0,0.0
2002-07-19,2.03,2.07,1.9,2.02,104325,0.0,0.0
2002-07-22,2.01,2.06,1.98,2.03,86790,0.0,0.0
2002-07-23,2.04,2.07,2.01,2.04,52935,0.0,0.0
2002-07-24,1.9,2.1,1.9,2.05,34530,0.0,0.0
2002-07-25,2.0,2.16,2.0,2.11,188115,0.0,0.0
2002-07-26,2.11,2.14,2.04,2.08,420480,0.0,0.0
2002-07-29,2.09,2.16,2.02,2.04,235215,0.0,0.0
2002-07-30,2.05,2.07,1.95,1.97,70515,0.0,0.0
2002-07-31,1.84,2.09,1.84,2.01,247245,0.0,0.0
2002-08-01,2.05,2.05,1.96,1.99,36225,0.0,0.0
2002-08-02,1.89,2.01,1.89,1.98,18165,0.0,0.0
2002-08-05,1.95,2.02,1.95,2.02,95790,0.0,0.0
2002-08-06,2.01,2.04,2.01,2.01,72615,0.0,0.0
2002-08-07,1.96,2.06,1.96,2.04,64575,0.0,0.0
2002-08-08,2.04,2.06,2.02,2.05,130245,0.0,0.0
2002-08-09,1.99,2.06,1.99,2.05,62790,0.0,0.0
2002-08-12,2.02,2.07,2.02,2.04,31755,0.0,0.0
2002-08-13,2.02,2.07,2.02,2.05,64410,0.0,0.0
2002-08-14,1.96,2.31,1.96,2.04,71940,0.0,0.0
2002-08-16,2.03,2.07,2.02,2.03,44520,0.0,0.0
2002-08-19,2.01,2.06,1.96,1.99,203220,0.0,0.0
2002-08-20,2.01,2.1,2.0,2.08,137910,0.0,0.0
2002-08-21,2.1,2.11,2.03,2.05,95760,0.0,0.0
2002-08-22,2.04,2.07,1.98,2.06,73305,0.0,0.0
2002-08-23,2.05,2.07,2.04,2.06,118755,0.0,0.0
2002-08-26,2.04,2.09,2.04,2.06,83790,0.0,0.0
2002-08-27,2.09,2.1,2.06,2.06,57975,0.0,0.0
2002-08-28,2.11,2.11,2.06,2.07,96015,0.0,0.0
2002-08-29,2.06,2.09,2.05,2.08,147930,0.0,0.0
2002-08-30,2.07,2.09,2.07,2.08,30945,0.0,0.0
2002-09-02,2.08,2.11,2.06,2.08,48225,0.0,0.0
2002-09-03,2.1,2.11,2.04,2.1,133830,0.0,0.0
2002-09-04,2.09,2.1,2.08,2.08,12720,0.0,0.0
2002-09-05,2.15,2.28,2.12,2.14,324420,0.0,0.0
2002-09-06,2.14,2.17,2.12,2.15,104160,0.0,0.0
2002-09-09,2.28,2.28,2.08,2.1,44100,0.0,0.0
2002-09-11,2.12,2.13,2.07,2.08,318075,0.0,0.0
2002-09-12,2.13,2.13,2.08,2.09,75300,0.0,0.0
2002-09-13,2.02,2.11,2.02,2.1,22545,0.0,0.0
2002-09-16,2.07,2.11,2.07,2.09,72045,0.0,0.0
2002-09-17,2.09,2.1,2.08,2.09,31845,0.0,0.0
2002-09-18,2.09,2.11,2.09,2.1,57960,0.0,0.0
2002-09-19,2.11,2.12,2.07,2.11,287775,0.0,0.0
2002-09-20,2.2,2.2,2.08,2.09,25680,0.0,0.0
2002-09-23,2.08,2.1,2.07,2.07,18975,0.0,0.0
2002-09-24,2.08,2.14,2.07,2.13,503745,0.0,0.0
2002-09-25,2.1,2.11,2.08,2.09,10275,0.0,0.0
2002-09-26,2.26,2.26,2.08,2.09,7785,0.0,0.0
2002-09-27,2.13,2.13,2.09,2.1,15315,0.0,0.0
2002-09-30,2.2,2.2,2.08,2.09,27465,0.0,0.0
2002-10-01,2.08,2.1,2.07,2.08,12840,0.0,0.0
2002-10-03,2.07,2.11,2.07,2.1,46560,0.0,0.0
2002-10-04,2.11,2.13,2.08,2.11,42345,0.0,0.0
2002-10-07,1.98,2.11,1.98,2.11,82650,0.0,0.0
2002-10-08,2.04,2.14,2.04,2.1,769245,0.0,0.0
2002-10-09,2.09,2.11,2.08,2.09,85935,0.0,0.0
2002-10-10,2.1,2.11,2.08,2.09,76920,0.0,0.0
2002-10-11,2.09,2.11,2.08,2.1,28455,0.0,0.0
2002-10-14,2.13,2.13,2.07,2.08,80130,0.0,0.0
2002-10-16,2.11,2.11,2.07,2.08,1001205,0.0,0.0
2002-10-17,2.13,2.13,2.09,2.1,486090,0.0,0.0
2002-10-18,2.13,2.13,2.07,2.08,80985,0.0,0.0
2002-10-21,2.59,2.62,2.55,2.59,319500,4.5,0.0
2002-10-22,2.64,2.64,2.53,2.59,449505,0.0,0.0
2002-10-23,2.55,2.63,2.55,2.59,105795,0.0,0.0
2002-10-24,2.57,2.62,2.57,2.59,121560,0.0,0.0
2002-10-25,2.61,2.61,2.55,2.58,396735,0.0,0.0
2002-10-28,2.55,2.56,2.51,2.54,348720,0.0,0.0
2002-10-29,2.51,2.54,2.51,2.52,37365,0.0,0.0
2002-10-30,2.51,2.51,2.46,2.48,182820,0.0,0.0
2002-10-31,2.5,2.51,2.49,2.5,33030,0.0,0.0
2002-11-01,2.51,2.51,2.44,2.46,67995,0.0,0.0
2002-11-04,2.49,2.56,2.49,2.55,11865,0.0,0.0
2002-11-05,2.52,2.57,2.52,2.56,26295,0.0,0.0
2002-11-07,2.6,2.6,2.45,2.46,234735,0.0,0.0
2002-11-08,2.49,2.49,2.47,2.47,131475,0.0,0.0
2002-11-11,2.49,2.5,2.42,2.45,161295,0.0,0.0
2002-11-12,2.46,2.46,2.43,2.44,20775,0.0,0.0
2002-11-13,2.46,2.48,2.44,2.48,33360,0.0,0.0
2002-11-14,2.47,2.56,2.47,2.53,60870,0.0,0.0
2002-11-15,2.53,2.55,2.48,2.5,13110,0.0,0.0
2002-11-18,2.49,2.51,2.46,2.46,27525,0.0,0.0
2002-11-20,2.46,2.48,2.44,2.45,46080,0.0,0.0
2002-11-21,2.46,2.51,2.46,2.49,45675,0.0,0.0
2002-11-22,2.51,2.52,2.51,2.51,19215,0.0,0.0
2002-11-25,2.51,2.53,2.51,2.51,34650,0.0,0.0
2002-11-26,2.53,2.54,2.51,2.52,27495,0.0,0.0
2002-11-27,2.54,2.54,2.51,2.52,24015,0.0,0.0
2002-11-28,2.51,2.52,2.51,2.52,21945,0.0,0.0
2002-11-29,2.49,2.52,2.46,2.48,194625,0.0,0.0
2002-12-02,2.5,2.51,2.47,2.5,171555,0.0,0.0
2002-12-03,2.51,2.51,2.48,2.49,925215,0.0,0.0
2002-12-04,2.49,2.51,2.48,2.5,6705,0.0,0.0
2002-12-05,2.56,2.89,2.5,2.51,23775,0.0,0.0
2002-12-06,2.53,2.54,2.51,2.52,61455,0.0,0.0
2002-12-09,2.51,2.54,2.5,2.52,35655,0.0,0.0
2002-12-10,2.47,2.52,2.47,2.51,2556705,0.0,0.0
2002-12-11,2.52,2.55,2.5,2.51,1027050,0.0,0.0
2002-12-12,2.51,2.55,2.49,2.53,281640,0.0,0.0
2002-12-13,2.51,2.6,2.5,2.54,179070,0.0,0.0
2002-12-16,2.53,2.54,2.49,2.51,49470,0.0,0.0
2002-12-17,2.5,2.52,2.5,2.51,23265,0.0,0.0
2002-12-18,2.58,2.58,2.51,2.53,33705,0.0,0.0
2002-12-19,2.51,2.54,2.51,2.53,662415,0.0,0.0
2002-12-20,2.4,2.54,2.4,2.51,25080,0.0,0.0
2002-12-23,2.51,2.52,2.47,2.48,36885,0.0,0.0
2002-12-24,2.51,2.51,2.45,2.46,147645,0.0,0.0
2002-12-26,2.47,2.51,2.44,2.49,83250,0.0,0.0
2002-12-27,2.47,2.5,2.46,2.48,9375,0.0,0.0
2002-12-30,2.5,2.51,2.47,2.48,26310,0.0,0.0
2002-12-31,2.48,2.5,2.47,2.48,82995,0.0,0.0
2003-01-01,2.47,2.48,2.47,2.48,12885,0.0,0.0
2003-01-02,2.47,2.5,2.47,2.49,15960,0.0,0.0
2003-01-03,2.5,2.53,2.49,2.49,21945,0.0,0.0
2003-01-06,2.5,2.51,2.48,2.51,25155,0.0,0.0
2003-01-07,2.5,2.52,2.5,2.52,33825,0.0,0.0
2003-01-08,2.52,2.52,2.51,2.52,114570,0.0,0.0
2003-01-09,2.52,2.53,2.49,2.52,51555,0.0,0.0
2003-01-10,2.52,2.53,2.5,2.52,30540,0.0,0.0
2003-01-13,2.82,2.82,2.49,2.51,59040,0.0,0.0
2003-01-14,2.54,2.57,2.53,2.56,45600,0.0,0.0
2003-01-15,2.54,2.58,2.47,2.5,50295,0.0,0.0
2003-01-16,2.36,2.57,2.36,2.56,150120,0.0,0.0
2003-01-17,2.55,2.56,2.54,2.55,89235,0.0,0.0
2003-01-20,2.56,2.56,2.53,2.55,29775,0.0,0.0
2003-01-21,2.37,2.57,2.36,2.55,31245,0.0,0.0
2003-01-22,2.57,2.57,2.54,2.56,207600,0.0,0.0
2003-01-23,2.57,2.57,2.52,2.54,61650,0.0,0.0
2003-01-24,2.53,2.55,2.53,2.55,60285,0.0,0.0
2003-01-27,2.52,2.55,2.49,2.52,23250,0.0,0.0
2003-01-28,2.52,2.56,2.52,2.53,60855,0.0,0.0
2003-01-29,2.54,2.54,2.48,2.51,33105,0.0,0.0
2003-01-30,2.51,2.52,2.48,2.51,17520,0.0,0.0
2003-01-31,2.49,2.52,2.47,2.48,26985,0.0,0.0
2003-02-03,2.44,2.53,2.44,2.47,54750,0.0,0.0
2003-02-04,2.46,2.5,2.46,2.5,18540,0.0,0.0
2003-02-05,2.47,2.52,2.47,2.51,108795,0.0,0.0
2003-02-06,2.5,2.51,2.49,2.51,49860,0.0,0.0
2003-02-07,2.48,2.5,2.48,2.5,24570,0.0,0.0
2003-02-10,2.47,2.51,2.45,2.48,20490,0.0,0.0
2003-02-11,2.51,2.51,2.47,2.48,22020,0.0,0.0
2003-02-12,2.5,2.5,2.47,2.49,4545,0.0,0.0
2003-02-14,2.47,2.48,2.44,2.47,46095,0.0,0.0
2003-02-17,2.46,2.5,2.44,2.46,21525,0.0,0.0
2003-02-18,2.47,2.5,2.44,2.44,66765,0.0,0.0
2003-02-19,2.47,2.47,2.44,2.46,47265,0.0,0.0
2003-02-20,2.45,2.47,2.44,2.47,149370,0.0,0.0
2003-02-21,2.47,2.48,2.46,2.47,34065,0.0,0.0
2003-02-24,2.49,2.49,2.45,2.45,13755,0.0,0.0
2003-02-25,2.45,2.47,2.45,2.47,22545,0.0,0.0
2003-02-26,2.47,2.47,2.44,2.44,16515,0.0,0.0
2003-02-27,2.44,2.47,2.44,2.45,10200,0.0,0.0
2003-02-28,2.45,2.47,2.4,2.42,45405,0.0,0.0
2003-03-03,2.46,2.46,2.39,2.4,122715,0.0,0.0
2003-03-04,2.47,2.47,2.37,2.38,58515,0.0,0.0
2003-03-05,2.43,2.43,2.36,2.37,212100,0.0,0.0
2003-03-06,2.39,2.4,2.38,2.39,16500,0.0,0.0
2003-03-07,2.39,2.45,2.38,2.44,49020,0.0,0.0
2003-03-10,2.47,2.52,2.44,2.5,97065,0.0,0.0
2003-03-11,2.47,2.54,2.47,2.53,568125,0.0,0.0
2003-03-12,2.51,2.52,2.5,2.52,31560,0.0,0.0
2003-03-13,2.51,2.54,2.5,2.53,41265,0.0,0.0
2003-03-17,2.52,2.55,2.49,2.52,76605,0.0,0.0
2003-03-19,2.55,2.73,2.51,2.58,314415,0.0,0.0
2003-03-20,2.55,2.63,2.54,2.62,142350,0.0,0.0
2003-03-21,2.62,2.63,2.61,2.63,190095,0.0,0.0
2003-03-24,2.55,2.66,2.55,2.65,279615,0.0,0.0
2003-03-25,2.63,2.64,2.57,2.6,229980,0.0,0.0
2003-03-26,2.6,2.6,2.57,2.58,19845,0.0,0.0
2003-03-27,2.56,2.59,2.55,2.58,30765,0.0,0.0
2003-03-28,2.55,2.55,2.52,2.54,12105,0.0,0.0
2003-03-31,2.53,2.55,2.5,2.51,179940,0.0,0.0
2003-04-01,2.46,2.51,2.44,2.5,23235,0.0,0.0
