Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-11-27,0.43,0.43,0.33,0.42,21000,0.0,0.0
1998-11-30,0.4,0.4,0.38,0.39,132000,0.0,0.0
1998-12-01,0.4,0.42,0.39,0.41,123500,0.0,0.0
1998-12-02,0.41,0.42,0.41,0.41,75500,0.0,0.0
1998-12-03,0.42,0.43,0.41,0.41,102000,0.0,0.0
1998-12-04,0.41,0.42,0.4,0.41,71000,0.0,0.0
1998-12-07,0.41,0.42,0.41,0.41,26000,0.0,0.0
1998-12-08,0.41,0.42,0.4,0.4,32500,0.0,0.0
1998-12-09,0.4,0.41,0.4,0.4,15000,0.0,0.0
1998-12-10,0.4,0.4,0.39,0.39,36000,0.0,0.0
1998-12-11,0.39,0.4,0.38,0.39,37500,0.0,0.0
1998-12-14,0.4,0.4,0.39,0.39,18500,0.0,0.0
1998-12-15,0.39,0.39,0.39,0.39,8500,0.0,0.0
1998-12-16,0.38,0.39,0.38,0.38,43000,0.0,0.0
1998-12-17,0.37,0.38,0.37,0.38,14000,0.0,0.0
1998-12-18,0.37,0.38,0.37,0.37,72500,0.0,0.0
1998-12-21,0.39,0.39,0.37,0.37,35500,0.0,0.0
1998-12-22,0.38,0.38,0.37,0.37,22000,0.0,0.0
1998-12-23,0.37,0.38,0.37,0.37,20000,0.0,0.0
1998-12-24,0.36,0.37,0.36,0.37,29000,0.0,0.0
1998-12-28,0.37,0.38,0.37,0.37,11000,0.0,0.0
1998-12-29,0.37,0.38,0.37,0.37,24000,0.0,0.0
1998-12-30,0.38,0.43,0.38,0.42,47000,0.0,0.0
1998-12-31,0.42,0.42,0.39,0.4,48500,0.0,0.0
1999-01-01,0.41,0.41,0.4,0.4,337500,0.0,0.0
1999-01-04,0.42,0.43,0.42,0.42,50000,0.0,0.0
1999-01-05,0.41,0.41,0.39,0.39,44000,0.0,0.0
1999-01-06,0.4,0.4,0.39,0.39,47000,0.0,0.0
1999-01-07,0.39,0.44,0.39,0.41,104000,0.0,0.0
1999-01-08,0.42,0.43,0.42,0.42,220000,0.0,0.0
1999-01-11,0.44,0.45,0.42,0.43,172500,0.0,0.0
1999-01-12,0.42,0.44,0.41,0.42,47500,0.0,0.0
1999-01-13,0.42,0.42,0.42,0.42,25500,0.0,0.0
1999-01-14,0.41,0.42,0.4,0.41,9000,0.0,0.0
1999-01-15,0.42,0.42,0.38,0.39,31000,0.0,0.0
1999-01-18,0.39,0.4,0.39,0.4,9000,0.0,0.0
1999-01-19,0.41,0.41,0.4,0.4,7500,0.0,0.0
1999-01-21,0.38,0.4,0.36,0.4,10500,0.0,0.0
1999-01-22,0.4,0.41,0.39,0.4,4500,0.0,0.0
1999-01-25,0.4,0.4,0.38,0.4,15500,0.0,0.0
1999-01-27,0.39,0.39,0.38,0.39,5000,0.0,0.0
1999-01-28,0.39,0.4,0.39,0.39,8500,0.0,0.0
1999-01-29,0.39,0.4,0.37,0.37,37000,0.0,0.0
1999-02-01,0.38,0.38,0.38,0.38,7500,0.0,0.0
1999-02-02,0.39,0.39,0.37,0.39,34500,0.0,0.0
1999-02-03,0.4,0.4,0.39,0.39,60500,0.0,0.0
1999-02-04,0.39,0.39,0.38,0.38,30000,0.0,0.0
1999-02-05,0.39,0.39,0.37,0.38,27500,0.0,0.0
1999-02-08,0.38,0.38,0.38,0.38,9500,0.0,0.0
1999-02-09,0.37,0.38,0.37,0.37,9000,0.0,0.0
1999-02-10,0.39,0.39,0.37,0.37,13000,0.0,0.0
1999-02-11,0.38,0.38,0.37,0.37,23000,0.0,0.0
1999-02-12,0.37,0.38,0.37,0.37,86500,0.0,0.0
1999-02-15,0.37,0.37,0.37,0.37,3500,0.0,0.0
1999-02-16,0.38,0.38,0.37,0.37,4000,0.0,0.0
1999-02-17,0.37,0.38,0.37,0.37,3000,0.0,0.0
1999-02-18,0.36,0.38,0.36,0.37,55000,0.0,0.0
1999-02-19,0.37,0.37,0.35,0.37,47500,0.0,0.0
1999-02-22,0.38,0.38,0.34,0.37,3500,0.0,0.0
1999-02-23,0.36,0.36,0.35,0.35,12500,0.0,0.0
1999-02-24,0.35,0.35,0.34,0.35,21000,0.0,0.0
1999-02-25,0.36,0.36,0.35,0.35,12500,0.0,0.0
1999-02-26,0.35,0.35,0.35,0.35,13500,0.0,0.0
1999-03-01,0.35,0.35,0.34,0.35,50000,0.0,0.0
1999-03-03,0.37,0.43,0.37,0.43,102500,0.0,0.0
1999-03-04,0.43,0.43,0.38,0.41,284000,0.0,0.0
1999-03-05,0.43,0.43,0.39,0.4,271000,0.0,0.0
1999-03-08,0.45,0.45,0.4,0.4,212000,0.0,0.0
1999-03-09,0.44,0.44,0.39,0.39,119000,0.0,0.0
1999-03-10,0.36,0.39,0.36,0.39,19000,0.0,0.0
1999-03-11,0.38,0.39,0.37,0.37,61500,0.0,0.0
1999-03-12,0.37,0.37,0.34,0.35,69500,0.0,0.0
1999-03-15,0.37,0.37,0.35,0.35,49500,0.0,0.0
1999-03-16,0.36,0.37,0.34,0.35,66000,0.0,0.0
1999-03-17,0.37,0.37,0.35,0.35,13500,0.0,0.0
1999-03-19,0.35,0.35,0.34,0.34,67000,0.0,0.0
1999-03-22,0.35,0.35,0.34,0.34,61500,0.0,0.0
1999-03-23,0.35,0.35,0.34,0.35,45000,0.0,0.0
1999-03-24,0.34,0.35,0.34,0.34,51500,0.0,0.0
1999-03-26,0.33,0.34,0.32,0.32,53000,0.0,0.0
1999-03-30,0.34,0.34,0.32,0.33,23000,0.0,0.0
1999-03-31,0.34,0.35,0.34,0.34,7500,0.0,0.0
1999-04-01,0.32,0.34,0.32,0.34,4500,0.0,0.0
1999-04-05,0.34,0.34,0.32,0.32,9500,0.0,0.0
1999-04-06,0.34,0.34,0.32,0.32,11500,0.0,0.0
1999-04-07,0.33,0.33,0.32,0.32,10000,0.0,0.0
1999-04-08,0.32,0.33,0.32,0.32,13000,0.0,0.0
1999-04-09,0.32,0.33,0.32,0.32,9000,0.0,0.0
1999-04-12,0.32,0.32,0.32,0.32,1500,0.0,0.0
1999-04-13,0.32,0.32,0.32,0.32,5500,0.0,0.0
