Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-07-01,14.66,15.28,14.42,14.98,831760.0,0.0,0.0
2002-07-02,14.42,15.32,14.42,15.28,664008.0,0.0,0.0
2002-07-03,15.5,15.5,15.04,15.13,564071.0,0.0,0.0
2002-07-04,15.39,15.6,15.17,15.5,1127138.0,0.0,0.0
2002-07-05,15.09,15.26,14.64,14.72,886627.0,0.0,0.0
2002-07-08,14.74,14.94,14.53,14.64,561512.0,0.0,0.0
2002-07-09,14.77,14.79,14.4,14.44,645430.0,0.0,0.0
2002-07-10,14.72,14.83,14.36,14.4,824759.0,0.0,0.0
2002-07-11,14.64,14.64,13.99,14.03,1085299.0,0.0,0.0
2002-07-12,14.29,14.29,13.75,13.82,1190588.0,0.0,0.0
2002-07-15,13.78,13.93,13.62,13.69,601900.0,0.0,0.0
2002-07-16,13.32,13.78,13.32,13.67,481133.0,0.0,0.0
2002-07-17,13.6,13.75,13.37,13.45,481362.0,0.0,0.0
2002-07-18,13.82,13.88,13.56,13.6,242271.0,0.0,0.0
2002-07-19,13.73,13.75,13.56,13.6,268673.0,0.0,0.0
2002-07-22,13.69,13.73,13.34,13.54,422785.0,0.0,0.0
2002-07-23,13.56,13.56,13.15,13.39,476781.0,0.0,0.0
2002-07-24,13.43,13.43,13.13,13.26,245519.0,0.0,0.0
2002-07-25,13.56,13.78,13.41,13.43,386193.0,0.0,0.0
2002-07-26,13.17,13.34,12.98,13.13,429509.0,0.0,0.0
2002-07-29,13.56,13.56,13.02,13.13,482231.0,0.0,0.0
2002-07-30,13.56,13.56,13.06,13.11,458985.0,0.0,0.0
2002-07-31,13.13,13.6,12.61,13.5,930917.0,0.0,0.0
2002-08-01,13.34,13.39,12.87,13.02,605368.0,0.0,0.0
2002-08-02,12.96,13.04,12.83,12.98,275206.0,0.0,0.0
2002-08-05,13.04,13.13,12.96,13.0,130495.0,0.0,0.0
2002-08-06,13.06,13.06,12.87,12.91,265439.0,0.0,0.0
2002-08-07,13.11,13.15,12.83,12.91,289382.0,0.0,0.0
