Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-01-02,1.31,1.31,1.31,1.31,1500,0.0,0.0
1996-01-03,1.32,1.32,1.3,1.3,3000,0.0,0.0
1996-01-05,1.32,1.32,1.3,1.3,6000,0.0,0.0
1996-01-08,1.28,1.3,1.28,1.3,3000,0.0,0.0
1996-01-10,1.25,1.25,1.25,1.25,1500,0.0,0.0
1996-01-16,1.25,1.25,1.2,1.2,3000,0.0,0.0
1996-01-18,1.2,1.2,1.17,1.17,3000,0.0,0.0
1996-01-19,1.22,1.22,1.22,1.22,1500,0.0,0.0
1996-01-23,1.22,1.22,1.19,1.22,15000,0.0,0.0
1996-01-24,1.22,1.22,1.22,1.22,6000,0.0,0.0
1996-01-25,1.24,1.24,1.24,1.24,1500,0.0,0.0
1996-01-29,1.2,1.2,1.2,1.2,1500,0.0,0.0
1996-01-30,1.22,1.23,1.2,1.2,12000,0.0,0.0
1996-01-31,1.22,1.22,1.22,1.22,1500,0.0,0.0
1996-02-01,1.25,1.3,1.25,1.3,6000,0.0,0.0
1996-02-02,1.42,1.42,1.42,1.42,1500,0.0,0.0
1996-02-05,1.42,1.46,1.42,1.45,10500,0.0,0.0
1996-02-06,1.45,1.53,1.45,1.46,19500,0.0,0.0
1996-02-07,1.43,1.43,1.43,1.43,1500,0.0,0.0
1996-02-08,1.43,1.44,1.43,1.44,24000,0.0,0.0
1996-02-09,1.49,1.58,1.49,1.57,19500,0.0,0.0
1996-02-12,1.65,1.65,1.61,1.61,6000,0.0,0.0
1996-02-13,1.61,1.61,1.57,1.57,10500,0.0,0.0
1996-02-14,1.69,1.69,1.62,1.62,21000,0.0,0.0
1996-02-15,1.62,1.62,1.62,1.62,1500,0.0,0.0
1996-02-16,1.61,1.61,1.57,1.57,12000,0.0,0.0
1996-02-19,1.57,1.57,1.57,1.57,19500,0.0,0.0
1996-02-20,1.57,1.59,1.59,1.59,7500,0.0,0.0
1996-02-22,1.69,1.69,1.57,1.59,9000,0.0,0.0
1996-02-23,1.59,1.63,1.59,1.6,10500,0.0,0.0
1996-02-26,1.59,1.63,1.59,1.6,37500,0.0,0.0
1996-02-27,1.63,1.65,1.61,1.65,36000,0.0,0.0
1996-02-28,1.69,1.69,1.66,1.68,12000,0.0,0.0
1996-02-29,1.62,1.62,1.62,1.62,9000,0.0,0.0
1996-03-01,1.63,1.67,1.63,1.65,19500,0.0,0.0
1996-03-04,1.65,1.61,1.57,1.6,12000,0.0,0.0
1996-03-06,1.6,1.69,1.63,1.69,37500,0.0,0.0
1996-03-07,1.69,1.72,1.69,1.72,15000,0.0,0.0
1996-03-08,1.72,1.72,1.69,1.69,12000,0.0,0.0
1996-03-11,1.69,1.69,1.68,1.69,12000,0.0,0.0
1996-03-12,1.69,1.68,1.65,1.68,16500,0.0,0.0
1996-03-13,1.68,1.68,1.68,1.68,1500,0.0,0.0
1996-03-14,1.68,1.69,1.67,1.67,15000,0.0,0.0
1996-03-15,1.68,1.68,1.67,1.67,4500,0.0,0.0
1996-03-18,1.65,1.65,1.63,1.63,18000,0.0,0.0
1996-03-19,1.63,1.64,1.61,1.64,16500,0.0,0.0
1996-03-21,1.64,1.66,1.64,1.66,3000,0.0,0.0
1996-03-22,1.66,1.66,1.61,1.66,16500,0.0,0.0
1996-03-25,1.66,1.68,1.65,1.65,9000,0.0,0.0
1996-03-26,1.65,1.64,1.64,1.64,9000,0.0,0.0
1996-03-27,1.64,1.65,1.63,1.65,9000,0.0,0.0
1996-03-28,1.65,1.66,1.66,1.66,3000,0.0,0.0
1996-03-29,1.66,1.67,1.66,1.67,18000,0.0,0.0
1996-04-01,1.68,1.68,1.68,1.68,1500,0.0,0.0
1996-04-02,1.68,1.68,1.68,1.68,6000,0.0,0.0
1996-04-03,1.73,1.73,1.72,1.72,4500,0.0,0.0
1996-04-04,1.72,1.73,1.7,1.7,15000,0.0,0.0
1996-04-08,1.73,1.8,1.68,1.73,24000,0.0,0.0
1996-04-09,1.73,1.78,1.73,1.73,30000,0.0,0.0
