Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
01/01/96,2.76,2.78,2.76,2.78,208125,0,0
02/01/96,2.78,2.83,2.64,2.74,1623750,0,0
03/01/96,2.74,2.79,2.71,2.72,721875,0,0
04/01/96,2.72,2.72,2.64,2.69,620625,0,0
05/01/96,2.69,2.72,2.68,2.69,350625,0,0
08/01/96,2.69,2.68,2.63,2.64,645000,0,0
09/01/96,2.64,2.67,2.61,2.65,903750,0,0
10/01/96,2.65,2.71,2.65,2.67,455625,0,0
11/01/96,2.67,2.71,2.67,2.7,110625,0,0
12/01/96,2.77,2.77,2.72,2.75,543750,0,0
15/01/96,2.75,2.74,2.68,2.73,436875,0,0
16/01/96,2.73,2.94,2.73,2.81,746250,0,0
17/01/96,2.81,2.78,2.74,2.74,270000,0,0
18/01/96,2.74,2.75,2.7,2.73,163125,0,0
19/01/96,2.73,2.76,2.72,2.74,183750,0,0
22/01/96,2.74,2.78,2.73,2.78,318750,0,0
23/01/96,2.78,2.78,2.64,2.67,376875,0,0
24/01/96,2.67,2.67,2.48,2.53,556875,0,0
25/01/96,2.53,2.56,2.48,2.49,245625,0,0
29/01/96,2.49,2.55,2.47,2.54,298125,0,0
30/01/96,2.54,2.6,2.47,2.5,451875,0,0
31/01/96,2.5,2.56,2.52,2.54,183750,0,0
01/02/96,2.54,2.62,2.48,2.61,198750,0,0
02/02/96,2.61,2.72,2.52,2.65,221250,0,0
05/02/96,2.65,2.73,2.61,2.66,851250,0,0
06/02/96,2.66,2.77,2.68,2.69,211875,0,0
07/02/96,2.69,2.78,2.65,2.78,549375,0,0
08/02/96,2.77,2.81,2.74,2.8,225000,0,0
09/02/96,2.8,2.99,2.82,2.91,450000,0,0
12/02/96,2.91,2.95,2.87,2.87,226875,0,0
13/02/96,2.87,2.89,2.8,2.89,159375,0,0
14/02/96,2.89,3.02,2.89,2.91,185625,0,0
15/02/96,2.91,2.92,2.87,2.88,133125,0,0
16/02/96,2.88,2.89,2.84,2.88,178125,0,0
19/02/96,2.88,3.14,2.87,2.96,487500,0,0
20/02/96,2.96,3.02,2.94,2.96,226875,0,0
22/02/96,2.96,3.1,2.97,3.07,414375,0,0
23/02/96,3.07,3.19,3.11,3.15,403125,0,0
26/02/96,3.15,3.34,3.15,3.32,843750,0,0
27/02/96,3.32,3.29,3.14,3.18,618750,0,0
28/02/96,3.18,3.27,3.13,3.14,588750,0,0
29/02/96,3.14,3.11,3.04,3.06,384375,0,0
01/03/96,3.06,3.1,3.02,3.07,206250,0,0
04/03/96,3.08,3.17,3.06,3.14,352500,0,0
06/03/96,3.14,3.22,3.1,3.17,566250,0,0
07/03/96,3.17,3.23,3.15,3.18,1591875,0,0
08/03/96,3.18,3.18,3.13,3.15,1136250,0,0
11/03/96,3.15,3.11,3.06,3.1,210000,0,0
12/03/96,3.1,3.1,3.06,3.08,159375,0,0
13/03/96,3.08,3.13,3.08,3.12,76875,0,0
14/03/96,3.12,3.2,3.14,3.18,320625,0,0
15/03/96,3.18,3.23,3.16,3.19,435000,0,0
18/03/96,3.19,3.21,3.15,3.19,510000,0,0
19/03/96,3.19,3.23,3.15,3.19,427500,0,0
21/03/96,3.19,3.27,3.23,3.26,185625,0,0
22/03/96,3.26,3.26,3.2,3.25,298125,0,0
25/03/96,3.25,3.27,3.22,3.23,245625,0,0
26/03/96,3.23,3.27,3.22,3.24,206250,0,0
27/03/96,3.24,3.32,3.25,3.32,399375,0,0
28/03/96,3.32,3.35,3.32,3.35,67500,0,0
29/03/96,3.35,3.39,3.32,3.32,163125,0,0
01/04/96,3.32,3.38,3.34,3.35,71250,0,0
02/04/96,3.35,3.37,3.32,3.33,163125,0,0
03/04/96,3.33,3.4,3.36,3.36,125625,0,0
