Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-07-01,3.85,3.88,3.82,3.84,2331240,0.0,0.0
2002-07-02,3.83,3.85,3.81,3.84,925272,0.0,0.0
2002-07-03,3.84,3.86,3.82,3.84,1304064,0.0,0.0
2002-07-04,3.87,3.87,3.82,3.83,1589202,0.0,0.0
2002-07-05,3.86,4.02,3.83,3.94,3139716,0.0,0.0
2002-07-08,4.14,4.22,4.02,4.11,3198990,0.0,0.0
2002-07-09,4.17,4.17,4.0,4.02,1227414,0.0,0.0
2002-07-10,4.08,4.17,3.94,3.98,2063592,0.0,0.0
2002-07-11,4.0,4.0,3.93,3.94,833010,0.0,0.0
2002-07-12,4.02,4.02,3.91,3.93,731904,0.0,0.0
2002-07-15,3.94,3.94,3.85,3.86,447222,0.0,0.0
2002-07-16,3.87,3.87,3.82,3.83,563910,0.0,0.0
2002-07-17,3.82,3.83,3.75,3.76,1429992,0.0,0.0
2002-07-18,3.81,3.82,3.76,3.8,647460,0.0,0.0
2002-07-19,3.83,3.83,3.76,3.79,600246,0.0,0.0
2002-07-22,3.8,3.8,3.58,3.62,1284174,0.0,0.0
2002-07-23,3.62,3.73,3.49,3.57,909546,0.0,0.0
2002-07-24,3.56,3.6,3.51,3.56,856566,0.0,0.0
2002-07-25,3.59,3.7,3.59,3.64,546036,0.0,0.0
2002-07-26,3.6,3.65,3.52,3.56,789396,0.0,0.0
2002-07-29,3.6,3.67,3.43,3.47,503064,0.0,0.0
2002-07-30,3.5,3.62,3.4,3.43,533520,0.0,0.0
2002-07-31,3.5,3.5,3.36,3.46,794052,0.0,0.0
2002-08-01,3.47,3.6,3.44,3.55,604092,0.0,0.0
2002-08-02,3.43,3.6,3.43,3.57,304596,0.0,0.0
2002-08-05,3.62,3.79,3.56,3.64,457794,0.0,0.0
2002-08-06,3.59,3.65,3.58,3.63,339018,0.0,0.0
2002-08-07,3.66,3.69,3.6,3.66,457122,0.0,0.0
2002-08-08,3.62,3.64,3.45,3.49,794556,0.0,0.0
2002-08-09,3.52,3.62,3.48,3.6,264414,0.0,0.0
2002-08-12,3.62,3.63,3.55,3.58,172794,0.0,0.0
2002-08-13,3.57,3.71,3.55,3.66,375816,0.0,0.0
2002-08-14,3.58,3.65,3.58,3.62,238728,0.0,0.0
2002-08-16,3.61,3.65,3.58,3.63,256134,0.0,0.0
2002-08-19,3.69,3.69,3.59,3.62,155046,0.0,0.0
2002-08-20,3.64,3.64,3.58,3.61,215832,0.0,0.0
2002-08-21,3.59,3.63,3.58,3.61,253200,0.0,0.0
2002-08-22,3.62,3.62,3.58,3.59,204330,0.0,0.0
2002-08-23,3.58,3.65,3.57,3.63,225000,0.0,0.0
2002-08-26,3.67,3.67,3.58,3.62,240966,0.0,0.0
2002-08-27,3.61,3.62,3.55,3.57,481866,0.0,0.0
2002-08-28,3.62,3.62,3.52,3.57,241764,0.0,0.0
2002-08-29,3.52,3.61,3.52,3.58,168246,0.0,0.0
2002-08-30,3.62,3.62,3.55,3.56,128442,0.0,0.0
2002-09-02,3.62,3.63,3.57,3.6,325770,0.0,0.0
2002-09-03,3.62,3.62,3.57,3.59,174888,0.0,0.0
2002-09-04,3.52,3.61,3.52,3.59,97704,0.0,0.0
2002-09-05,3.66,4.02,3.58,3.59,192510,0.0,0.0
2002-09-06,3.62,3.63,3.57,3.57,459342,0.0,0.0
2002-09-09,3.6,3.6,3.53,3.54,141114,0.0,0.0
2002-09-11,3.58,3.58,3.52,3.53,149490,0.0,0.0
2002-09-12,3.65,3.65,3.52,3.53,116004,0.0,0.0
2002-09-13,3.54,3.55,3.48,3.49,281646,0.0,0.0
2002-09-16,3.54,3.57,3.48,3.53,521232,0.0,0.0
2002-09-17,3.65,3.65,3.48,3.49,335394,0.0,0.0
2002-09-18,3.54,3.54,3.44,3.45,368346,0.0,0.0
2002-09-19,3.47,3.47,3.37,3.4,390168,0.0,0.0
2002-09-20,3.43,3.43,3.32,3.38,393702,0.0,0.0
2002-09-23,3.43,3.44,3.38,3.43,173502,0.0,0.0
2002-09-24,3.43,3.5,3.38,3.46,192036,0.0,0.0
2002-09-25,3.38,3.5,3.38,3.44,140124,0.0,0.0
2002-09-26,3.47,3.49,3.44,3.47,88536,0.0,0.0
2002-09-27,3.45,3.49,3.45,3.47,207378,0.0,0.0
2002-09-30,3.49,3.5,3.39,3.41,169770,0.0,0.0
2002-10-01,3.41,3.42,3.37,3.39,117984,0.0,0.0
2002-10-03,3.39,3.47,3.39,3.44,197052,0.0,0.0
2002-10-04,3.48,3.48,3.41,3.44,145416,0.0,0.0
2002-10-07,3.43,3.46,3.39,3.39,233460,0.0,0.0
2002-10-08,3.39,3.46,3.36,3.38,185538,0.0,0.0
2002-10-09,3.36,3.4,3.36,3.38,211134,0.0,0.0
2002-10-10,3.36,3.39,3.35,3.36,108648,0.0,0.0
2002-10-11,3.36,3.4,3.35,3.36,120528,0.0,0.0
2002-10-14,3.49,3.49,3.36,3.37,97398,0.0,0.0
2002-10-16,3.38,3.43,3.35,3.36,93396,0.0,0.0
2002-10-17,3.36,3.38,3.34,3.36,224196,0.0,0.0
2002-10-18,3.36,3.38,3.35,3.36,232680,0.0,0.0
2002-10-21,3.37,3.41,3.35,3.37,167964,0.0,0.0
2002-10-22,3.38,3.38,3.35,3.36,150720,0.0,0.0
2002-10-23,3.35,3.38,3.35,3.36,221526,0.0,0.0
2002-10-24,3.34,3.38,3.34,3.36,212994,0.0,0.0
2002-10-25,3.35,3.39,3.34,3.36,339534,0.0,0.0
2002-10-28,3.39,3.39,3.33,3.36,274698,0.0,0.0
2002-10-29,3.36,3.37,3.34,3.35,192612,0.0,0.0
2002-10-30,3.32,3.35,3.26,3.33,474294,0.0,0.0
2002-10-31,3.38,3.43,3.28,3.28,512574,0.0,0.0
2002-11-01,3.32,3.38,3.3,3.32,254022,0.0,0.0
2002-11-04,3.35,3.38,3.32,3.36,99468,0.0,0.0
2002-11-05,3.39,3.39,3.35,3.36,86340,0.0,0.0
2002-11-07,3.35,3.38,3.35,3.35,92370,0.0,0.0
2002-11-08,3.36,3.36,3.32,3.33,135552,0.0,0.0
2002-11-11,3.37,3.38,3.32,3.33,89502,0.0,0.0
2002-11-12,3.37,3.37,3.32,3.35,92940,0.0,0.0
2002-11-13,3.36,3.36,3.31,3.32,173382,0.0,0.0
2002-11-14,3.56,3.56,3.52,3.53,128484,0.5,0.0
2002-11-15,3.54,3.59,3.49,3.52,163704,0.0,0.0
2002-11-18,3.6,3.6,3.52,3.58,156498,0.0,0.0
2002-11-20,3.6,3.6,3.54,3.57,151374,0.0,0.0
2002-11-21,3.56,3.59,3.54,3.55,171990,0.0,0.0
2002-11-22,3.54,3.58,3.52,3.54,186660,0.0,0.0
2002-11-25,3.59,3.61,3.55,3.6,668076,0.0,0.0
