Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-01-01,43.11,43.19,42.62,42.62,2800,0.0,0.0
1996-01-02,42.62,42.62,42.24,42.25,8400,0.0,0.0
1996-01-03,42.25,42.52,42.23,42.27,11200,0.0,0.0
1996-01-04,42.27,41.09,40.54,40.75,3600,0.0,0.0
1996-01-05,40.75,41.27,39.75,39.79,12000,0.0,0.0
1996-01-08,39.79,40.9,39.18,39.27,12400,0.0,0.0
1996-01-09,39.27,39.37,37.65,38.18,18000,0.0,0.0
1996-01-10,38.18,38.99,38.23,38.78,6800,0.0,0.0
1996-01-11,38.78,39.75,39.18,39.65,5600,0.0,0.0
1996-01-12,39.65,39.94,39.75,39.75,4800,0.0,0.0
1996-01-15,39.75,39.89,39.75,39.75,2000,0.0,0.0
1996-01-16,39.75,39.46,39.08,39.22,10800,0.0,0.0
1996-01-17,39.36,39.37,38.95,39.37,12800,0.0,0.0
1996-01-18,38.79,39.37,38.79,39.09,10400,0.0,0.0
1996-01-19,39.09,39.37,38.98,39.19,10400,0.0,0.0
1996-01-22,39.19,39.27,38.81,39.05,13600,0.0,0.0
1996-01-23,39.05,40.07,39.18,39.69,13600,0.0,0.0
1996-01-24,39.69,40.08,39.38,40.01,20800,0.0,0.0
1996-01-25,40.01,40.51,39.37,40.51,17600,0.0,0.0
1996-01-29,40.51,40.7,39.75,40.56,20400,0.0,0.0
1996-01-30,40.56,40.7,40.32,40.63,14000,0.0,0.0
1996-01-31,40.63,41.17,40.71,41.11,9200,0.0,0.0
1996-02-01,41.11,41.52,40.94,40.94,4400,0.0,0.0
1996-02-02,40.94,43.56,41.47,42.81,10400,0.0,0.0
1996-02-05,42.81,43.95,43.0,43.95,10000,0.0,0.0
1996-02-06,43.95,43.95,43.4,43.48,12400,0.0,0.0
1996-02-07,43.48,44.34,42.91,43.98,28400,0.0,0.0
1996-02-08,44.14,45.48,44.14,45.48,11200,0.0,0.0
1996-02-09,46.63,47.78,45.67,47.18,24000,0.0,0.0
1996-02-12,47.18,49.69,47.19,49.55,26000,0.0,0.0
1996-02-13,49.55,51.02,47.22,50.7,25200,0.0,0.0
1996-02-14,51.98,51.98,49.7,50.54,22000,0.0,0.0
1996-02-15,50.54,51.6,49.89,51.05,17200,0.0,0.0
1996-02-16,51.05,51.6,50.12,51.31,40800,0.0,0.0
1996-02-19,51.31,53.08,50.74,50.74,27200,0.0,0.0
1996-02-20,50.74,51.6,50.64,51.35,28800,0.0,0.0
1996-02-22,51.35,51.02,49.93,50.87,15600,0.0,0.0
1996-02-23,50.87,51.5,50.64,51.39,18000,0.0,0.0
1996-02-26,51.39,51.77,50.64,51.46,18800,0.0,0.0
1996-02-27,51.46,51.02,50.19,50.36,16800,0.0,0.0
1996-02-28,50.36,50.64,49.5,49.5,10000,0.0,0.0
1996-02-29,49.5,50.07,48.74,49.69,24800,0.0,0.0
1996-03-01,49.69,49.98,48.94,49.6,22000,0.0,0.0
1996-03-04,49.6,50.16,49.46,49.89,38400,0.0,0.0
1996-03-06,49.89,50.74,50.09,50.72,12400,0.0,0.0
1996-03-07,50.64,50.93,50.09,50.64,18400,0.0,0.0
1996-03-08,50.64,50.45,48.73,48.73,16400,0.0,0.0
1996-03-11,48.73,49.88,49.02,49.7,16800,0.0,0.0
1996-03-12,49.7,50.05,49.51,50.05,30000,0.0,0.0
1996-03-13,49.69,50.07,48.97,50.07,7200,0.0,0.0
1996-03-14,50.07,49.69,49.61,49.67,6800,0.0,0.0
1996-03-15,49.67,49.71,49.11,49.14,6400,0.0,0.0
1996-03-18,50.36,50.36,49.35,49.87,13200,0.0,0.0
1996-03-19,49.87,49.88,49.12,49.25,18800,0.0,0.0
1996-03-21,49.25,49.88,49.07,49.82,9200,0.0,0.0
1996-03-22,49.82,49.82,49.21,49.8,11200,0.0,0.0
1996-03-25,49.8,50.06,49.22,49.9,11200,0.0,0.0
1996-03-26,49.9,50.07,49.68,50.01,10400,0.0,0.0
1996-03-27,50.01,50.07,49.69,49.69,2000,0.0,0.0
1996-03-28,49.69,50.64,49.36,50.26,4800,0.0,0.0
1996-03-29,50.26,49.97,49.7,49.71,5600,0.0,0.0
1996-04-01,49.69,50.45,49.03,50.45,3200,0.0,0.0
1996-04-02,50.45,50.25,49.71,49.98,7200,0.0,0.0
1996-04-03,49.98,50.64,50.07,50.64,9200,0.0,0.0
1996-04-04,50.64,51.02,49.89,50.93,10000,0.0,0.0
1996-04-08,50.93,50.26,49.89,50.26,15600,0.0,0.0
1996-04-09,50.26,50.36,49.79,50.06,27600,0.0,0.0
1996-04-10,50.06,50.65,49.7,50.64,17200,0.0,0.0
1996-04-11,50.64,51.02,50.26,50.83,11600,0.0,0.0
1996-04-12,50.83,50.74,50.26,50.45,6800,0.0,0.0
1996-04-15,50.45,50.81,50.26,50.26,6400,0.0,0.0
1996-04-16,50.26,50.63,50.07,50.36,11200,0.0,0.0
1996-04-17,50.36,52.84,50.47,52.59,28800,0.0,0.0
1996-04-18,52.59,54.51,53.51,53.97,35200,0.0,0.0
1996-04-19,53.97,56.18,53.89,54.24,43600,0.0,0.0
1996-04-22,54.24,54.37,53.35,53.71,23600,0.0,0.0
1996-04-23,53.71,53.17,52.17,52.38,22800,0.0,0.0
1996-04-24,52.38,54.65,53.32,54.4,29600,0.0,0.0
1996-04-25,54.4,56.37,54.46,55.68,32800,0.0,0.0
1996-04-26,55.68,55.99,53.89,55.67,76400,0.0,0.0
1996-04-29,55.67,53.83,53.32,53.77,19600,0.0,0.0
1996-04-30,53.77,53.79,52.57,52.74,11600,0.0,0.0
1996-05-01,52.74,53.51,52.55,53.32,4800,0.0,0.0
1996-05-02,53.32,53.51,52.93,53.51,6800,0.0,0.0
1996-05-03,53.51,54.85,53.5,54.48,44800,0.0,0.0
1996-05-06,54.48,54.65,53.51,54.65,39200,0.0,0.0
1996-05-07,54.65,54.46,53.51,54.27,23600,0.0,0.0
1996-05-08,54.27,55.42,53.7,55.41,17200,0.0,0.0
1996-05-09,55.41,55.04,54.14,54.83,17600,0.0,0.0
1996-05-10,54.83,54.46,53.23,54.46,27600,0.0,0.0
1996-05-13,54.46,53.99,53.51,53.88,18000,0.0,0.0
1996-05-14,53.88,54.42,53.71,53.92,16000,0.0,0.0
1996-05-15,53.92,54.85,54.37,54.8,11600,0.0,0.0
1996-05-16,54.8,55.99,54.86,55.11,16000,0.0,0.0
1996-05-17,55.11,55.42,54.26,55.24,24800,0.0,0.0
1996-05-20,55.24,55.42,54.11,55.05,20000,0.0,0.0
1996-05-21,55.05,55.8,54.18,55.18,22800,0.0,0.0
1996-05-22,55.18,55.9,55.04,55.67,28400,0.0,0.0
1996-05-23,55.67,55.99,55.29,55.99,13600,0.0,0.0
1996-05-24,55.99,56.18,55.33,55.48,10800,0.0,0.0
1996-05-27,55.48,55.8,54.86,55.52,29200,0.0,0.0
1996-05-28,55.52,55.42,54.65,55.23,34400,0.0,0.0
1996-05-29,55.42,56.18,55.23,55.9,19600,0.0,0.0
1996-05-30,55.9,54.94,54.75,54.82,4000,0.0,0.0
1996-05-31,54.82,56.37,54.94,56.03,24800,0.0,0.0
1996-06-03,56.03,56.57,55.8,56.37,8400,0.0,0.0
1996-06-04,56.37,59.43,56.37,59.28,36400,0.0,0.0
1996-06-05,59.24,59.81,59.24,59.81,24800,0.0,0.0
1996-06-06,57.71,59.24,57.71,58.86,14000,0.0,0.0
1996-06-07,58.2,58.67,58.02,58.45,19200,0.0,0.0
1996-06-10,58.86,58.86,58.09,58.29,9600,0.0,0.0
1996-06-11,58.09,58.36,57.71,57.94,14800,0.0,0.0
1996-06-12,58.0,59.43,57.34,59.42,215200,0.0,0.0
1996-06-13,59.43,60.2,58.53,60.18,233200,0.0,0.0
1996-06-14,60.18,62.55,60.18,61.78,35600,0.0,0.0
1996-06-17,62.49,62.59,60.39,60.67,19600,0.0,0.0
1996-06-18,60.48,60.48,58.29,58.56,23600,0.0,0.0
1996-06-19,60.01,60.77,58.73,58.73,16000,0.0,0.0
1996-06-20,58.29,58.29,56.37,57.87,17600,0.0,0.0
1996-06-21,57.33,58.09,57.33,57.74,18400,0.0,0.0
1996-06-24,57.38,57.39,56.41,56.54,10800,0.0,0.0
