Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-08-12,3.61,3.81,3.59,3.77,11239400,0.0,0.0
2002-08-13,3.85,3.85,3.68,3.7,3756368,0.0,0.0
2002-08-14,3.69,3.69,3.62,3.65,3964016,0.0,0.0
2002-08-16,3.75,3.77,3.69,3.75,4848904,0.0,0.0
2002-08-19,3.81,3.9,3.8,3.87,8905448,0.0,0.0
2002-08-20,3.91,4.21,3.89,4.15,18255464,0.0,0.0
2002-08-21,4.17,4.27,3.97,4.01,18690008,0.0,0.0
2002-08-22,4.03,4.09,3.88,3.91,9790960,0.0,0.0
2002-08-23,3.93,4.01,3.84,3.93,12814424,0.0,0.0
2002-08-26,3.94,4.04,3.88,4.0,8253944,0.0,0.0
2002-08-27,4.05,4.09,3.75,3.78,13764544,0.0,0.0
2002-08-28,3.71,3.95,3.68,3.9,18886336,0.0,0.0
2002-08-29,3.87,4.05,3.84,4.0,17584928,0.0,0.0
2002-08-30,4.02,4.09,3.82,4.04,28226144,0.0,0.0
2002-09-02,4.09,4.45,4.07,4.32,39154536,0.0,0.0
2002-09-03,4.32,4.32,4.13,4.23,15785200,0.0,0.0
2002-09-04,4.13,4.24,4.02,4.2,25434152,0.0,0.0
2002-09-05,4.23,4.28,4.1,4.17,14348224,0.0,0.0
2002-09-06,4.07,4.16,3.99,4.04,10984336,0.0,0.0
2002-09-09,4.08,4.27,4.05,4.21,13656184,0.0,0.0
2002-09-11,4.29,4.4,4.27,4.34,11303688,0.0,0.0
2002-09-12,4.36,4.36,4.23,4.25,7920448,0.0,0.0
2002-09-13,4.21,4.21,3.98,4.03,8264520,0.0,0.0
2002-09-16,4.09,4.13,4.02,4.03,7619640,0.0,0.0
2002-09-17,4.07,4.36,4.07,4.3,16517320,0.0,0.0
2002-09-18,4.25,4.27,4.1,4.15,13866808,0.0,0.0
2002-09-19,4.19,4.22,4.01,4.07,14604872,0.0,0.0
2002-09-20,3.97,4.21,3.93,4.17,21109560,0.0,0.0
2002-09-23,4.21,4.24,4.06,4.13,15071736,0.0,0.0
2002-09-24,4.0,4.09,4.0,4.05,8139496,0.0,0.0
2002-09-25,3.93,4.17,3.93,4.15,13057920,0.0,0.0
2002-09-26,4.34,4.34,4.19,4.26,12918456,0.0,0.0
2002-09-27,4.35,4.48,4.3,4.35,20531680,0.0,0.0
2002-09-30,4.29,4.33,4.1,4.18,11870704,0.0,0.0
2002-10-01,4.07,4.21,4.03,4.09,17145984,0.0,0.0
2002-10-03,4.13,4.22,4.1,4.13,15460552,0.0,0.0
2002-10-04,4.15,4.16,3.84,3.9,33943336,0.0,0.0
2002-10-07,3.93,4.02,3.88,3.92,13186408,0.0,0.0
2002-10-08,3.92,4.12,3.91,4.05,17057016,0.0,0.0
2002-10-09,4.09,4.1,3.91,3.94,14124008,0.0,0.0
2002-10-10,3.93,4.0,3.84,3.97,11842288,0.0,0.0
2002-10-11,4.05,4.1,3.96,4.05,12892512,0.0,0.0
2002-10-14,4.27,4.27,4.07,4.12,17501128,0.0,0.0
2002-10-16,4.2,4.25,4.02,4.06,11582552,0.0,0.0
2002-10-17,4.28,4.47,4.22,4.43,17761400,1.5,0.0
2002-10-18,4.53,4.67,4.5,4.61,34027640,0.0,0.0
2002-10-21,4.61,4.62,4.33,4.52,29538288,0.0,0.0
2002-10-22,4.32,4.34,3.64,3.69,125442440,0.0,0.0
2002-10-23,3.7,3.72,3.47,3.52,90007952,0.0,0.0
2002-10-24,3.59,3.65,3.38,3.42,59089792,0.0,0.0
2002-10-25,3.38,3.49,3.33,3.45,49617192,0.0,0.0
2002-10-28,3.49,3.52,3.4,3.42,31907544,0.0,0.0
2002-10-29,3.39,3.49,3.39,3.46,21697616,0.0,0.0
2002-10-30,3.5,3.54,3.34,3.38,26527136,0.0,0.0
2002-10-31,3.45,3.51,3.42,3.45,18102504,0.0,0.0
2002-11-01,3.46,3.48,3.23,3.37,25972520,0.0,0.0
2002-11-04,3.43,3.45,3.39,3.41,4551696,0.0,0.0
2002-11-05,3.42,3.46,3.32,3.44,13458432,0.0,0.0
2002-11-07,3.45,3.5,3.42,3.45,17344632,0.0,0.0
2002-11-08,3.42,3.45,3.38,3.42,8507000,0.0,0.0
2002-11-11,3.57,3.67,3.47,3.49,40565424,0.0,0.0
2002-11-12,3.47,3.47,3.34,3.41,22490016,0.0,0.0
2002-11-13,3.4,3.47,3.31,3.42,28266368,0.0,0.0
2002-11-14,3.46,3.56,3.42,3.54,27433208,0.0,0.0
2002-11-15,3.59,3.63,3.54,3.6,15624544,0.0,0.0
2002-11-18,3.63,3.68,3.57,3.59,17654152,0.0,0.0
2002-11-20,3.58,3.79,3.56,3.75,37062272,0.0,0.0
2002-11-21,3.84,3.97,3.83,3.89,23185296,0.0,0.0
2002-11-22,3.95,4.01,3.8,3.82,21492816,0.0,0.0
2002-11-25,3.8,3.88,3.75,3.83,10388360,0.0,0.0
2002-11-26,3.84,3.95,3.84,3.93,11754608,0.0,0.0
2002-11-27,3.92,3.94,3.8,3.83,8908992,0.0,0.0
2002-11-28,3.9,4.0,3.89,3.94,12495768,0.0,0.0
2002-12-02,4.07,4.13,4.03,4.1,14102072,0.0,0.0
2002-12-03,4.07,4.18,3.91,3.99,21740120,0.0,0.0
2002-12-04,3.9,3.9,3.68,3.75,15780520,0.0,0.0
2002-12-05,3.78,3.89,3.78,3.86,10315624,0.0,0.0
2002-12-06,3.9,4.0,3.87,3.97,9221272,0.0,0.0
2002-12-09,4.04,4.17,3.98,4.02,15792496,0.0,0.0
2002-12-10,3.97,4.11,3.89,4.08,9235680,0.0,0.0
2002-12-11,4.13,4.17,3.97,4.02,10511288,0.0,0.0
2002-12-12,4.03,4.08,3.96,4.0,10864768,0.0,0.0
2002-12-13,4.01,4.04,3.87,3.93,16367960,0.0,0.0
2002-12-16,3.92,3.99,3.82,3.84,11386832,0.0,0.0
2002-12-17,3.9,3.94,3.83,3.86,10133536,0.0,0.0
2002-12-18,3.88,4.08,3.87,4.03,23503976,0.0,0.0
2002-12-19,4.01,4.02,3.93,3.99,8090192,0.0,0.0
2002-12-20,4.01,4.08,3.97,4.05,12542248,0.0,0.0
2002-12-23,4.06,4.09,3.89,3.92,8573112,0.0,0.0
2002-12-24,3.94,3.98,3.89,3.97,5946928,0.0,0.0
2002-12-26,3.97,4.04,3.89,3.97,17415336,0.0,0.0
2002-12-27,3.99,4.03,3.93,3.95,4957344,0.0,0.0
2002-12-30,3.97,3.97,3.89,3.95,5365096,0.0,0.0
2002-12-31,3.94,4.02,3.92,3.94,5949960,0.0,0.0
2003-01-01,3.96,4.0,3.93,3.98,3627712,0.0,0.0
2003-01-02,4.01,4.07,3.81,3.86,14027816,0.0,0.0
