Date,Open,High,Low,Close,,
01/01/96,3.03,3.03,2.925,2.98,,
02/01/96,2.98,3.025,2.95,2.975,,
03/01/96,2.975,2.995,2.95,2.985,,
04/01/96,2.985,2.98,2.94,2.965,,
05/01/96,2.965,2.98,2.95,2.96,,
08/01/96,2.96,2.95,2.91,2.925,,
09/01/96,2.925,2.925,2.8,2.83,,
10/01/96,2.83,2.865,2.81,2.84,,
11/01/96,2.84,2.88,2.8,2.83,,
12/01/96,2.83,2.835,2.8,2.825,,
15/01/96,2.825,2.815,2.775,2.79,,
16/01/96,2.79,2.8,2.74,2.74,,
17/01/96,2.74,2.795,2.63,2.655,,
18/01/96,2.655,2.655,2.6,2.64,,
19/01/96,2.64,2.63,2.535,2.555,,
22/01/96,2.555,2.59,2.52,2.545,,
23/01/96,2.545,2.6,2.51,2.53,,
24/01/96,2.53,2.53,2.45,2.465,,
25/01/96,2.465,2.45,2.41,2.435,,
29/01/96,2.435,2.495,2.395,2.485,,
30/01/96,2.485,2.55,2.485,2.52,,
31/01/96,2.52,2.635,2.55,2.59,,
01/02/96,2.59,2.8,2.6,2.78,,
02/02/96,2.78,2.995,2.8,2.915,,
05/02/96,2.915,3.1,2.95,2.995,,
06/02/96,2.995,3.05,2.95,2.975,,
07/02/96,2.975,2.925,2.825,2.865,,
08/02/96,2.865,3.15,2.885,3.045,,
09/02/96,3.045,3.655,3.35,3.65,,
12/02/96,3.65,3.795,3.45,3.51,,
13/02/96,3.6,3.6,3.325,3.45,,
14/02/96,3.45,3.8,3.59,3.71,,
15/02/96,3.71,3.77,3.67,3.685,,
16/02/96,3.685,3.675,3.51,3.56,,
19/02/96,3.56,3.65,3.5,3.515,,
20/02/96,3.515,3.515,3.305,3.365,,
22/02/96,3.365,3.475,3.4,3.425,,
23/02/96,3.425,3.5,3.4,3.42,,
26/02/96,3.42,3.475,3.375,3.385,,
27/02/96,3.39,3.425,3.3,3.395,,
28/02/96,3.395,3.445,3.305,3.325,,
29/02/96,3.3,3.3,3,3.065,,
01/03/96,3.065,3.15,3,3.11,,
04/03/96,3.11,3.1,3.05,3.065,,
06/03/96,3.065,3.15,3.08,3.1,,
07/03/96,3.1,3.15,3.025,3.06,,
08/03/96,3.06,3.07,3,3.05,,
11/03/96,3.05,3.045,2.975,2.995,,
12/03/96,2.995,2.995,2.93,2.955,,
