Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-07-01,167.7,170.76,165.12,167.99,113852,0.0,0
2002-07-02,169.31,173.72,168.61,169.64,166016,0.0,0
2002-07-03,170.09,173.45,167.81,169.07,196486,0.0,0
2002-07-04,170.36,172.03,170.36,171.11,233997,0.0,0
2002-07-05,172.06,177.49,172.06,174.29,472596,0.0,0
2002-07-08,178.03,182.87,176.41,182.25,317179,0.0,0
2002-07-09,182.49,184.96,179.1,181.06,456642,0.0,0
2002-07-10,181.04,181.79,176.41,177.22,98892,0.0,0
2002-07-11,177.49,177.49,173.32,173.94,68794,0.0,0
2002-07-12,175.77,178.56,175.34,176.38,63190,0.0,0
2002-07-15,176.41,176.84,171.57,172.46,87809,0.0,0
2002-07-16,171.3,172.62,168.88,169.42,47189,0.0,0
2002-07-17,168.94,170.98,164.04,165.52,122953,0.0,0
2002-07-18,165.71,169.42,165.39,167.94,173079,0.0,0
2002-07-19,161.35,168.88,161.35,165.25,84246,0.0,0
2002-07-22,162.43,165.49,160.92,162.37,103234,0.0,0
2002-07-23,161.35,166.25,160.3,164.63,78746,0.0,0
2002-07-24,165.12,166.6,159.17,160.84,189959,0.0,0
2002-07-25,167.81,167.81,153.04,154.49,266291,0.0,0
2002-07-26,153.45,155.81,148.52,149.79,178532,0.0,0
2002-07-29,150.54,151.62,132.34,147.37,386909,0.0,0
2002-07-30,150.6,155.44,147.96,148.71,254176,0.0,0
2002-07-31,137.15,146.29,137.15,143.66,325601,0.0,0
2002-08-01,144.68,150.54,137.28,141.34,438415,0.0,0
2002-08-02,139.84,146.27,137.42,144.68,229465,0.0,0
2002-08-05,146.19,150.65,146.19,148.58,297447,0.0,0
2002-08-06,149.2,153.23,146.35,150.33,184716,0.0,0
2002-08-07,151.67,153.23,146.29,147.05,164013,0.0,0
2002-08-08,148.34,150.06,146.29,147.48,166449,0.0,0
2002-08-09,149.52,149.52,146.83,148.18,94358,0.0,0
2002-08-12,148.82,154.36,147.91,152.59,182823,0.0,0
2002-08-13,153.74,154.9,150.95,153.66,156701,0.0,0
2002-08-14,150.17,161.62,150.17,160.65,650771,0.0,0
2002-08-16,160.81,164.58,159.77,161.67,762266,0.0,0
2002-08-19,162.97,165.92,160.28,161.16,487314,0.0,0
2002-08-20,161.43,163.37,157.05,158.21,259312,0.0,0
2002-08-21,158.61,158.93,151.43,152.18,206978,0.0,0
2002-08-22,152.75,154.28,148.98,149.52,203546,0.0,0
2002-08-23,151.94,152.16,146.29,147.53,194880,0.0,0
2002-08-26,147.31,151.62,146.83,149.25,169296,0.0,0
2002-08-27,151.67,151.67,144.95,145.27,164835,0.0,0
2002-08-28,139.3,147.91,139.3,147.23,88618,0.0,0
2002-08-29,149.25,149.95,141.99,142.77,404807,0.0,0
2002-08-30,144.68,146.13,143.87,144.68,204888,0.0,0
2002-09-02,147.91,147.91,143.39,144.84,310499,0.0,0
2002-09-03,147.37,147.91,145.43,147.37,117646,0.0,0
2002-09-04,146.56,147.37,144.14,146.91,125061,0.0,0
2002-09-05,147.91,148.98,147.29,147.96,245777,0.0,0
2002-09-06,148.34,152.05,147.5,150.54,283714,0.0,0
2002-09-09,150.6,150.6,147.42,148.52,251963,0.0,0
2002-09-11,149.41,153.28,148.44,151.21,295020,0.0,0
2002-09-12,152.02,152.69,148.5,150.14,124554,0.0,0
2002-09-13,150.06,150.6,148.18,148.58,53643,0.0,0
2002-09-16,149.55,149.92,147.66,147.96,28733,0.0,0
2002-09-17,147.91,147.91,146.94,147.4,50392,0.0,0
2002-09-18,147.8,148.31,141.67,143.31,142897,0.0,0
2002-09-19,145.27,145.75,134.73,136.34,356542,0.0,0
2002-09-20,135.54,142.53,126.55,139.03,584092,0.0,0
2002-09-23,139.84,143.74,139.84,142.9,406385,0.0,0
2002-09-24,141.24,147.91,140.91,145.43,405272,0.0,0
2002-09-25,144.68,148.47,142.53,145.89,275355,0.0,0
2002-09-26,147.26,150.06,142.8,143.66,147471,0.0,0
2002-09-27,145.11,146.16,143.23,144.71,142003,0.0,0
2002-09-30,145.22,145.46,138.9,139.92,290964,0.0,0
2002-10-01,139.87,141.67,133.17,133.71,289011,0.0,0
2002-10-03,135.48,136.34,124.56,125.53,670186,0.0,0
2002-10-04,126.93,130.13,125.94,129.54,554248,0.0,0
2002-10-07,129.75,132.74,129.75,131.77,113959,0.0,0
2002-10-08,132.28,133.71,131.29,132.98,88763,0.0,0
2002-10-09,133.36,142.66,133.36,140.75,509699,0.0,0
2002-10-10,138.76,147.26,136.64,144.6,738387,0.0,0
2002-10-11,141.94,143.55,138.01,139.03,360309,0.0,0
2002-10-14,141.34,142.53,138.98,139.65,97833,0.0,0
2002-10-16,139.84,142.5,132.85,133.47,262570,0.0,0
2002-10-17,134.35,136.34,126.45,128.44,512707,0.0,0
2002-10-18,131.82,138.71,131.21,137.58,810791,0.0,0
2002-10-21,138.28,142.37,134.97,135.67,478714,0.0,0
2002-10-22,124.78,136.61,124.78,127.12,629830,0.0,0
2002-10-23,128.36,132.01,124.08,125.16,727425,0.0,0
2002-10-24,126.66,129.03,126.18,127.84,369214,0.0,0
2002-10-25,129.03,132.74,126.8,131.5,543559,0.0,0
2002-10-28,131.66,133.38,129.67,131.93,233236,0.0,0
2002-10-29,132.74,132.74,125.85,129.05,377029,0.0,0
2002-10-30,131.07,131.66,128.01,129.67,155257,0.0,0
2002-10-31,130.53,130.53,126.42,127.2,253562,0.0,0
2002-11-01,128.71,131.29,127.6,129.19,371886,0.0,0
2002-11-04,130.7,131.18,129.7,130.64,91077,0.0,0
2002-11-05,130.7,131.23,127.74,129.08,222859,0.0,0
2002-11-07,129.62,133.36,128.01,129.16,325023,0.0,0
2002-11-08,129.3,136.56,129.22,136.02,756762,0.0,0
2002-11-11,137.15,138.76,133.17,134.22,592658,0.0,0
2002-11-12,134.3,141.18,133.92,140.13,643406,0.0,0
2002-11-13,141.18,143.5,138.82,140.48,547409,0.0,0
2002-11-14,139.84,140.65,136.13,137.01,225844,0.0,0
2002-11-15,137.15,139.84,135.54,135.94,413411,0.0,0
2002-11-18,137.15,138.71,136.07,137.04,322331,0.0,0
2002-11-20,138.17,140.7,135.83,140.0,336527,0.0,0
2002-11-21,140.67,142.53,137.98,138.9,521969,0.0,0
2002-11-22,139.95,144.68,139.35,143.2,1113901,0.0,0
2002-11-25,143.87,154.04,142.66,152.24,1636261,0.0,0
2002-11-26,152.59,161.06,150.65,154.95,842073,0.0,0
2002-11-27,154.39,154.87,147.64,150.49,455129,0.0,0
2002-11-28,153.82,155.97,151.56,155.14,350652,0.0,0
2002-11-29,155.97,158.1,152.75,153.9,347933,0.0,0
2002-12-02,155.44,157.59,152.26,154.36,339824,0.0,0
2002-12-03,155.97,157.4,151.46,151.91,317099,0.0,0
2002-12-04,150.06,151.08,143.63,144.95,473822,0.0,0
2002-12-05,145.22,148.98,144.68,148.36,203107,0.0,0
2002-12-06,148.98,150.03,136.96,143.04,1253372,0.0,0
2002-12-09,138.76,144.92,138.76,139.54,437418,0.0,0
2002-12-10,139.84,143.2,138.76,141.67,469044,0.0,0
2002-12-11,144.09,144.09,139.81,140.08,233079,0.0,0
2002-12-12,140.38,141.99,139.84,140.05,223280,0.0,0
2002-12-13,141.21,146.83,140.51,145.11,380073,0.0,0
2002-12-16,146.13,147.58,142.53,144.36,477617,0.0,0
2002-12-17,145.27,146.24,142.66,143.93,146917,0.0,0
2002-12-18,144.09,150.57,142.04,149.6,509791,0.0,0
2002-12-19,150.6,153.28,147.74,151.35,782585,0.0,0
2002-12-20,150.6,151.27,148.01,150.11,164132,0.0,0
2002-12-23,148.71,148.71,146.56,147.29,271619,0.0,0
2002-12-24,146.88,146.88,143.5,144.36,428497,0.0,0
2002-12-26,145.22,147.85,144.14,145.35,173992,0.0,0
2002-12-27,145.7,147.1,143.42,145.08,250539,0.0,0
2002-12-30,146.48,146.56,143.95,144.87,109448,0.0,0
2002-12-31,145.97,146.21,142.55,144.25,107848,0.0,0
2003-01-01,142.53,144.09,139.84,140.7,570776,0.0,0
2003-01-02,139.95,141.94,139.84,140.43,263023,0.0,0
2003-01-03,140.46,141.72,140.38,140.91,114923,0.0,0
2003-01-06,140.51,141.67,138.31,139.11,143267,0.0,0
2003-01-07,139.44,140.78,134.86,135.4,269805,0.0,0
2003-01-08,137.15,137.77,133.98,135.99,361623,0.0,0
2003-01-09,136.18,137.15,133.98,134.3,420255,0.0,0
2003-01-10,136.67,141.99,133.92,134.59,362807,0.0,0
2003-01-13,135.0,136.88,132.9,133.47,277478,0.0,0
2003-01-14,133.87,134.57,130.7,132.12,369889,0.0,0
2003-01-15,132.31,135.46,131.29,133.12,419788,0.0,0
2003-01-16,132.85,136.5,132.79,134.46,546989,0.0,0
2003-01-17,135.24,135.24,131.77,132.28,295456,0.0,0
2003-01-20,132.58,133.06,128.54,129.0,490397,0.0,0
2003-01-21,129.14,129.75,126.8,128.11,296871,0.0,0
2003-01-22,127.47,129.22,127.06,128.33,516700,0.0,0
2003-01-23,128.36,128.49,127.55,128.22,415371,0.0,0
2003-01-24,128.54,128.68,126.69,127.31,129723,0.0,0
2003-01-27,127.9,131.77,126.45,129.78,299079,0.0,0
2003-01-28,130.32,132.31,129.89,130.61,149465,0.0,0
2003-01-29,130.86,135.0,130.48,134.25,254004,0.0,0
2003-01-30,134.57,138.76,134.57,137.28,345848,0.0,0
2003-01-31,136.02,138.09,135.54,137.12,378368,0.0,0
2003-02-03,137.15,137.69,134.46,136.07,152072,0.0,0
2003-02-04,135.67,137.15,135.67,136.93,260153,0.0,0
2003-02-05,136.05,136.56,130.43,132.09,325368,0.0,0
2003-02-06,132.28,132.28,126.39,128.01,617600,0.0,0
2003-02-07,129.08,142.53,127.01,127.74,507296,0.0,0
2003-02-10,128.01,128.01,123.35,124.7,738464,0.0,0
2003-02-11,124.78,125.69,117.79,118.41,821147,0.0,0
2003-02-12,117.79,119.54,111.9,117.52,2196325,0.0,0
2003-02-14,118.86,120.37,110.31,110.9,3290137,0.0,0
2003-02-17,112.84,115.64,112.84,114.72,1340231,0.0,0
2003-02-18,115.58,118.22,114.72,117.33,1402593,0.0,0
2003-02-19,118.33,123.43,118.06,122.12,2232658,0.0,0
2003-02-20,121.55,122.9,119.27,120.99,649271,0.0,0
2003-02-21,120.56,120.56,117.84,118.46,410694,0.0,0
2003-02-24,119.4,119.67,116.6,118.51,681182,0.0,0
2003-02-25,117.79,119.94,117.28,118.86,578495,0.0,0
2003-02-26,119.4,119.43,117.36,117.84,310194,0.0,0
2003-02-27,117.01,119.13,117.01,118.59,459186,0.0,0
2003-02-28,119.48,122.36,119.45,119.94,566769,0.0,0
2003-03-03,121.01,121.55,120.5,121.01,249520,0.0,0
2003-03-04,120.69,121.82,119.32,121.09,428621,0.0,0
2003-03-05,120.48,121.12,119.72,120.64,422620,0.0,0
2003-03-06,120.21,120.75,119.67,120.29,150394,0.0,0
2003-03-07,119.45,121.01,113.81,114.53,313693,0.0,0
2003-03-10,114.02,115.37,112.84,114.45,242552,0.0,0
2003-03-11,113.22,125.64,112.06,121.87,854129,0.0,0
2003-03-12,124.78,126.39,117.03,118.08,1510365,0.0,0
2003-03-13,118.06,123.14,117.3,121.44,1533774,0.0,0
2003-03-17,121.58,121.58,118.38,119.4,748340,0.0,0
2003-03-19,119.4,120.75,114.75,116.2,940492,0.0,0
2003-03-20,116.71,123.7,115.37,122.98,868968,0.0,0
2003-03-21,122.6,123.17,119.51,121.28,663731,0.0,0
2003-03-24,121.01,123.17,120.29,121.18,398105,0.0,0
2003-03-25,118.97,120.75,118.33,119.88,293883,0.0,0
2003-03-26,121.01,121.01,114.88,115.93,979683,0.0,0
2003-03-27,116.71,116.71,108.97,109.37,1946929,0.0,0
2003-03-28,110.1,111.04,104.93,105.87,1859417,0.0,0
2003-03-31,105.39,105.39,100.58,101.22,855611,0.0,0
2003-04-01,102.08,104.29,99.04,100.01,1317455,0.0,0
2003-04-02,101.36,103.64,101.22,102.86,1004277,0.0,0
2003-04-03,103.8,105.15,103.27,104.64,604907,0.0,0
2003-04-04,104.29,104.29,102.86,104.02,395679,0.0,0
2003-04-07,105.12,106.87,104.39,104.91,614338,0.0,0
2003-04-08,104.88,105.28,100.15,101.49,728622,0.0,0
2003-04-09,101.11,102.19,97.4,98.88,863471,0.0,0
2003-04-10,102.19,104.23,99.26,103.8,1936412,0.0,0
2003-04-11,104.88,111.6,104.88,110.8,2691883,0.0,0
2003-04-15,111.33,111.87,104.74,105.28,971311,0.0,0
2003-04-16,105.95,105.95,103.45,104.45,598846,0.0,0
2003-04-17,104.61,104.77,99.77,100.07,741387,0.0,0
2003-04-21,100.95,102.19,98.18,98.53,663460,0.0,0
2003-04-22,99.47,101.22,96.84,98.61,964891,0.0,0
2003-04-23,99.45,103.24,99.04,101.14,1078315,0.0,0
2003-04-24,102.06,102.94,100.33,101.09,906261,0.0,0
2003-04-25,102.19,105.9,101.17,105.26,883145,0.0,0
2003-04-28,105.93,107.11,103.53,105.9,619078,0.0,0
2003-04-29,106.98,110.15,106.76,109.4,1077764,0.0,0
2003-04-30,109.45,109.72,107.43,109.4,506227,0.0,0
2003-05-02,108.64,111.01,107.16,110.5,831444,0.0,0
2003-05-05,111.28,111.33,109.83,110.5,393924,0.0,0
2003-05-06,110.8,113.38,110.26,112.79,487396,0.0,0
2003-05-07,113.48,115.37,111.41,114.72,686401,0.0,0
2003-05-08,114.83,115.1,112.17,112.76,536989,0.0,0
2003-05-09,112.19,113.22,110.26,110.47,259249,0.0,0
2003-05-12,110.26,112.35,110.26,110.82,206283,0.0,0
2003-05-13,111.87,115.64,111.36,115.18,371535,0.0,0
2003-05-14,115.9,118.81,115.23,118.11,568020,0.0,0
2003-05-15,117.57,118.81,116.58,118.08,361962,0.0,0
2003-05-16,118.27,124.73,118.27,122.87,668266,0.0,0
2003-05-19,123.7,124.19,121.01,123.38,561730,0.0,0
