Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-09-29,321.32,325.12,287.39,289.72,89058658,0.0,0
2016-09-30,289.58,304.18,285.34,302.09,12045593,0.0,0
2016-10-03,304.67,305.5,299.22,301.56,3169557,0.0,0
2016-10-04,300.82,301.41,295.52,296.25,3173993,0.0,0
2016-10-05,296.98,306.72,296.1,305.5,5485589,0.0,0
2016-10-06,306.57,314.31,305.74,308.22,5753209,0.0,0
2016-10-07,309.64,311.29,307.15,308.91,1009789,0.0,0
2016-10-10,310.71,318.35,309.73,316.06,3482805,0.0,0
2016-10-13,313.53,320.06,307.45,309.2,3088238,0.0,0
2016-10-14,311.29,320.1,310.76,318.74,2771778,0.0,0
2016-10-17,319.37,322.98,315.67,318.98,2153353,0.0,0
2016-10-18,320.54,324.24,319.81,322.2,2774228,0.0,0
2016-10-19,322.88,323.71,315.48,316.36,1227049,0.0,0
2016-10-20,317.33,320.74,314.07,315.48,946203,0.0,0
2016-10-21,316.31,320.74,314.55,318.25,1122150,0.0,0
2016-10-24,319.23,321.18,314.6,315.38,684940,0.0,0
2016-10-25,315.87,319.37,314.65,315.62,964425,0.0,0
2016-10-26,315.43,316.84,310.9,311.97,940792,0.0,0
2016-10-27,311.63,311.63,304.09,305.84,1243528,0.0,0
2016-10-28,304.77,306.08,298.93,300.48,1188812,0.0,0
2016-11-01,304.67,307.15,301.9,303.11,1028849,0.0,0
2016-11-02,302.92,303.5,298.08,298.76,881783,1.1,0
2016-11-03,298.08,300.77,294.71,297.1,1243070,0.0,0
2016-11-04,297.98,298.96,295.59,296.47,1157870,0.0,0
2016-11-07,298.81,300.87,295.74,297.93,1228091,0.0,0
2016-11-08,299.01,299.94,295.78,296.57,412371,0.0,0
2016-11-09,283.37,293.88,264.81,291.24,2590826,0.0,0
2016-11-10,296.03,307.71,294.12,306.53,2123137,0.0,0
2016-11-11,302.62,302.62,295.64,297.89,1313176,0.0,0
2016-11-15,297.89,298.03,288.26,290.41,1591246,0.0,0
2016-11-16,296.08,297.3,291.19,292.46,1270188,0.0,0
2016-11-17,293.15,295.59,286.31,286.79,1051062,0.0,0
2016-11-18,288.02,288.85,278.0,278.93,899512,0.0,0
2016-11-21,281.42,281.42,275.75,277.66,1285263,0.0,0
2016-11-22,278.88,284.25,274.78,282.45,1209797,0.0,0
2016-11-23,283.37,290.21,281.71,288.16,504169,0.0,0
2016-11-24,288.36,289.24,284.64,288.31,378291,0.0,0
2016-11-25,289.24,300.87,288.75,296.61,827475,0.0,0
2016-11-28,296.96,301.94,296.18,301.26,545827,0.0,0
2016-11-29,301.84,307.71,301.16,306.92,923896,0.0,0
2016-11-30,307.75,307.75,301.21,302.67,527033,0.0,0
2016-12-01,302.04,302.92,296.42,297.1,398945,0.0,0
2016-12-02,296.18,296.22,291.24,291.83,530891,0.0,0
2016-12-05,291.19,291.73,285.92,286.79,2962323,0.0,0
2016-12-06,286.79,290.12,285.57,286.79,286857,0.0,0
2016-12-07,287.77,288.75,285.33,285.96,287566,0.0,0
2016-12-08,287.04,291.63,286.84,290.26,384455,0.0,0
2016-12-09,290.9,292.71,286.84,288.21,490921,0.0,0
2016-12-12,288.26,293.44,287.77,292.07,1858187,0.0,0
2016-12-13,291.97,292.07,288.7,291.34,448043,0.0,0
2016-12-14,289.92,295.39,289.24,290.41,828122,0.0,0
2016-12-15,289.24,304.77,288.26,303.55,2601377,0.0,0
2016-12-16,302.87,304.87,298.72,303.45,1466142,0.0,0
2016-12-19,302.92,310.69,300.96,308.29,3045917,0.0,0
2016-12-20,306.63,312.59,305.36,310.98,1832659,0.0,0
2016-12-21,311.42,312.64,306.83,308.98,717254,0.0,0
2016-12-22,309.76,309.76,298.13,300.13,467785,0.0,0
2016-12-23,297.15,299.94,293.15,293.78,461339,0.0,0
2016-12-26,292.17,293.63,287.82,288.31,483325,0.0,0
2016-12-27,287.43,290.7,287.38,288.7,403888,0.0,0
2016-12-28,292.9,292.9,287.82,288.36,490137,0.0,0
2016-12-29,288.55,294.81,288.55,293.24,463260,0.0,0
2016-12-30,294.07,299.01,293.24,295.34,515022,0.0,0
2017-01-02,294.32,300.87,294.32,300.08,336913,0.0,0
2017-01-03,301.55,306.58,300.96,305.9,675149,0.0,0
2017-01-04,307.46,313.67,306.34,312.4,1583760,0.0,0
2017-01-05,313.62,321.19,312.98,319.28,1993192,0.0,0
2017-01-06,320.46,330.28,319.19,323.44,4655888,0.0,0
2017-01-09,323.44,325.64,318.65,321.53,787856,0.0,0
2017-01-10,322.46,328.81,321.87,327.88,1660190,0.0,0
2017-01-11,329.3,330.96,326.61,330.08,1609150,0.0,0
2017-01-12,330.08,330.52,323.1,326.91,537489,0.0,0
2017-01-13,326.96,328.71,323.39,324.32,360639,0.0,0
2017-01-16,322.56,326.37,322.46,323.58,495389,0.0,0
2017-01-17,324.41,327.98,322.56,324.12,548693,0.0,0
2017-01-18,327.2,335.16,325.1,332.23,3153477,0.0,0
2017-01-19,333.01,343.47,331.5,341.76,5040128,0.0,0
2017-01-20,339.76,353.73,338.68,351.19,5356347,0.0,0
2017-01-23,351.78,354.07,348.06,352.9,2539069,0.0,0
2017-01-24,351.78,355.2,348.01,351.53,2132140,0.0,0
2017-01-25,349.38,351.14,343.52,345.77,1595576,0.0,0
2017-01-27,345.91,348.21,344.45,345.81,1172267,0.0,0
2017-01-30,345.91,347.82,340.15,343.27,812733,0.0,0
2017-01-31,341.03,341.52,330.28,337.51,1209329,0.0,0
2017-02-01,334.68,351.68,334.68,350.75,1719603,0.0,0
2017-02-02,350.6,351.78,347.38,351.09,1097980,0.0,0
2017-02-03,351.09,353.73,348.55,351.92,896563,0.0,0
2017-02-06,349.33,360.33,349.33,359.05,1838252,0.0,0
2017-02-07,357.64,358.81,352.75,355.29,608870,0.0,0
2017-02-08,354.71,356.66,348.11,349.97,1761889,0.0,0
2017-02-09,349.38,352.56,344.06,348.31,516261,0.0,0
2017-02-10,349.63,353.88,340.2,342.2,1036168,0.0,0
2017-02-13,344.89,346.89,340.83,343.37,339348,0.0,0
2017-02-14,343.37,350.21,343.37,349.23,504941,0.0,0
2017-02-15,347.87,348.84,339.27,341.17,242565,0.0,0
2017-02-16,340.59,351.78,340.59,350.6,500182,0.0,0
2017-02-17,351.78,356.95,346.89,354.61,1026944,0.0,0
2017-02-20,353.73,354.51,349.04,350.26,221447,0.0,0
2017-02-21,349.82,354.71,347.43,348.65,269628,0.0,0
2017-02-22,349.82,349.92,342.0,343.76,301117,0.0,0
2017-02-23,345.81,352.17,343.81,349.67,446372,0.0,0
2017-02-27,350.55,355.68,348.89,354.22,1025217,0.0,0
2017-02-28,354.66,356.66,349.97,353.09,534927,0.0,0
2017-03-01,352.07,355.68,350.75,354.12,539631,0.0,0
2017-03-02,359.59,363.11,352.85,354.9,2018671,0.0,0
2017-03-03,354.66,356.76,350.9,354.32,512670,0.0,0
2017-03-06,355.29,361.99,353.0,361.06,1628485,0.0,0
2017-03-07,362.52,364.28,352.31,360.47,854942,0.0,0
2017-03-08,361.06,366.43,359.84,365.46,1536173,0.0,0
2017-03-09,363.5,369.36,360.96,364.14,1922978,0.0,0
2017-03-10,365.16,366.33,359.93,361.99,1134047,0.0,0
2017-03-14,366.33,367.31,363.7,366.19,2035563,0.0,0
2017-03-15,365.11,370.24,365.11,368.14,1202120,0.0,0
2017-03-16,368.39,370.24,360.72,361.74,766241,0.0,0
2017-03-17,363.01,367.31,356.81,362.82,11314052,0.0,0
2017-03-20,364.28,365.02,358.81,359.79,447618,0.0,0
2017-03-21,359.89,365.99,359.89,362.62,3806709,0.0,0
2017-03-22,360.67,361.01,353.0,355.78,614601,0.0,0
2017-03-23,356.66,359.89,356.12,359.4,553928,0.0,0
2017-03-24,360.08,366.33,359.64,365.5,672041,0.0,0
2017-03-27,365.26,368.39,364.09,366.53,680026,0.0,0
2017-03-28,365.94,367.9,360.57,363.11,333510,0.0,0
2017-03-29,363.01,365.36,360.37,362.43,237378,0.0,0
2017-03-30,362.47,366.87,362.43,365.8,1950487,0.0,0
2017-03-31,364.09,378.11,363.99,373.66,1180554,0.0,0
2017-04-03,373.81,377.52,372.3,376.55,338548,0.0,0
2017-04-05,378.06,390.32,377.23,388.66,1333735,0.0,0
2017-04-06,389.2,391.84,382.16,382.51,464507,0.0,0
2017-04-07,382.07,393.65,381.14,390.86,837076,0.0,0
2017-04-10,390.86,391.99,384.02,385.83,643998,0.0,0
2017-04-11,384.36,389.64,382.56,384.31,395927,0.0,0
2017-04-12,383.04,401.61,374.4,391.98,1234306,0.0,0
2017-04-13,391.99,396.72,387.15,395.06,1193931,0.0,0
2017-04-17,394.92,395.94,390.86,393.55,506568,0.0,0
2017-04-18,395.75,397.7,389.35,393.4,494894,0.0,0
2017-04-19,393.79,396.38,389.4,390.62,500685,0.0,0
2017-04-20,392.82,394.77,387.93,390.13,219296,0.0,0
2017-04-21,393.7,400.49,391.94,398.53,819153,0.0,0
2017-04-24,399.66,400.44,391.64,393.5,540438,0.0,0
2017-04-25,394.67,413.19,393.89,410.31,1607040,0.0,0
2017-04-26,412.41,414.31,385.98,392.08,1771631,0.0,0
2017-04-27,392.82,397.55,387.93,390.37,470937,0.0,0
2017-04-28,394.23,398.48,392.82,396.72,472949,0.0,0
2017-05-02,398.68,399.07,389.4,390.57,278792,0.0,0
2017-05-03,389.93,395.5,387.93,389.59,455632,0.0,0
2017-05-04,389.98,393.5,382.8,384.22,503425,0.0,0
2017-05-05,385.0,386.66,378.16,383.0,391334,0.0,0
2017-05-08,386.85,405.52,385.93,400.93,845382,0.0,0
2017-05-09,400.93,406.01,397.95,400.63,271823,0.0,0
2017-05-10,401.85,405.03,399.8,401.41,227293,0.0,0
2017-05-11,399.46,408.45,395.84,401.27,475934,0.0,0
2017-05-12,403.17,405.42,396.97,400.88,472820,0.0,0
2017-05-15,401.61,410.31,399.66,407.28,417009,0.0,0
2017-05-16,406.45,410.31,402.59,407.96,337174,0.0,0
2017-05-17,407.57,411.14,403.56,406.2,251906,0.0,0
2017-05-18,401.61,409.82,400.63,404.0,394445,0.0,0
2017-05-19,405.52,408.25,399.17,400.73,388933,0.0,0
2017-05-22,402.59,405.37,394.87,397.26,281945,0.0,0
2017-05-23,396.48,401.9,388.96,400.63,437279,0.0,0
2017-05-24,400.58,400.58,389.15,393.21,814120,0.0,0
2017-05-25,393.79,397.9,388.96,390.62,1769399,0.0,0
2017-05-26,394.72,398.24,388.96,391.06,629809,0.0,0
2017-05-29,391.4,392.62,384.27,385.78,441748,0.0,0
2017-05-30,387.93,393.79,385.0,392.42,1057727,0.0,0
2017-05-31,388.91,399.66,388.91,397.55,727428,0.0,0
2017-06-01,393.79,400.05,392.91,393.84,119366,0.0,0
2017-06-02,393.79,404.44,388.91,401.27,797368,0.0,0
2017-06-05,400.14,404.05,395.94,397.16,247310,0.0,0
2017-06-06,396.72,399.56,388.61,391.79,213689,0.0,0
2017-06-07,395.26,415.19,395.26,411.38,2430312,0.0,0
2017-06-08,412.85,418.22,408.5,411.63,744147,0.0,0
2017-06-09,412.85,426.04,411.38,424.67,983085,0.0,0
2017-06-12,424.67,425.06,411.14,413.09,372156,0.0,0
2017-06-13,416.61,422.52,413.09,419.1,480293,0.0,0
2017-06-14,418.27,436.3,416.51,427.06,1010693,0.0,0
2017-06-15,427.99,433.76,427.99,431.8,327885,0.0,0
2017-06-16,434.74,438.94,432.44,433.9,409466,0.0,0
2017-06-19,432.88,438.74,432.29,433.71,190031,0.0,0
2017-06-20,433.47,434.78,426.82,429.85,299387,0.0,0
2017-06-21,428.53,433.71,427.02,431.9,221685,0.0,0
2017-06-22,430.53,439.62,430.53,434.93,547435,0.0,0
2017-06-23,434.83,436.69,427.7,429.9,584947,0.0,0
2017-06-27,432.15,436.69,427.21,429.95,716409,0.0,0
2017-06-28,428.24,449.25,425.89,447.1,808440,0.0,0
2017-06-29,447.54,464.93,447.34,462.83,2472285,0.0,0
2017-06-30,457.65,473.72,449.54,460.83,1951474,0.0,0
2017-07-03,458.28,464.05,455.65,461.51,584556,0.0,0
2017-07-04,465.17,497.76,464.15,478.17,3140893,0.0,0
2017-07-05,479.73,490.38,479.73,483.15,2395805,0.0,0
2017-07-06,485.06,488.28,474.51,478.56,1144572,0.0,0
2017-07-07,480.97,481.86,471.43,475.21,1035870,3.5,0
2017-07-10,477.33,480.33,474.97,476.54,117903,0.0,0
2017-07-11,478.95,490.81,477.43,481.61,984677,0.0,0
2017-07-12,482.25,486.68,473.39,479.3,1021677,0.0,0
2017-07-13,479.69,485.94,475.56,478.56,1211517,0.0,0
2017-07-14,478.02,479.54,474.38,476.69,309227,0.0,0
2017-07-17,477.33,478.22,464.29,465.72,809231,0.0,0
