Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-04-15,0.01,0.01,0.01,0.01,28800,0.0,0.0
1996-04-17,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-04-18,0.01,0.01,0.01,0.01,9600,0.0,0.0
1996-04-19,0.01,0.01,0.01,0.01,4800,0.0,0.0
1996-04-22,0.01,0.01,0.01,0.01,4800,0.0,0.0
1996-04-25,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-04-26,0.01,0.01,0.01,0.01,4800,0.0,0.0
1996-04-29,0.01,0.01,0.01,0.01,12000,0.0,0.0
1996-04-30,0.01,0.01,0.01,0.01,600000,0.0,0.0
1996-05-02,0.01,0.01,0.01,0.01,4800,0.0,0.0
1996-05-07,0.01,0.01,0.01,0.01,4800,0.0,0.0
1996-05-08,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-05-15,0.01,0.01,0.01,0.01,122400,0.0,0.0
1996-05-16,0.01,0.01,0.01,0.01,7200,0.0,0.0
1996-05-17,0.01,0.01,0.01,0.01,26400,0.0,0.0
1996-05-22,0.01,0.01,0.01,0.01,14400,0.0,0.0
1996-05-23,0.01,0.01,0.01,0.01,240000,0.0,0.0
1996-05-24,0.01,0.01,0.01,0.01,360000,0.0,0.0
1996-05-27,0.01,0.01,0.01,0.01,12000,0.0,0.0
1996-05-28,0.01,0.01,0.01,0.01,4800,0.0,0.0
1996-05-29,0.01,0.01,0.01,0.01,38400,0.0,0.0
1996-06-03,0.01,0.01,0.01,0.01,7200,0.0,0.0
1996-06-04,0.01,0.01,0.01,0.01,12000,0.0,0.0
1996-06-05,0.01,0.01,0.01,0.01,12000,0.0,0.0
1996-06-06,0.01,0.01,0.01,0.01,55200,0.0,0.0
1996-06-07,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-06-10,0.01,0.01,0.01,0.01,4800,0.0,0.0
1996-06-11,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-06-12,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-06-17,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-06-19,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-06-20,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-06-25,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-06-26,0.01,0.01,0.01,0.01,7200,0.0,0.0
1996-06-27,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-07-01,0.01,0.01,0.01,0.01,72000,0.0,0.0
1996-07-02,0.01,0.01,0.01,0.01,4800,0.0,0.0
1996-07-03,0.01,0.01,0.01,0.01,12000,0.0,0.0
1996-07-04,0.01,0.01,0.01,0.01,7200,0.0,0.0
1996-07-08,0.01,0.01,0.01,0.01,14400,0.0,0.0
1996-07-09,0.01,0.01,0.01,0.01,7200,0.0,0.0
1996-07-10,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-07-15,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-07-16,0.01,0.01,0.01,0.01,4800,0.0,0.0
1996-07-23,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-07-24,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-08-02,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-08-09,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-08-12,0.01,0.01,0.01,0.01,4800,0.0,0.0
1996-08-13,0.01,0.01,0.01,0.01,4800,0.0,0.0
1996-08-14,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-08-16,0.01,0.01,0.01,0.01,4800,0.0,0.0
1996-08-19,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-09-04,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-09-09,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-09-10,0.01,0.01,0.01,0.01,4800,0.0,0.0
1996-09-11,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-09-17,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-09-26,0.01,0.01,0.01,0.01,12000,0.0,0.0
1996-09-27,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-09-30,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-10-01,0.01,0.01,0.01,0.01,7200,0.0,0.0
1996-10-03,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-10-04,0.01,0.01,0.01,0.01,9600,0.0,0.0
1996-10-10,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-10-15,0.01,0.01,0.01,0.01,4800,0.0,0.0
1996-10-29,0.01,0.01,0.01,0.01,14400,0.0,0.0
1996-10-31,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-11-01,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-11-04,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-11-06,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-11-07,0.01,0.01,0.01,0.01,192000,0.0,0.0
1996-11-08,0.01,0.01,0.01,0.01,4800,0.0,0.0
1996-11-11,0.01,0.01,0.01,0.01,7200,0.0,0.0
1996-11-27,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-12-03,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-12-16,0.01,0.01,0.01,0.01,2400,0.0,0.0
1996-12-31,0.01,0.01,0.01,0.01,2400,0.0,0.0
1997-01-01,0.01,0.01,0.01,0.01,2400,0.0,0.0
1997-01-02,0.01,0.01,0.01,0.01,2400,0.0,0.0
1997-01-07,0.01,0.01,0.01,0.01,2400,0.0,0.0
1997-01-13,0.01,0.01,0.01,0.01,48000,0.0,0.0
1997-01-14,0.01,0.01,0.01,0.01,4800,0.0,0.0
1997-01-16,0.01,0.01,0.01,0.01,16800,0.0,0.0
1997-01-17,0.01,0.01,0.01,0.01,2400,0.0,0.0
1997-01-20,0.01,0.01,0.01,0.01,2400,0.0,0.0
1997-01-21,0.01,0.01,0.01,0.01,146400,0.0,0.0
1997-01-22,0.01,0.01,0.01,0.01,24000,0.0,0.0
1997-01-24,0.01,0.01,0.01,0.01,105600,0.0,0.0
1997-01-27,0.01,0.01,0.01,0.01,60000,0.0,0.0
1997-01-28,0.01,0.01,0.01,0.01,7200,0.0,0.0
1997-01-29,0.01,0.01,0.01,0.01,81600,0.0,0.0
1997-01-30,0.01,0.01,0.01,0.01,52800,0.0,0.0
1997-01-31,0.01,0.01,0.01,0.01,120000,0.0,0.0
1997-02-04,0.01,0.01,0.01,0.01,124800,0.0,0.0
1997-02-05,0.01,0.01,0.01,0.01,122400,0.0,0.0
1997-02-06,0.01,0.01,0.01,0.01,120000,0.0,0.0
1997-02-10,0.01,0.01,0.01,0.01,120000,0.0,0.0
1997-02-11,0.01,0.01,0.01,0.01,2400,0.0,0.0
1997-02-12,0.01,0.01,0.01,0.01,120000,0.0,0.0
1997-02-13,0.01,0.01,0.01,0.01,295200,0.0,0.0
1997-02-14,0.01,0.01,0.01,0.01,124800,0.0,0.0
1997-02-17,0.01,0.01,0.01,0.01,124800,0.0,0.0
1997-02-18,0.01,0.01,0.01,0.01,43200,0.0,0.0
1997-02-20,0.01,0.01,0.01,0.01,2400,0.0,0.0
1997-02-21,0.01,0.01,0.01,0.01,2400,0.0,0.0
1997-02-24,0.01,0.01,0.01,0.01,52800,0.0,0.0
1997-02-25,0.01,0.01,0.01,0.01,2400,0.0,0.0
1997-03-11,0.01,0.01,0.01,0.01,4800,0.0,0.0
1997-03-12,0.01,0.01,0.01,0.01,4800,0.0,0.0
1997-03-17,0.01,0.01,0.01,0.01,177600,0.0,0.0
1997-03-18,0.01,0.01,0.01,0.01,4800,0.0,0.0
1997-03-19,0.01,0.01,0.01,0.01,2400,0.0,0.0
1997-03-21,0.01,0.01,0.01,0.01,12000,0.0,0.0
1997-03-25,0.01,0.01,0.01,0.01,19200,0.0,0.0
1997-03-26,0.01,0.01,0.01,0.01,24000,0.0,0.0
1997-03-31,0.01,0.01,0.01,0.01,2400,0.0,0.0
1997-04-01,0.01,0.01,0.01,0.01,2400,0.0,0.0
1997-04-03,0.01,0.01,0.01,0.01,2400,0.0,0.0
1997-04-07,0.01,0.01,0.01,0.01,2400,0.0,0.0
1997-04-15,0.01,0.01,0.01,0.01,4800,0.0,0.0
1997-04-17,0.01,0.01,0.01,0.01,2400,0.0,0.0
1997-04-21,0.01,0.01,0.01,0.01,9600,0.0,0.0
1997-04-23,0.01,0.01,0.01,0.01,2400,0.0,0.0
1997-04-25,0.01,0.01,0.01,0.01,7200,0.0,0.0
1997-04-28,0.01,0.01,0.01,0.01,7200,0.0,0.0
1997-04-30,0.01,0.01,0.01,0.01,480000,0.0,0.0
1997-05-05,0.01,0.01,0.01,0.01,28800,0.0,0.0
1997-05-06,0.01,0.01,0.01,0.01,28800,0.0,0.0
1997-05-07,0.01,0.01,0.01,0.01,2400,0.0,0.0
1997-05-08,0.01,0.01,0.01,0.01,2400,0.0,0.0
1997-05-12,0.01,0.01,0.01,0.01,43200,0.0,0.0
1997-05-13,0.01,0.01,0.01,0.01,36000,0.0,0.0
1997-05-16,0.01,0.01,0.01,0.01,4800,0.0,0.0
1997-05-19,0.01,0.01,0.01,0.01,50400,0.0,0.0
1997-05-20,0.01,0.01,0.01,0.01,2400,0.0,0.0
1997-05-23,0.01,0.01,0.01,0.01,14400,0.0,0.0
1997-05-26,0.01,0.01,0.01,0.01,24000,0.0,0.0
1997-05-27,0.01,0.01,0.01,0.01,43200,0.0,0.0
1997-05-28,0.01,0.01,0.01,0.01,2400,0.0,0.0
1997-05-29,0.01,0.01,0.01,0.01,1219200,0.0,0.0
1997-05-30,0.01,0.01,0.01,0.01,530400,0.0,0.0
1997-06-02,0.01,0.01,0.01,0.01,429600,0.0,0.0
1997-06-03,0.01,0.01,0.01,0.01,259200,0.0,0.0
1997-06-04,0.01,0.01,0.01,0.01,124800,0.0,0.0
1997-06-05,0.01,0.01,0.01,0.01,198000,0.0,0.0
1997-06-06,0.01,0.01,0.01,0.01,26400,0.0,0.0
1997-06-09,0.01,0.01,0.01,0.01,219600,0.0,0.0
1997-06-10,0.01,0.01,0.01,0.01,15600,0.0,0.0
1997-06-11,0.01,0.01,0.01,0.01,31200,0.0,0.0
1997-06-12,0.01,0.01,0.01,0.01,7200,0.0,0.0
1997-06-13,0.01,0.01,0.01,0.01,7200,0.0,0.0
1997-06-16,0.01,0.01,0.01,0.01,3600,0.0,0.0
1997-06-17,0.01,0.01,0.01,0.01,10800,0.0,0.0
1997-06-18,0.01,0.01,0.01,0.01,3600,0.0,0.0
1997-06-19,0.01,0.01,0.01,0.01,13200,0.0,0.0
1997-06-20,0.01,0.01,0.01,0.01,1200,0.0,0.0
1997-06-23,0.01,0.01,0.01,0.01,4800,0.0,0.0
1997-06-24,0.01,0.01,0.01,0.01,8400,0.0,0.0
1997-06-25,0.01,0.01,0.01,0.01,19200,0.0,0.0
1997-06-26,0.01,0.01,0.01,0.01,7200,0.0,0.0
1997-06-30,0.01,0.01,0.01,0.01,1200,0.0,0.0
1997-07-01,0.01,0.01,0.01,0.01,8400,0.0,0.0
