Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-07-01,14.47,14.69,14.47,14.59,3709080,0.0,0.0
2002-07-02,14.63,14.77,14.59,14.62,2500024,0.0,0.0
2002-07-03,14.68,14.7,14.44,14.46,1910772,0.0,0.0
2002-07-04,14.52,14.56,14.37,14.4,1515924,0.0,0.0
2002-07-05,14.36,14.51,14.36,14.44,1038928,0.0,0.0
2002-07-08,14.66,14.74,14.43,14.71,1772150,0.0,0.0
2002-07-09,14.75,14.87,14.61,14.65,2892992,0.0,0.0
2002-07-10,14.47,14.68,14.43,14.61,1063845,0.0,0.0
2002-07-11,14.58,14.67,14.47,14.48,1413315,0.0,0.0
2002-07-12,14.59,14.63,14.46,14.56,1485990,0.0,0.0
2002-07-15,14.56,14.56,14.33,14.51,2159154,0.0,0.0
2002-07-16,14.27,14.55,14.27,14.45,1652139,0.0,0.0
2002-07-17,14.35,14.43,14.24,14.35,1308974,0.0,0.0
2002-07-18,14.39,14.48,14.32,14.44,1634162,0.0,0.0
2002-07-19,14.35,14.56,14.35,14.51,4430164,0.0,0.0
2002-07-22,16.86,16.86,16.31,16.37,2559452,7.0,0.0
2002-07-23,16.38,16.54,16.17,16.35,1543779,0.0,0.0
2002-07-24,16.23,16.38,16.21,16.23,1839717,0.0,0.0
2002-07-25,16.55,16.55,15.78,15.91,9698058,0.0,0.0
2002-07-26,15.86,16.03,15.77,15.84,2582338,0.0,0.0
2002-07-29,15.9,16.01,15.54,15.66,1608246,0.0,0.0
2002-07-30,15.91,15.91,15.33,15.44,1532264,0.0,0.0
2002-07-31,15.25,15.53,15.16,15.41,1588950,0.0,0.0
2002-08-01,15.24,15.5,15.24,15.26,939128,0.0,0.0
2002-08-02,15.19,15.4,15.04,15.35,1121058,0.0,0.0
2002-08-05,15.43,16.0,15.43,15.91,1788777,0.0,0.0
2002-08-06,15.81,15.9,15.54,15.83,968540,0.0,0.0
2002-08-07,16.0,16.0,15.84,15.88,884349,0.0,0.0
2002-08-08,15.91,16.36,15.87,15.91,2182082,0.0,0.0
2002-08-09,15.91,16.47,15.9,16.1,3620930,0.0,0.0
2002-08-12,16.18,16.44,16.05,16.19,2180412,0.0,0.0
2002-08-13,16.2,16.33,16.09,16.2,844686,0.0,0.0
2002-08-14,16.21,16.35,16.13,16.27,893840,0.0,0.0
2002-08-16,16.35,16.69,16.3,16.56,2908156,0.0,0.0
2002-08-19,16.81,16.87,16.56,16.64,4380849,0.0,0.0
2002-08-20,16.69,16.78,16.62,16.75,1884010,0.0,0.0
2002-08-21,16.59,16.99,16.51,16.93,3296326,0.0,0.0
2002-08-22,17.06,17.13,16.95,17.09,4005878,0.0,0.0
2002-08-23,17.27,17.52,17.05,17.44,6834802,0.0,0.0
2002-08-26,17.52,18.09,17.52,17.93,11248938,0.0,0.0
2002-08-27,18.04,18.12,17.57,18.02,8647790,0.0,0.0
2002-08-28,17.69,18.01,17.69,17.96,4746236,0.0,0.0
