Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-01-01,2.51,2.51,2.47,2.47,3600,0.0,0.0
1996-01-02,2.47,2.46,2.42,2.43,15600,0.0,0.0
1996-01-03,1.46,1.59,1.54,1.55,17600,0.0,0.0
1996-01-04,1.55,1.56,1.53,1.54,8800,0.0,0.0
1996-01-05,1.54,1.56,1.53,1.55,15200,0.0,0.0
1996-01-08,1.55,1.54,1.52,1.53,8800,0.0,0.0
1996-01-09,1.53,1.54,1.48,1.48,25600,0.0,0.0
1996-01-10,1.52,1.52,1.48,1.5,14800,0.0,0.0
1996-01-11,1.5,1.51,1.48,1.5,3600,0.0,0.0
1996-01-12,1.5,1.54,1.48,1.53,24800,0.0,0.0
1996-01-15,1.53,1.53,1.51,1.53,4800,0.0,0.0
1996-01-16,1.53,1.54,1.51,1.54,7200,0.0,0.0
1996-01-17,1.54,1.54,1.51,1.53,6400,0.0,0.0
1996-01-18,1.53,1.55,1.51,1.55,250800,0.0,0.0
1996-01-19,1.53,1.54,1.51,1.53,20800,0.0,0.0
1996-01-22,1.53,1.54,1.51,1.53,24800,0.0,0.0
1996-01-23,1.53,1.59,1.52,1.57,52000,0.0,0.0
1996-01-24,1.56,1.57,1.53,1.54,6800,0.0,0.0
1996-01-25,1.54,1.59,1.53,1.59,122800,0.0,0.0
1996-01-29,1.59,1.61,1.55,1.61,4000,0.0,0.0
1996-01-30,1.61,1.7,1.58,1.7,249200,0.0,0.0
1996-01-31,1.66,1.7,1.59,1.7,100800,0.0,0.0
1996-02-01,1.7,1.78,1.66,1.78,445200,0.0,0.0
1996-02-02,1.7,1.77,1.7,1.76,32400,0.0,0.0
1996-02-05,1.76,1.84,1.73,1.83,507600,0.0,0.0
1996-02-06,1.83,1.83,1.78,1.81,68800,0.0,0.0
1996-02-07,1.81,1.87,1.76,1.84,67600,0.0,0.0
1996-02-08,1.84,1.94,1.88,1.91,42800,0.0,0.0
1996-02-09,1.93,1.94,1.9,1.91,61200,0.0,0.0
1996-02-12,1.92,1.98,1.83,1.87,38400,0.0,0.0
1996-02-13,1.85,1.97,1.83,1.96,90800,0.0,0.0
1996-02-14,2.01,2.14,2.01,2.11,460000,0.0,0.0
1996-02-15,2.11,2.13,2.06,2.12,69200,0.0,0.0
1996-02-16,2.12,2.1,2.04,2.08,55200,0.0,0.0
1996-02-19,2.08,2.13,2.05,2.12,62400,0.0,0.0
1996-02-20,2.12,2.14,2.11,2.12,72400,0.0,0.0
1996-02-22,2.12,2.15,2.12,2.13,34400,0.0,0.0
1996-02-23,2.13,2.15,2.12,2.14,39200,0.0,0.0
1996-02-26,2.14,2.22,2.16,2.21,68800,0.0,0.0
1996-02-27,2.21,2.24,2.19,2.23,42800,0.0,0.0
1996-02-28,2.23,2.23,2.16,2.17,23600,0.0,0.0
1996-02-29,2.17,2.15,2.08,2.1,76400,0.0,0.0
1996-03-01,2.1,2.13,2.09,2.12,51600,0.0,0.0
1996-03-04,2.12,2.12,2.06,2.06,28800,0.0,0.0
1996-03-06,2.06,2.12,2.08,2.08,14000,0.0,0.0
1996-03-07,2.08,2.16,2.07,2.08,16400,0.0,0.0
1996-03-08,2.08,2.07,2.05,2.07,15600,0.0,0.0
1996-03-11,2.07,2.01,1.93,1.96,16000,0.0,0.0
1996-03-12,1.96,1.96,1.92,1.93,33600,0.0,0.0
1996-03-13,1.93,1.98,1.93,1.98,16400,0.0,0.0
1996-03-14,1.98,2.03,1.98,2.0,9600,0.0,0.0
1996-03-15,2.0,2.03,1.99,2.03,16800,0.0,0.0
1996-03-18,1.98,1.98,1.96,1.97,8400,0.0,0.0
1996-03-19,1.97,2.0,1.96,1.96,14400,0.0,0.0
1996-03-21,1.96,2.12,1.97,1.99,46000,0.0,0.0
1996-03-22,1.99,1.97,1.92,1.92,5600,0.0,0.0
1996-03-25,1.92,2.05,1.93,1.97,20000,0.0,0.0
1996-03-26,1.97,1.96,1.93,1.93,5200,0.0,0.0
1996-03-27,1.93,1.97,1.9,1.91,51600,0.0,0.0
1996-03-28,1.91,2.0,1.91,1.98,47200,0.0,0.0
