Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2003-07-09,146.35,151.24,137.57,145.82,35164284,0.0,0
2003-07-10,148.22,149.73,146.0,148.22,10464179,0.0,0
2003-07-11,148.88,155.18,147.55,153.85,11740117,0.0,0
2003-07-14,154.65,159.09,154.65,157.94,5982324,0.0,0
2003-07-15,177.51,177.51,153.54,156.38,6173689,0.0,0
2003-07-16,156.6,158.96,155.63,157.18,3759085,0.0,0
2003-07-17,157.54,157.98,151.46,152.83,3814181,0.0,0
2003-07-18,146.44,152.57,142.0,148.57,5375212,0.0,0
2003-07-21,149.99,150.35,144.71,146.35,3315845,0.0,0
2003-07-22,145.56,150.13,143.87,148.44,4627992,0.0,0
2003-07-23,151.32,157.98,150.7,155.05,13262249,0.0,0
2003-07-24,156.12,157.09,153.41,154.52,4305936,0.0,0
2003-07-25,154.79,155.32,152.74,154.12,2832967,0.0,0
2003-07-28,166.86,166.86,155.41,158.73,5415867,0.0,0
2003-07-29,159.71,162.33,158.96,160.02,5229181,0.0,0
2003-07-30,160.87,163.97,159.84,160.73,4632246,0.0,0
2003-07-31,161.26,163.0,159.44,160.51,3562717,0.0,0
2003-08-01,161.53,167.74,158.65,166.1,8027285,0.0,0
2003-08-04,166.72,176.17,164.19,175.38,9982429,0.0,0
2003-08-05,176.62,180.57,171.16,171.83,9651327,0.0,0
2003-08-06,169.96,175.29,168.5,170.05,7451054,0.0,0
2003-08-07,171.74,173.96,170.63,173.42,3223676,0.0,0
2003-08-08,174.84,176.53,173.96,174.98,2530289,0.0,0
2003-08-11,175.82,180.88,173.96,179.46,5651311,0.0,0
2003-08-12,180.88,188.16,180.61,186.78,8215213,0.0,0
2003-08-13,189.04,194.81,188.16,193.3,7839204,0.0,0
2003-08-14,197.92,199.16,190.82,192.19,6298655,0.0,0
2003-08-18,193.57,196.14,191.17,192.51,3382031,0.0,0
2003-08-19,195.12,195.17,190.82,191.4,3080091,0.0,0
2003-08-20,192.95,200.98,192.86,199.69,6049174,0.0,0
2003-08-21,201.47,203.16,198.19,202.31,4012069,0.0,0
2003-08-22,202.4,206.62,200.49,203.51,4436016,0.0,0
2003-08-25,204.13,205.42,191.8,196.19,4827198,0.0,0
2003-08-26,192.59,208.57,192.59,206.31,3968069,0.0,0
2003-08-27,208.92,210.88,206.79,207.95,2267859,0.0,0
2003-08-28,209.24,209.24,200.58,202.4,3554363,0.0,0
2003-08-29,205.95,211.68,205.46,208.92,3212067,0.0,0
2003-09-01,209.81,210.34,205.64,209.06,2478236,0.0,0
2003-09-02,208.44,208.44,198.9,201.07,3975812,0.0,0
2003-09-03,201.56,205.69,196.14,197.74,3945233,0.0,0
2003-09-04,197.92,200.32,193.88,196.63,3682478,0.0,0
