Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-08-12,388.81,392.22,386.44,386.56,7100.0,0.0,0
2002-08-13,385.29,394.09,385.29,389.54,8800.0,0.0,0
2002-08-14,384.22,394.09,384.22,393.63,18700.0,0.0,0
2002-08-16,394.86,395.51,390.27,391.03,9400.0,0.0,0
2002-08-19,394.09,397.12,391.84,392.56,9100.0,0.0,0
2002-08-20,395.24,418.85,392.79,400.44,87200.0,0.0,0
2002-08-21,405.57,408.48,396.39,397.69,26000.0,0.0,0
2002-08-22,398.68,406.34,395.28,401.63,17700.0,0.0,0
2002-08-23,409.4,437.71,409.4,429.98,701900.0,0.0,0
2002-08-26,428.53,428.53,405.57,418.12,50100.0,0.0,0
2002-08-27,417.81,427.0,417.81,422.41,29100.0,0.0,0
2002-08-28,413.99,426.23,413.99,424.97,20100.0,0.0,0
2002-08-29,424.7,434.61,419.34,423.82,138400.0,0.0,0
2002-08-30,424.78,428.45,423.17,424.74,39400.0,0.0,0
2002-09-02,427.38,429.68,426.23,427.72,22900.0,0.0,0
2002-09-03,428.53,428.91,425.47,427.19,8400.0,0.0,0
2002-09-04,422.44,428.53,422.44,427.92,7800.0,0.0,0
2002-09-05,436.95,442.3,431.59,437.1,974200.0,0.0,0
2002-09-06,436.18,436.18,430.06,432.66,14500.0,0.0,0
2002-09-09,428.53,431.36,425.2,428.6,16800.0,0.0,0
2002-09-11,431.21,431.21,425.47,428.95,32400.0,0.0,0
2002-09-12,426.35,429.29,426.35,428.53,13200.0,0.0,0
2002-09-13,428.53,428.53,424.32,426.27,1900.0,0.0,0
2002-09-16,421.64,428.34,421.64,427.15,5300.0,0.0,0
2002-09-17,427.0,429.25,424.01,428.87,7300.0,0.0,0
2002-09-18,425.66,429.29,425.66,429.06,7800.0,0.0,0
2002-09-19,428.53,428.53,422.79,424.74,23800.0,0.0,0
2002-09-20,421.26,429.29,421.26,422.71,2900.0,0.0,0
2002-09-23,421.18,428.53,421.18,426.69,6000.0,0.0,0
2002-09-24,426.96,443.83,423.17,436.83,195900.0,0.0,0
2002-09-25,434.61,435.41,427.76,429.79,16700.0,0.0,0
2002-09-26,428.6,430.82,426.69,427.88,4700.0,0.0,0
2002-09-27,435.34,435.34,424.7,430.52,58000.0,0.0,0
2002-09-30,433.12,437.25,431.05,436.18,151700.0,0.0,0
2002-10-01,430.82,432.77,427.0,429.03,7000.0,0.0,0
2002-10-03,428.53,434.19,428.53,431.59,8900.0,0.0,0
2002-10-04,435.3,435.41,431.59,432.93,6800.0,0.0,0
2002-10-07,426.23,435.87,426.23,433.16,13700.0,0.0,0
2002-10-08,425.47,434.65,425.47,433.5,8200.0,0.0,0
2002-10-09,430.06,433.85,430.06,432.12,8800.0,0.0,0
2002-10-10,430.48,435.41,430.25,433.54,37100.0,0.0,0
2002-10-11,430.44,431.59,428.53,429.45,10600.0,0.0,0
2002-10-14,440.01,440.01,428.57,428.64,1600.0,0.0,0
2002-10-16,428.53,429.29,425.85,428.64,5600.0,0.0,0
2002-10-17,424.89,431.97,424.32,429.41,12400.0,0.0,0
2002-10-18,426.31,434.5,426.31,430.52,34500.0,0.0,0
2002-10-21,427.07,431.59,417.2,419.61,29200.0,0.0,0
2002-10-22,447.66,452.25,420.88,422.64,13400.0,0.0,0
2002-10-23,424.7,427.0,419.73,424.93,20400.0,0.0,0
2002-10-24,419.38,431.97,419.38,429.14,10700.0,0.0,0
2002-10-25,418.96,430.82,418.96,428.22,30200.0,0.0,0
2002-10-28,429.68,432.35,420.03,430.52,31600.0,0.0,0
2002-10-29,425.85,430.56,425.85,429.06,4300.0,0.0,0
2002-10-30,420.15,430.75,420.15,425.47,16900.0,0.0,0
2002-10-31,423.29,423.97,420.88,421.26,25100.0,0.0,0
2002-11-01,414.06,419.15,398.72,408.44,49900.0,0.0,0
2002-11-04,408.02,410.93,405.3,409.82,4000.0,0.0,0
2002-11-05,416.97,416.97,405.61,406.6,5300.0,0.0,0
2002-11-07,406.34,409.82,401.74,407.68,32100.0,0.0,0
2002-11-08,404.92,405.57,401.74,402.66,6900.0,0.0,0
2002-11-11,401.94,404.04,399.91,401.4,5800.0,0.0,0
2002-11-12,423.94,423.94,401.36,404.16,12600.0,0.0,0
2002-11-13,405.53,408.48,397.15,397.61,16700.0,0.0,0
2002-11-14,394.93,397.92,392.6,394.67,30500.0,0.0,0
2002-11-15,394.09,396.31,392.56,393.9,13400.0,0.0,0
2002-11-18,394.86,401.21,393.33,395.55,15400.0,0.0,0
2002-11-20,399.45,403.66,394.93,396.24,24100.0,0.0,0
2002-11-21,397.92,397.92,393.33,394.86,6000.0,0.0,0
2002-11-22,394.86,404.81,393.48,396.16,13400.0,0.0,0
2002-11-25,397.92,405.57,395.89,401.86,6800.0,0.0,0
2002-11-26,412.46,415.52,403.35,409.7,22200.0,0.0,0
2002-11-27,407.87,407.87,397.96,401.32,6300.0,0.0,0
2002-11-28,407.79,411.62,404.19,409.21,5800.0,0.0,0
2002-12-02,416.93,416.93,412.19,415.6,7500.0,0.0,0
2002-12-03,415.52,418.96,414.79,417.13,7700.0,0.0,0
2002-12-04,418.5,419.35,412.8,416.82,23300.0,0.0,0
2002-12-05,417.05,417.81,406.34,408.63,12300.0,0.0,0
2002-12-06,417.05,452.25,409.47,413.03,13500.0,0.0,0
2002-12-09,419.56,423.52,407.77,410.14,30100.0,18.0,0
2002-12-10,411.65,418.38,411.01,413.35,9800.0,0.0,0
2002-12-11,409.27,414.02,403.93,412.87,33200.0,0.0,0
2002-12-12,410.5,413.55,410.38,412.91,4500.0,0.0,0
2002-12-13,411.77,413.63,410.85,412.87,6500.0,0.0,0
2002-12-16,411.73,414.02,405.31,408.8,29200.0,0.0,0
2002-12-17,409.07,413.63,408.12,409.63,2600.0,0.0,0
2002-12-18,410.06,413.15,408.56,409.39,3000.0,0.0,0
2002-12-19,406.66,411.61,403.73,405.31,17700.0,0.0,0
2002-12-20,409.27,410.06,407.29,408.48,13500.0,0.0,0
2002-12-23,410.46,412.44,408.68,411.21,22400.0,0.0,0
2002-12-24,414.02,414.65,410.06,411.37,2700.0,0.0,0
2002-12-26,413.86,413.86,409.27,411.88,3000.0,0.0,0
2002-12-27,411.65,417.98,394.27,414.14,5000.0,0.0,0
2002-12-30,411.65,418.77,411.65,413.39,10000.0,0.0,0
2002-12-31,407.69,415.53,403.73,414.46,10300.0,0.0,0
2003-01-01,406.11,415.6,406.11,415.53,2300.0,0.0,0
2003-01-02,417.9,417.98,412.6,415.76,1600.0,0.0,0
2003-01-03,408.52,417.94,408.52,416.75,5000.0,0.0,0
2003-01-06,418.38,424.31,416.55,418.26,8800.0,0.0,0
2003-01-07,417.98,423.52,417.98,419.92,7600.0,0.0,0
2003-01-08,420.87,426.65,418.38,423.4,35200.0,0.0,0
2003-01-09,421.58,425.86,421.58,424.67,4100.0,0.0,0
2003-01-10,419.56,431.44,419.17,430.17,11400.0,0.0,0
2003-01-13,434.13,434.13,428.67,429.89,13000.0,0.0,0
