Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-11-05,43.51,43.51,34.61,37.36,279042883,0.0,0.0
2004-11-08,37.97,38.86,37.08,37.18,82638332,0.0,0.0
2004-11-09,37.13,37.63,36.86,37.23,44953063,0.0,0.0
2004-11-10,37.33,37.55,37.08,37.11,20896120,0.0,0.0
2004-11-11,37.26,37.28,36.74,36.81,19153711,0.0,0.0
2004-11-12,37.08,40.74,36.42,36.91,5104156,0.0,0.0
2004-11-16,36.93,36.98,36.19,36.42,15905273,0.0,0.0
2004-11-17,36.44,37.18,36.34,36.39,24043421,0.0,0.0
2004-11-18,37.08,39.48,36.34,36.42,21545231,0.0,0.0
2004-11-19,36.42,37.01,36.34,36.37,19074889,0.0,0.0
2004-11-22,36.39,37.11,35.6,36.81,33741683,0.0,0.0
2004-11-23,37.08,37.82,37.06,37.5,35706926,0.0,0.0
2004-11-24,37.85,38.57,37.68,38.47,36985500,0.0,0.0
2004-11-25,38.52,39.06,37.97,38.1,28246130,0.0,0.0
2004-11-29,38.17,38.57,37.95,38.22,17041910,0.0,0.0
2004-11-30,38.52,39.41,38.0,39.11,47944693,0.0,0.0
2004-12-01,39.31,39.8,39.06,39.41,40466184,0.0,0.0
2004-12-02,39.8,40.22,39.53,39.78,21840421,0.0,0.0
2004-12-03,39.93,40.0,39.18,39.36,15302190,0.0,0.0
2004-12-06,40.35,40.59,39.38,39.51,13179942,0.0,0.0
2004-12-07,39.65,40.42,39.33,39.78,25779588,0.0,0.0
2004-12-08,39.9,40.15,39.33,39.56,26046708,0.0,0.0
2004-12-09,39.51,39.73,39.36,39.56,11302276,0.0,0.0
2004-12-10,40.35,40.35,38.91,39.06,11900147,0.0,0.0
2004-12-13,39.14,39.56,38.99,39.36,8461090,0.0,0.0
2004-12-14,39.6,40.42,39.46,40.35,19229176,0.0,0.0
2004-12-15,40.54,41.78,40.52,41.58,28750714,0.0,0.0
2004-12-16,41.78,42.03,41.29,41.43,11662996,0.0,0.0
2004-12-17,41.58,41.63,40.79,41.04,10503541,0.0,0.0
2004-12-20,41.04,41.51,41.04,41.16,7543022,0.0,0.0
2004-12-21,41.29,41.93,41.26,41.78,12386305,0.0,0.0
2004-12-22,42.0,42.0,40.99,41.11,10146313,0.0,0.0
2004-12-23,41.04,41.53,41.04,41.16,6996611,0.0,0.0
2004-12-24,41.41,41.73,41.19,41.36,6717558,0.0,0.0
2004-12-27,41.29,42.27,41.04,42.05,13158428,0.0,0.0
2004-12-28,42.25,43.09,42.18,42.99,12664877,0.0,0.0
2004-12-29,43.02,44.05,42.82,43.04,19708872,0.0,0.0
2004-12-30,43.09,43.41,42.18,42.35,19720973,0.0,0.0
2004-12-31,42.57,43.46,42.52,43.14,7890947,0.0,0.0
2005-01-03,43.51,43.91,43.04,43.76,12163234,0.0,0.0
2005-01-04,43.83,44.33,43.34,43.91,13687440,0.0,0.0
2005-01-05,43.73,44.05,40.67,41.95,17104466,0.0,0.0
2005-01-06,41.9,41.9,40.35,40.89,22095029,0.0,0.0
2005-01-07,41.48,41.51,40.94,41.21,9361992,0.0,0.0
2005-01-10,43.51,43.51,41.09,41.26,8200237,0.0,0.0
2005-01-11,41.29,41.43,40.32,40.45,9977935,0.0,0.0
2005-01-12,40.05,40.79,38.57,39.09,17880980,0.0,0.0
2005-01-13,39.7,40.79,39.36,40.45,13217640,0.0,0.0
2005-01-14,40.72,40.84,39.85,40.12,12506623,0.0,0.0
2005-01-17,40.54,40.59,39.11,40.17,11141164,0.0,0.0
2005-01-18,40.3,40.59,40.05,40.22,7756406,0.0,0.0
2005-01-19,40.05,40.57,39.31,39.46,10792112,0.0,0.0
2005-01-20,39.56,39.56,38.32,38.69,10544514,0.0,0.0
2005-01-24,41.88,41.88,38.44,38.59,4581762,0.0,0.0
2005-01-25,38.81,40.1,38.27,39.95,22563696,0.0,0.0
2005-01-27,40.3,40.45,39.26,39.51,13667186,0.0,0.0
2005-01-28,39.93,40.82,39.8,40.67,15215167,0.0,0.0
2005-01-31,40.79,43.02,40.79,42.77,34446121,0.0,0.0
2005-02-01,43.02,44.8,42.18,44.08,51985410,0.0,0.0
2005-02-02,44.25,45.12,43.98,44.38,34264607,0.0,0.0
2005-02-03,44.6,45.69,44.6,45.41,21975580,0.0,0.0
2005-02-04,45.71,45.93,44.62,45.37,26055173,0.0,0.0
2005-02-07,46.18,46.33,45.44,45.79,21897768,0.0,0.0
2005-02-08,45.98,46.08,44.99,45.17,14936903,0.0,0.0
2005-02-09,45.44,45.71,45.09,45.46,10829342,0.0,0.0
2005-02-10,46.38,46.38,45.12,45.51,11229172,0.0,0.0
2005-02-11,45.71,45.96,45.41,45.56,7557026,0.0,0.0
2005-02-14,45.83,45.98,45.37,45.51,7011640,0.0,0.0
2005-02-15,45.64,46.21,45.14,45.81,19604012,0.0,0.0
2005-02-16,45.98,46.18,45.41,45.54,14322359,0.0,0.0
2005-02-17,45.49,45.91,45.09,45.69,12975905,0.0,0.0
2005-02-18,45.83,46.63,45.76,46.13,16123811,0.0,0.0
2005-02-21,46.26,46.53,45.49,45.69,9124350,0.0,0.0
2005-02-22,45.76,45.86,45.44,45.81,7732782,0.0,0.0
2005-02-23,45.98,47.07,45.49,46.92,17505744,0.0,0.0
2005-02-24,47.22,47.22,46.16,46.4,18325854,0.0,0.0
2005-02-25,47.18,47.18,46.25,46.45,9350717,1.2,0.0
2005-02-28,46.57,47.1,46.35,46.7,11375136,0.0,0.0
2005-03-01,46.95,46.95,46.4,46.7,6108628,0.0,0.0
2005-03-02,46.62,47.2,46.62,46.9,5037324,0.0,0.0
2005-03-03,46.93,47.28,46.88,47.18,4743553,0.0,0.0
2005-03-04,47.28,47.63,47.03,47.18,7437644,0.0,0.0
2005-03-07,47.23,47.5,46.15,46.3,13698188,0.0,0.0
2005-03-08,46.95,47.33,46.1,47.15,10172664,0.0,0.0
2005-03-09,47.33,47.4,46.15,46.45,8272939,0.0,0.0
2005-03-10,46.55,46.8,46.25,46.72,5171821,0.0,0.0
2005-03-11,46.9,47.2,46.7,46.95,6961393,0.0,0.0
2005-03-14,46.9,47.05,46.47,46.7,3428026,0.0,0.0
2005-03-15,46.8,47.1,46.0,46.07,5229545,0.0,0.0
2005-03-16,46.17,46.42,45.75,45.87,2940364,0.0,0.0
