Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-01-01,0.05,0.05,0.05,0.05,10800,0.0,0.0
1996-01-02,0.05,0.05,0.05,0.05,27000,0.0,0.0
1996-01-03,0.05,0.05,0.05,0.05,10800,0.0,0.0
1996-01-04,0.05,0.05,0.05,0.05,41400,0.0,0.0
1996-01-05,0.05,0.05,0.05,0.05,46800,0.0,0.0
1996-01-08,0.05,0.05,0.05,0.05,54000,0.0,0.0
1996-01-09,0.05,0.05,0.05,0.05,41400,0.0,0.0
1996-01-10,0.05,0.05,0.05,0.05,18900,0.0,0.0
1996-01-11,0.05,0.05,0.05,0.05,38700,0.0,0.0
1996-01-12,0.05,0.05,0.05,0.05,1800,0.0,0.0
1996-01-15,0.05,0.05,0.05,0.05,9900,0.0,0.0
1996-01-16,0.05,0.05,0.05,0.05,41400,0.0,0.0
1996-01-17,0.05,0.05,0.05,0.05,21600,0.0,0.0
1996-01-18,0.05,0.05,0.05,0.05,32400,0.0,0.0
1996-01-19,0.05,0.05,0.05,0.05,35100,0.0,0.0
1996-01-22,0.05,0.05,0.05,0.05,42300,0.0,0.0
1996-01-23,0.05,0.05,0.05,0.05,54900,0.0,0.0
1996-01-24,0.05,0.05,0.05,0.05,49500,0.0,0.0
1996-01-25,0.05,0.05,0.05,0.05,28800,0.0,0.0
1996-01-29,0.05,0.05,0.05,0.05,28800,0.0,0.0
1996-01-30,0.05,0.05,0.05,0.05,78300,0.0,0.0
1996-01-31,0.05,0.05,0.05,0.05,30600,0.0,0.0
1996-02-01,0.05,0.05,0.05,0.05,25200,0.0,0.0
1996-02-02,0.05,0.05,0.05,0.05,49500,0.0,0.0
1996-02-05,0.05,0.05,0.05,0.05,30600,0.0,0.0
1996-02-06,0.05,0.05,0.05,0.05,67500,0.0,0.0
1996-02-07,0.05,0.05,0.05,0.05,15300,0.0,0.0
1996-02-08,0.05,0.06,0.05,0.05,76500,0.0,0.0
1996-02-09,0.05,0.06,0.06,0.06,64800,0.0,0.0
1996-02-12,0.06,0.06,0.06,0.06,70200,0.0,0.0
