Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2007-10-05,66.3,80.84,61.39,74.27,481058927,0.0,0
2007-10-08,76.78,76.78,70.02,70.47,71252858,0.0,0
2007-10-09,70.5,75.93,66.7,75.27,65658228,0.0,0
2007-10-10,77.22,77.52,75.3,75.97,38211410,0.0,0
2007-10-11,88.59,88.59,75.3,84.46,59805552,0.0,0
2007-10-12,82.69,87.04,81.95,83.9,55918584,0.0,0
2007-10-15,85.64,86.16,84.27,85.01,23520928,0.0,0
2007-10-16,85.12,95.16,84.53,93.69,77970674,0.0,0
2007-10-17,84.16,103.36,78.33,101.0,115242925,0.0,0
2007-10-18,102.62,110.33,93.28,97.45,82472533,0.0,0
2007-10-19,95.24,101.07,92.28,97.12,62024917,0.0,0
2007-10-22,95.16,98.82,92.65,95.83,40642551,0.0,0
2007-10-23,98.19,103.58,98.19,102.66,41959654,0.0,0
2007-10-24,104.83,105.94,99.92,101.07,35468542,0.0,0
2007-10-25,97.64,103.21,89.07,100.85,19418905,0.0,0
2007-10-26,102.62,105.54,99.85,103.87,35083148,0.0,0
2007-10-29,105.57,108.53,105.06,105.98,24557461,0.0,0
2007-10-30,107.42,111.26,104.24,108.34,44955974,0.0,0
2007-10-31,108.89,113.03,108.53,110.59,25118651,0.0,0
2007-11-01,113.32,114.17,107.23,108.12,28480784,0.0,0
2007-11-02,104.21,110.74,103.36,110.08,18000957,0.0,0
2007-11-05,110.0,114.8,109.34,112.33,21843644,0.0,0
2007-11-06,114.28,121.0,112.25,113.8,46057670,0.0,0
2007-11-07,115.91,117.53,109.63,112.14,18896147,0.0,0
2007-11-08,109.26,113.21,107.79,110.22,15744672,0.0,0
2007-11-12,106.9,114.87,103.99,112.88,19773981,0.0,0
2007-11-13,114.8,117.9,111.15,115.58,24654680,0.0,0
2007-11-14,117.61,119.23,113.47,114.06,20665456,0.0,0
2007-11-15,116.2,118.01,113.8,115.98,16448771,0.0,0
2007-11-16,115.47,117.79,113.84,115.17,10628606,0.0,0
2007-11-19,117.79,123.66,116.91,119.34,22903160,0.0,0
2007-11-20,118.86,122.18,116.06,117.5,14817475,0.0,0
2007-11-21,118.2,118.9,105.72,108.34,15083160,0.0,0
2007-11-22,107.2,111.55,100.07,104.61,19179109,0.0,0
2007-11-23,111.48,112.22,105.28,111.55,15561055,0.0,0
2007-11-26,115.69,115.69,111.55,112.44,11339510,0.0,0
2007-11-27,114.36,114.36,108.53,109.67,11572427,0.0,0
2007-11-28,112.07,112.59,107.31,108.05,9244865,0.0,0
2007-11-29,110.74,111.33,103.76,105.13,14361173,0.0,0
2007-11-30,107.05,109.85,105.57,109.19,10371221,0.0,0
2007-12-03,110.52,112.11,109.67,110.74,9478818,0.0,0
2007-12-04,111.48,112.4,108.49,109.3,7879911,0.0,0
