Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-16,659.77,753.6,654.78,680.14,60887005,0.0,0
2020-03-17,689.72,746.56,687.72,729.54,15145135,0.0,0
2020-03-18,750.7,767.57,678.74,687.92,8949832,0.0,0
2020-03-19,658.77,715.67,648.79,690.77,6432046,0.0,0
2020-03-20,704.94,728.64,688.97,723.15,6492226,0.0,0
2020-03-23,657.78,696.7,578.92,581.32,6260086,0.0,0
2020-03-24,618.85,622.79,573.98,612.56,4019306,0.0,0
2020-03-25,599.88,647.7,590.3,623.79,3487615,0.0,0
2020-03-26,632.82,692.51,620.3,649.74,4360453,0.0,0
2020-03-27,673.75,688.72,648.79,654.68,3114532,0.0,0
2020-03-30,638.81,641.51,605.87,614.21,1791851,0.0,0
2020-03-31,633.82,636.82,607.42,617.5,2334476,0.0,0
2020-04-01,622.84,622.84,600.13,606.92,1500748,0.0,0
2020-04-03,612.66,613.56,586.91,589.15,1693653,0.0,0
2020-04-07,603.88,609.87,580.92,584.96,3137346,0.0,0
2020-04-08,583.71,597.29,574.93,578.42,3090942,0.0,0
2020-04-09,583.96,613.11,573.93,594.1,6139508,0.0,0
2020-04-13,578.92,580.42,500.17,504.56,22872176,0.0,0
2020-04-15,509.05,523.48,501.07,503.71,8436630,0.0,0
2020-04-16,504.06,536.2,500.07,531.11,8012039,0.0,0
2020-04-17,544.99,547.78,522.03,529.52,6749997,0.0,0
2020-04-20,533.76,547.88,527.52,539.1,5766094,0.0,0
2020-04-21,527.92,533.91,517.04,524.92,3249266,0.0,0
2020-04-22,526.02,534.71,519.13,531.41,2719250,0.0,0
2020-04-23,538.0,572.93,534.01,559.91,4983300,0.0,0
2020-04-24,556.66,595.34,551.08,556.81,7823763,0.0,0
2020-04-27,562.65,573.93,541.84,551.67,3304382,0.0,0
2020-04-28,554.97,561.41,546.43,549.88,1975797,0.0,0
2020-04-29,554.37,582.92,547.38,576.43,6121254,0.0,0
2020-04-30,589.9,603.78,583.91,598.04,6038250,0.0,0
2020-05-04,565.15,576.93,565.15,567.39,2066273,0.0,0
2020-05-05,576.68,583.22,549.58,551.97,2247743,0.0,0
2020-05-06,555.97,567.94,540.99,564.6,2355709,0.0,0
2020-05-07,561.95,577.93,557.86,573.38,2201860,0.0,0
2020-05-08,583.91,584.91,547.58,560.91,5124992,0.0,0
2020-05-11,550.98,559.96,541.99,547.48,2746613,0.0,0
2020-05-12,540.99,547.33,529.22,542.09,2114725,0.0,0
2020-05-13,568.94,569.49,544.24,547.28,2376104,0.0,0
2020-05-14,541.99,544.74,536.1,537.65,1456710,0.0,0
2020-05-15,542.0,544.0,535.25,539.45,1044610,1.0,0
2020-05-18,540.0,540.0,526.0,528.9,1212869,0.0,0
2020-05-19,535.0,540.0,529.15,537.65,1329747,0.0,0
2020-05-20,537.0,548.0,534.6,536.75,1142401,0.0,0
2020-05-21,539.4,546.8,536.15,542.35,1181440,0.0,0
2020-05-22,541.4,546.3,495.0,509.55,5257005,0.0,0
2020-05-26,515.0,518.0,496.5,498.75,4517594,0.0,0
2020-05-27,501.6,521.1,496.0,517.45,3008219,0.0,0
2020-05-28,520.0,537.75,518.15,532.3,2381056,0.0,0
2020-05-29,528.0,541.65,524.2,538.85,1540576,0.0,0
2020-06-01,544.0,557.4,544.0,547.8,1938989,0.0,0
2020-06-02,554.5,573.0,552.75,570.05,2740833,0.0,0
2020-06-03,578.0,626.0,577.0,611.3,9382240,0.0,0
2020-06-04,615.0,634.7,607.0,612.4,4581283,0.0,0
2020-06-05,618.0,632.0,615.05,626.0,2893988,0.0,0
