Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
01/01/96,0.01,0.01,0.01,0.01,38730,0,0
02/01/96,0.01,0.01,0.01,0.01,77460,0,0
03/01/96,0.01,0.01,0.01,0.01,12910,0,0
04/01/96,0.01,0.01,0.01,0.01,64550,0,0
05/01/96,0.01,0.01,0.01,0.01,12910,0,0
08/01/96,0.01,0.01,0.01,0.01,167830,0,0
09/01/96,0.01,0.01,0.01,0.01,309840,0,0
10/01/96,0.01,0.01,0.01,0.01,490581,0,0
11/01/96,0.01,0.01,0.01,0.01,38730,0,0
12/01/96,0.01,0.01,0.01,0.01,77460,0,0
15/01/96,0.01,0.01,0.01,0.01,116190,0,0
16/01/96,0.01,0.01,0.01,0.01,1665393,0,0
17/01/96,0.01,0.01,0.01,0.01,387301,0,0
18/01/96,0.01,0.01,0.01,0.01,129100,0,0
19/01/96,0.01,0.01,0.01,0.01,219470,0,0
22/01/96,0.01,0.01,0.01,0.01,116190,0,0
23/01/96,0.01,0.01,0.01,0.01,167830,0,0
24/01/96,0.01,0.01,0.01,0.01,296930,0,0
25/01/96,0.01,0.01,0.01,0.01,232380,0,0
29/01/96,0.01,0.01,0.01,0.01,51640,0,0
30/01/96,0.01,0.01,0.01,0.01,1665393,0,0
31/01/96,0.01,0.01,0.01,0.01,77460,0,0
01/02/96,0.01,0.01,0.01,0.01,25820,0,0
02/02/96,0.01,0.01,0.01,0.01,142010,0,0
05/02/96,0.01,0.01,0.01,0.01,116190,0,0
06/02/96,0.01,0.01,0.01,0.01,154920,0,0
07/02/96,0.01,0.01,0.01,0.01,142010,0,0
08/02/96,0.01,0.01,0.01,0.01,348571,0,0
09/02/96,0.01,0.01,0.01,0.01,374391,0,0
12/02/96,0.01,0.01,0.01,0.01,271110,0,0
13/02/96,0.01,0.01,0.01,0.01,503491,0,0
14/02/96,0.01,0.01,0.01,0.01,490581,0,0
15/02/96,0.01,0.01,0.01,0.01,361481,0,0
16/02/96,0.01,0.01,0.01,0.01,1420102,0,0
19/02/96,0.01,0.01,0.01,0.01,890791,0,0
20/02/96,0.01,0.01,0.01,0.01,787511,0,0
22/02/96,0.01,0.01,0.01,0.01,568041,0,0
23/02/96,0.01,0.01,0.01,0.01,3072585,0,0
26/02/96,0.01,0.01,0.01,0.01,361481,0,0
27/02/96,0.01,0.01,0.01,0.01,1213542,0,0
28/02/96,0.01,0.01,0.01,0.01,542221,0,0
29/02/96,0.01,0.01,0.01,0.01,1097352,0,0
01/03/96,0.01,0.01,0.01,0.01,942431,0,0
04/03/96,0.01,0.01,0.01,0.01,1665393,0,0
06/03/96,0.01,0.01,0.01,0.01,180740,0,0
07/03/96,0.01,0.01,0.01,0.01,38730,0,0
08/03/96,0.01,0.01,0.01,0.01,619681,0,0
11/03/96,0.01,0.01,0.01,0.01,154920,0,0
12/03/96,0.01,0.01,0.01,0.01,129100,0,0
13/03/96,0.01,0.01,0.01,0.01,77460,0,0
14/03/96,0.01,0.01,0.01,0.01,129100,0,0
15/03/96,0.01,0.01,0.01,0.01,64550,0,0
18/03/96,0.01,0.01,0.01,0.01,180740,0,0
19/03/96,0.01,0.01,0.01,0.01,271110,0,0
21/03/96,0.01,0.01,0.01,0.01,129100,0,0
22/03/96,0.01,0.01,0.01,0.01,142010,0,0
25/03/96,0.01,0.01,0.01,0.01,64550,0,0
26/03/96,0.01,0.01,0.01,0.01,64550,0,0
27/03/96,0.01,0.01,0.01,0.01,90370,0,0
28/03/96,0.01,0.01,0.01,0.01,90370,0,0
