Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-08-28,93.57,102.19,90.16,99.55,60664652,0.0,0.0
2006-08-29,99.68,101.28,96.19,96.86,15716452,0.0,0.0
2006-08-30,96.45,97.51,93.66,94.85,8139932,0.0,0.0
2006-08-31,94.29,97.7,92.5,96.71,6683960,0.0,0.0
2006-09-01,96.81,98.6,96.11,97.32,4704780,0.0,0.0
2006-09-04,97.35,98.6,81.32,97.7,2999152,0.0,0.0
2006-09-05,97.7,99.86,96.72,99.27,3824532,0.0,0.0
2006-09-06,99.63,101.03,96.63,97.21,3830444,0.0,0.0
2006-09-07,97.88,97.88,95.19,96.5,1404644,0.0,0.0
2006-09-08,96.77,97.87,95.47,96.05,1078636,0.0,0.0
2006-09-11,96.98,97.88,95.59,96.26,1681864,0.0,0.0
2006-09-12,96.26,98.22,95.91,96.6,2056784,0.0,0.0
2006-09-13,97.17,98.6,97.17,97.83,1607788,0.0,0.0
2006-09-14,97.92,100.13,97.9,98.75,2138440,0.0,0.0
2006-09-15,98.81,99.5,96.81,97.02,839132,0.0,0.0
2006-09-18,97.7,100.94,97.7,98.15,897504,0.0,0.0
2006-09-19,98.43,112.05,98.15,104.93,19172256,0.0,0.0
2006-09-20,104.13,110.26,102.96,108.67,9057312,0.0,0.0
2006-09-21,103.63,112.61,103.63,109.37,7104400,0.0,0.0
2006-09-22,112.25,112.25,106.55,107.97,2906004,0.0,0.0
2006-09-25,106.91,109.86,105.97,106.6,2542148,0.0,0.0
2006-09-26,107.73,112.43,106.68,110.92,6943500,0.0,0.0
2006-09-27,111.26,113.47,110.69,111.26,4061248,0.0,0.0
2006-09-28,112.2,112.2,109.23,110.1,1210420,0.0,0.0
2006-09-29,110.46,113.15,109.56,111.07,2381504,0.0,0.0
2006-10-03,111.17,114.2,110.46,111.25,3202624,0.0,0.0
2006-10-04,111.64,112.07,109.56,110.22,1202696,0.0,0.0
2006-10-05,111.57,112.79,111.17,112.1,857264,0.0,0.0
2006-10-06,112.97,114.94,111.02,111.59,2473768,0.0,0.0
2006-10-09,111.0,112.23,109.56,110.29,961312,0.0,0.0
2006-10-10,111.35,112.22,109.62,110.61,840552,0.0,0.0
2006-10-11,111.35,117.42,111.35,113.14,7770292,0.0,0.0
2006-10-12,113.96,114.43,111.53,113.1,2884688,0.0,0.0
2006-10-13,114.07,124.45,114.07,122.48,10084532,0.0,0.0
2006-10-16,123.61,128.96,123.61,127.6,7437840,0.0,0.0
2006-10-17,128.24,128.78,125.77,126.53,3306924,0.0,0.0
2006-10-18,127.52,128.42,122.13,122.86,3019184,0.0,0.0
2006-10-19,125.72,142.25,125.72,138.78,18835652,0.0,0.0
2006-10-20,139.91,161.64,139.37,155.06,21011380,0.0,0.0
2006-10-23,171.7,177.62,158.23,161.31,16687696,0.0,0.0
2006-10-26,161.64,166.31,160.27,164.99,10700288,0.0,0.0
2006-10-27,165.47,182.12,165.47,179.77,17816692,0.0,0.0
2006-10-30,181.4,188.19,176.91,180.78,12570116,0.0,0.0
2006-10-31,181.04,184.09,171.81,177.75,8952160,0.0,0.0
2006-11-01,179.78,183.91,176.48,181.26,7815152,0.0,0.0
2006-11-02,181.04,182.95,178.73,180.05,4379712,0.0,0.0
2006-11-03,180.32,180.5,176.91,178.17,2850172,0.0,0.0
2006-11-06,179.6,183.38,176.55,179.3,3482952,0.0,0.0
2006-11-07,182.06,182.19,177.31,177.98,2035924,0.0,0.0
2006-11-08,179.35,180.5,174.04,177.93,3295280,0.0,0.0
2006-11-09,179.96,180.11,176.37,177.38,1888468,0.0,0.0
2006-11-10,178.6,185.17,175.11,179.49,5312484,0.0,0.0
2006-11-13,179.6,182.63,178.62,180.64,2536604,0.0,0.0
2006-11-14,181.4,182.3,178.01,178.91,2367328,0.0,0.0
2006-11-15,179.6,195.73,179.15,192.82,10842812,0.0,0.0
2006-11-16,193.08,209.53,190.78,207.07,16836432,0.0,0.0
2006-11-17,208.34,211.52,197.2,200.28,8229376,0.0,0.0
2006-11-20,197.56,206.33,190.45,204.59,7255332,0.0,0.0
2006-11-21,203.07,217.27,203.07,212.35,7310604,0.0,0.0
2006-11-22,213.19,215.48,209.87,210.94,3415848,0.0,0.0
2006-11-23,212.83,212.83,204.78,206.49,2498644,0.0,0.0
2006-11-24,197.75,212.33,197.75,204.91,3247380,0.0,0.0
2006-11-27,205.39,206.53,200.56,202.42,1628732,0.0,0.0
2006-11-28,201.15,206.9,193.13,200.49,3116228,0.0,0.0
2006-11-29,202.05,206.36,200.65,202.04,1654736,0.0,0.0
2006-11-30,203.08,204.21,199.74,201.61,974100,0.0,0.0
2006-12-01,202.95,205.92,199.92,201.2,1191888,0.0,0.0
2006-12-04,202.05,204.34,199.4,199.85,1164244,0.0,0.0
2006-12-05,199.99,211.34,198.46,209.51,4355516,0.0,0.0
2006-12-06,211.03,214.09,202.29,204.07,4025108,0.0,0.0
2006-12-07,203.85,210.23,202.1,204.74,3723552,0.0,0.0
2006-12-08,206.54,206.54,201.55,202.18,1497532,0.0,0.0
2006-12-11,204.51,205.83,192.91,196.85,2571276,0.0,0.0
2006-12-12,197.56,201.52,182.12,187.1,3110364,0.0,0.0
2006-12-13,187.87,196.45,181.42,194.1,1982848,0.0,0.0
2006-12-14,195.95,203.62,194.51,199.25,2178500,0.0,0.0
2006-12-15,200.44,205.05,186.79,203.08,1635840,0.0,0.0
2006-12-18,205.18,216.24,201.21,214.55,5219292,0.0,0.0
2006-12-19,215.52,219.12,205.22,207.32,6729012,0.0,0.0
2006-12-20,210.14,230.79,206.73,223.25,11956348,0.0,0.0
2006-12-21,224.5,267.9,224.5,267.9,15146256,0.0,0.0
2006-12-22,271.2,314.07,271.2,297.33,20895484,0.0,0.0
2006-12-26,296.34,308.92,296.34,299.69,6855504,0.0,0.0
2006-12-27,303.53,304.61,294.78,296.02,3575472,0.0,0.0
2006-12-28,297.74,309.28,287.37,304.38,11967428,0.0,0.0
2006-12-29,304.43,311.25,296.53,300.4,5411044,0.0,0.0
2007-01-02,302.31,308.2,299.04,299.82,4740064,0.0,0.0
2007-01-03,300.66,302.82,297.51,298.88,2247252,0.0,0.0
2007-01-04,300.48,306.22,293.65,294.85,4100492,0.0,0.0
