Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-01-01,-0.04,-0.04,-0.04,-0.04,4000,0.0,0.0
1996-01-02,-0.04,-0.04,-0.04,-0.04,24000,0.0,0.0
1996-01-03,-0.04,-0.04,-0.04,-0.04,22000,0.0,0.0
1996-01-04,-0.04,-0.04,-0.04,-0.04,46000,0.0,0.0
1996-01-05,-0.04,-0.04,-0.04,-0.04,20000,0.0,0.0
1996-01-08,-0.04,-0.04,-0.04,-0.04,24000,0.0,0.0
1996-01-09,-0.04,-0.04,-0.04,-0.04,46000,0.0,0.0
1996-01-10,-0.04,-0.04,-0.04,-0.04,10000,0.0,0.0
1996-01-11,-0.04,-0.04,-0.04,-0.04,14000,0.0,0.0
1996-01-12,-0.04,-0.04,-0.04,-0.04,54000,0.0,0.0
1996-01-15,-0.04,-0.04,-0.04,-0.04,10000,0.0,0.0
1996-01-16,-0.04,-0.04,-0.04,-0.04,34000,0.0,0.0
1996-01-17,-0.04,-0.04,-0.04,-0.04,6000,0.0,0.0
1996-01-18,-0.04,-0.04,-0.04,-0.04,48000,0.0,0.0
1996-01-19,-0.04,-0.04,-0.04,-0.04,46000,0.0,0.0
1996-01-22,-0.04,-0.04,-0.04,-0.04,302000,0.0,0.0
1996-01-23,-0.04,-0.04,-0.04,-0.04,32000,0.0,0.0
1996-01-24,-0.04,-0.04,-0.04,-0.04,18000,0.0,0.0
1996-01-25,-0.04,-0.04,-0.04,-0.04,34000,0.0,0.0
1996-01-29,-0.04,-0.04,-0.04,-0.04,52000,0.0,0.0
1996-01-30,-0.04,-0.04,-0.04,-0.04,58000,0.0,0.0
1996-01-31,-0.04,-0.04,-0.04,-0.04,44000,0.0,0.0
1996-02-01,-0.04,-0.04,-0.04,-0.04,30000,0.0,0.0
1996-02-02,-0.04,-0.04,-0.04,-0.04,44000,0.0,0.0
1996-02-05,-0.04,-0.04,-0.04,-0.04,26000,0.0,0.0
1996-02-06,-0.04,-0.04,-0.04,-0.04,46000,0.0,0.0
1996-02-07,-0.04,-0.04,-0.04,-0.04,48000,0.0,0.0
1996-02-08,-0.04,-0.04,-0.04,-0.04,44000,0.0,0.0
1996-02-09,-0.04,-0.05,-0.04,-0.05,138000,0.0,0.0
1996-02-12,-0.05,-0.05,-0.05,-0.05,204000,0.0,0.0
1996-02-13,-0.05,-0.05,-0.05,-0.05,150000,0.0,0.0
1996-02-14,-0.05,-0.05,-0.05,-0.05,126000,0.0,0.0
1996-02-15,-0.05,-0.05,-0.05,-0.05,2582000,0.0,0.0
1996-02-16,-0.05,-0.05,-0.05,-0.05,5558000,0.0,0.0
1996-02-19,-0.05,-0.05,-0.05,-0.05,40000,0.0,0.0
1996-02-20,-0.05,-0.05,-0.05,-0.05,142000,0.0,0.0
1996-02-22,-0.05,-0.05,-0.05,-0.05,26000,0.0,0.0
1996-02-23,-0.05,-0.05,-0.05,-0.05,20000,0.0,0.0
1996-02-26,-0.05,-0.05,-0.05,-0.05,48000,0.0,0.0
