Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-08-24,284.7,317.37,236.4,242.88,6633956,0.0,0
2004-08-25,244.56,247.08,232.62,238.54,2794161,0.0,0
2004-08-26,240.6,254.37,238.96,252.69,2340926,0.0,0
2004-08-27,253.9,254.41,243.3,244.8,915106,0.0,0
2004-08-30,246.15,251.1,244.61,248.39,387417,0.0,0
2004-08-31,249.05,249.98,246.71,248.49,261123,0.0,0
2004-09-01,249.23,255.25,247.36,249.42,311985,0.0,0
2004-09-02,250.03,251.57,242.7,244.75,205537,0.0,0
2004-09-03,244.75,247.27,240.36,245.17,303156,0.0,0
2004-09-06,245.96,250.03,245.5,247.64,74691,0.0,0
2004-09-07,246.43,248.11,246.01,247.22,128275,0.0,0
2004-09-08,248.3,248.3,245.12,245.92,95094,0.0,0
2004-09-09,246.9,247.36,237.84,238.96,229786,0.0,0
2004-09-10,239.8,246.8,237.42,241.39,313469,0.0,0
2004-09-13,238.96,244.7,238.96,243.3,100186,0.0,0
2004-09-14,243.63,245.96,241.76,243.72,87282,0.0,0
2004-09-15,245.22,249.19,244.1,246.34,179209,0.0,0
2004-09-16,246.43,248.95,243.63,247.92,113885,0.0,0
2004-09-17,249.23,256.19,248.39,252.97,193931,0.0,0
2004-09-20,253.9,264.17,253.9,258.89,447036,0.0,0
2004-09-21,261.37,263.05,256.7,257.91,317565,0.0,0
2004-09-22,262.77,263.19,256.75,260.67,142156,0.0,0
2004-09-23,254.83,260.43,250.91,251.94,71981,0.0,0
2004-09-24,251.57,254.83,249.33,252.78,64135,0.0,0
2004-09-27,253.43,255.67,251.38,254.65,43976,0.0,0
2004-09-28,255.11,255.11,246.51,248.47,116744,0.5,0
2004-09-29,249.6,250.16,245.62,247.3,84483,0.0,0
2004-09-30,249.13,251.33,247.77,248.8,45563,0.0,0
2004-10-01,248.75,250.62,246.88,248.05,59466,0.0,0
2004-10-04,251.37,253.34,245.95,251.61,173799,0.0,0
2004-10-05,251.56,253.43,246.88,248.05,74731,0.0,0
2004-10-06,249.22,279.52,249.22,275.87,1072401,0.0,0
2004-10-07,275.87,331.05,274.94,295.93,2122276,0.0,0
2004-10-08,297.48,309.87,295.93,299.63,599337,0.0,0
2004-10-11,294.58,297.94,281.72,284.95,121262,0.0,0
2004-10-12,287.1,290.84,278.77,280.69,146878,0.0,0
2004-10-14,284.01,284.01,267.97,270.36,89146,0.0,0
2004-10-15,275.69,280.36,269.33,271.85,115264,0.0,0
2004-10-18,274.85,275.87,266.52,268.21,59350,0.0,0
2004-10-19,272.51,272.51,264.28,267.08,72458,0.0,0
2004-10-20,269.7,273.35,266.99,267.97,95374,0.0,0
2004-10-21,269.7,277.28,266.52,273.3,81976,0.0,0
2004-10-25,276.34,285.51,266.15,267.78,215408,0.0,0
2004-10-26,271.1,275.69,263.3,270.73,105215,0.0,0
2004-10-27,266.52,293.55,266.52,279.76,656655,0.0,0
2004-10-28,281.49,290.84,277.74,286.72,326585,0.0,0
2004-10-29,282.61,286.86,281.49,283.59,76737,0.0,0
2004-11-01,285.23,285.23,270.26,281.77,190801,0.0,0
2004-11-02,286.16,289.9,282.42,287.0,109175,0.0,0
2004-11-03,287.56,289.9,283.36,285.37,93238,0.0,0
2004-11-04,288.78,288.78,279.61,280.55,32815,0.0,0
2004-11-05,283.36,283.36,271.2,273.4,61849,0.0,0
2004-11-08,278.12,282.42,271.43,273.54,80765,0.0,0
2004-11-09,277.18,280.55,274.28,276.39,48772,0.0,0
2004-11-10,278.68,279.43,272.6,273.54,107489,0.0,0
