Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-01-01,-0.01,-0.01,-0.01,-0.01,20000,0.0,0.0
1996-01-02,-0.01,-0.01,-0.01,-0.01,40000,0.0,0.0
1996-01-03,-0.01,-0.01,-0.01,-0.01,20000,0.0,0.0
1996-01-04,-0.01,-0.01,-0.01,-0.01,120000,0.0,0.0
1996-01-09,-0.01,-0.01,-0.01,-0.01,40000,0.0,0.0
1996-01-10,-0.01,-0.01,-0.01,-0.01,60000,0.0,0.0
1996-01-11,-0.01,-0.01,-0.01,-0.01,80000,0.0,0.0
1996-01-12,-0.01,-0.01,-0.01,-0.01,20000,0.0,0.0
1996-01-16,-0.01,-0.01,-0.01,-0.01,20000,0.0,0.0
1996-01-18,-0.01,-0.01,-0.01,-0.01,20000,0.0,0.0
1996-01-19,-0.01,-0.01,-0.01,-0.01,40000,0.0,0.0
1996-01-22,-0.01,-0.01,-0.01,-0.01,100000,0.0,0.0
1996-01-23,-0.01,-0.01,-0.01,-0.01,80000,0.0,0.0
1996-01-24,-0.01,-0.01,-0.01,-0.01,40000,0.0,0.0
1996-01-25,-0.01,-0.01,-0.01,-0.01,620000,0.0,0.0
1996-01-29,-0.01,-0.01,-0.01,-0.01,440000,0.0,0.0
1996-01-30,-0.01,-0.01,-0.01,-0.01,120000,0.0,0.0
1996-02-02,-0.01,-0.01,-0.01,-0.01,40000,0.0,0.0
1996-02-06,-0.01,-0.01,-0.01,-0.01,80000,0.0,0.0
1996-02-12,-0.01,-0.01,-0.01,-0.01,40000,0.0,0.0
1996-02-16,-0.01,-0.01,-0.01,-0.01,60000,0.0,0.0
1996-02-26,-0.01,-0.01,-0.01,-0.01,20000,0.0,0.0
1996-02-27,-0.01,-0.01,-0.01,-0.01,40000,0.0,0.0
1996-02-28,-0.01,-0.01,-0.01,-0.01,80000,0.0,0.0
1996-03-01,-0.01,-0.01,-0.01,-0.01,20000,0.0,0.0
1996-03-04,-0.01,-0.01,-0.01,-0.01,40000,0.0,0.0
1996-03-08,-0.01,-0.01,-0.01,-0.01,40000,0.0,0.0
1996-03-12,-0.01,-0.01,-0.01,-0.01,20000,0.0,0.0
1996-03-13,-0.01,-0.01,-0.01,-0.01,400000,0.0,0.0
1996-03-15,-0.01,-0.01,-0.01,-0.01,60000,0.0,0.0
1996-03-18,-0.01,-0.01,-0.01,-0.01,60000,0.0,0.0
1996-03-19,-0.01,-0.01,-0.01,-0.01,60000,0.0,0.0
1996-03-26,-0.01,-0.01,-0.01,-0.01,40000,0.0,0.0
1996-03-27,-0.01,-0.01,-0.01,-0.01,20000,0.0,0.0
1996-03-29,-0.01,-0.01,-0.01,-0.01,20000,0.0,0.0
1996-04-01,-0.01,-0.01,-0.01,-0.01,40000,0.0,0.0
1996-04-02,-0.01,-0.01,-0.01,-0.01,60000,0.0,0.0
1996-04-03,-0.01,-0.01,-0.01,-0.01,400000,0.0,0.0
1996-04-04,-0.01,-0.01,-0.01,-0.01,20000,0.0,0.0
1996-04-08,-0.01,-0.01,-0.01,-0.01,20000,0.0,0.0
1996-04-09,-0.01,-0.01,-0.01,-0.01,20000,0.0,0.0
1996-04-10,-0.01,-0.01,-0.01,-0.01,20000,0.0,0.0
1996-04-11,-0.01,-0.01,-0.01,-0.01,180000,0.0,0.0
1996-04-12,-0.01,-0.01,-0.01,-0.01,200000,0.0,0.0
1996-04-15,-0.01,-0.01,-0.01,-0.01,160000,0.0,0.0
1996-04-16,-0.01,-0.01,-0.01,-0.01,60000,0.0,0.0
1996-04-17,-0.01,-0.01,-0.01,-0.01,20000,0.0,0.0
1996-04-18,-0.01,-0.01,-0.01,-0.01,80000,0.0,0.0
1996-04-23,-0.01,-0.01,-0.01,-0.01,60000,0.0,0.0
1996-04-24,-0.01,-0.01,-0.01,-0.01,80000,0.0,0.0
1996-04-25,-0.01,-0.01,-0.01,-0.01,120000,0.0,0.0
1996-04-26,-0.01,-0.01,-0.01,-0.01,40000,0.0,0.0
1996-04-29,-0.01,-0.01,-0.01,-0.01,20000,0.0,0.0
1996-04-30,-0.01,-0.01,-0.01,-0.01,80000,0.0,0.0
1996-05-01,-0.01,-0.01,-0.01,-0.01,40000,0.0,0.0
1996-05-02,-0.01,-0.01,-0.01,-0.01,40000,0.0,0.0
1996-05-03,-0.01,-0.01,-0.01,-0.01,40000,0.0,0.0
1996-05-06,-0.01,-0.01,-0.01,-0.01,60000,0.0,0.0
1996-05-07,-0.01,-0.01,-0.01,-0.01,40000,0.0,0.0
1996-05-09,-0.01,-0.01,-0.01,-0.01,60000,0.0,0.0
1996-05-10,-0.01,-0.01,-0.01,-0.01,60000,0.0,0.0
1996-05-14,-0.01,-0.01,-0.01,-0.01,40000,0.0,0.0
1996-05-16,-0.01,-0.01,-0.01,-0.01,40000,0.0,0.0
1996-05-17,-0.01,-0.01,-0.01,-0.01,20000,0.0,0.0
1996-05-21,-0.01,-0.01,-0.01,-0.01,40000,0.0,0.0
1996-05-22,-0.01,-0.01,-0.01,-0.01,20000,0.0,0.0
1996-05-24,-0.01,-0.01,-0.01,-0.01,40000,0.0,0.0
1996-05-28,-0.01,-0.01,-0.01,-0.01,80000,0.0,0.0
1996-05-29,-0.01,-0.01,-0.01,-0.01,380000,0.0,0.0
1996-05-30,-0.01,-0.01,-0.01,-0.01,20000,0.0,0.0
1996-05-31,-0.01,-0.01,-0.01,-0.01,140000,0.0,0.0
1996-06-03,-0.01,-0.01,-0.01,-0.01,180000,0.0,0.0
1996-06-04,-0.01,-0.01,-0.01,-0.01,60000,0.0,0.0
1996-06-06,-0.01,-0.01,-0.01,-0.01,40000,0.0,0.0
1996-06-07,-0.01,-0.01,-0.01,-0.01,20000,0.0,0.0
1996-06-11,-0.01,-0.01,-0.01,-0.01,120000,0.0,0.0
1996-06-12,-0.01,-0.01,-0.01,-0.01,60000,0.0,0.0
1996-06-13,-0.01,-0.01,-0.01,-0.01,40000,0.0,0.0
1996-06-14,-0.01,-0.01,-0.01,-0.01,80000,0.0,0.0
1996-06-17,-0.01,-0.01,-0.01,-0.01,40000,0.0,0.0
1996-06-18,-0.01,-0.01,-0.01,-0.01,140000,0.0,0.0
1996-06-19,-0.01,-0.01,-0.01,-0.01,180000,0.0,0.0
1996-06-21,-0.01,-0.01,-0.01,-0.01,40000,0.0,0.0
1996-06-24,-0.01,-0.01,-0.01,-0.01,20000,0.0,0.0
1996-06-25,-0.01,-0.01,-0.01,-0.01,100000,0.0,0.0
1996-06-26,-0.01,-0.01,-0.01,-0.01,40000,0.0,0.0
1996-06-27,-0.01,-0.01,-0.01,-0.01,120000,0.0,0.0
1996-06-28,-0.01,-0.01,-0.01,-0.01,140000,0.0,0.0
1996-07-01,0.01,0.01,0.01,0.01,20000,2.5,0.0
1996-07-02,0.01,0.01,0.01,0.01,100000,0.0,0.0
1996-07-04,0.01,0.01,0.01,0.01,2440000,0.0,0.0
1996-07-05,0.01,0.01,0.01,0.01,120000,0.0,0.0
1996-07-08,0.01,0.01,0.01,0.01,40000,0.0,0.0
1996-07-09,0.01,0.01,0.01,0.01,220000,0.0,0.0
1996-07-10,0.01,0.01,0.01,0.01,140000,0.0,0.0
1996-07-11,0.01,0.01,0.01,0.01,100000,0.0,0.0
1996-07-15,0.01,0.01,0.01,0.01,40000,0.0,0.0
1996-07-16,0.01,0.01,0.01,0.01,200000,0.0,0.0
1996-07-17,0.01,0.01,0.01,0.01,40000,0.0,0.0
1996-07-18,0.01,0.01,0.01,0.01,20000,0.0,0.0
1996-07-19,0.01,0.01,0.01,0.01,40000,0.0,0.0
1996-07-22,0.01,0.01,0.01,0.01,40000,0.0,0.0
1996-07-23,0.01,0.01,0.01,0.01,20000,0.0,0.0
1996-07-24,0.01,0.01,0.01,0.01,80000,0.0,0.0
1996-07-25,0.01,0.01,0.01,0.01,20000,0.0,0.0
1996-07-26,0.01,0.01,0.01,0.01,40000,0.0,0.0
1996-07-30,0.01,0.01,0.01,0.01,60000,0.0,0.0
1996-07-31,0.01,0.01,0.01,0.01,20000,0.0,0.0
1996-08-02,0.01,0.01,0.01,0.01,20000,0.0,0.0
1996-08-05,0.01,0.01,0.01,0.01,20000,0.0,0.0
1996-08-06,0.01,0.01,0.01,0.01,40000,0.0,0.0
1996-08-12,0.01,0.01,0.01,0.01,620000,0.0,0.0
1996-08-13,0.01,0.01,0.01,0.01,20000,0.0,0.0
1996-08-14,0.01,0.01,0.01,0.01,60000,0.0,0.0
1996-08-16,0.01,0.01,0.01,0.01,60000,0.0,0.0
1996-08-19,0.01,0.01,0.01,0.01,180000,0.0,0.0
1996-08-20,0.01,0.01,0.01,0.01,40000,0.0,0.0
1996-08-21,0.01,0.01,0.01,0.01,280000,0.0,0.0
1996-08-22,0.01,0.01,0.01,0.01,80000,0.0,0.0
1996-08-26,0.01,0.01,0.01,0.01,20000,0.0,0.0
1996-08-27,0.01,0.01,0.01,0.01,200000,0.0,0.0
1996-09-03,0.01,0.01,0.01,0.01,100000,0.0,0.0
1996-09-06,0.01,0.01,0.01,0.01,40000,0.0,0.0
1996-09-09,0.01,0.01,0.01,0.01,220000,0.0,0.0
1996-09-11,0.01,0.01,0.01,0.01,20000,0.0,0.0
1996-09-12,0.01,0.01,0.01,0.01,40000,0.0,0.0
1996-09-13,0.01,0.01,0.01,0.01,20000,0.0,0.0
1996-09-16,0.01,0.01,0.01,0.01,40000,0.0,0.0
1996-09-19,0.01,0.01,0.01,0.01,40000,0.0,0.0
1996-09-20,0.01,0.01,0.01,0.01,40000,0.0,0.0
1996-09-23,0.01,0.01,0.01,0.01,20000,0.0,0.0
1996-09-24,0.01,0.01,0.01,0.01,120000,0.0,0.0
1996-10-01,0.01,0.01,0.01,0.01,100000,0.0,0.0
1996-10-03,0.01,0.01,0.01,0.01,100000,0.0,0.0
1996-10-04,0.01,0.01,0.01,0.01,160000,0.0,0.0
1996-10-08,0.01,0.01,0.01,0.01,140000,0.0,0.0
1996-10-09,0.01,0.01,0.01,0.01,20000,0.0,0.0
1996-10-10,0.01,0.01,0.01,0.01,40000,0.0,0.0
1996-10-11,0.01,0.01,0.01,0.01,40000,0.0,0.0
1996-10-14,0.01,0.01,0.01,0.01,40000,0.0,0.0
1996-10-15,0.01,0.01,0.01,0.01,40000,0.0,0.0
1996-10-16,0.01,0.01,0.01,0.01,40000,0.0,0.0
1996-10-17,0.01,0.01,0.01,0.01,80000,0.0,0.0
1996-10-22,0.01,0.01,0.01,0.01,60000,0.0,0.0
1996-10-23,0.01,0.01,0.01,0.01,80000,0.0,0.0
1996-10-29,0.01,0.01,0.01,0.01,40000,0.0,0.0
1996-11-05,0.01,0.01,0.01,0.01,40000,0.0,0.0
1996-11-06,0.01,0.01,0.01,0.01,40000,0.0,0.0
1996-11-07,0.01,0.01,0.01,0.01,60000,0.0,0.0
1996-11-08,0.01,0.01,0.01,0.01,20000,0.0,0.0
1996-11-11,0.01,0.01,0.01,0.01,40000,0.0,0.0
1996-11-13,0.01,0.01,0.01,0.01,20000,0.0,0.0
1996-11-14,0.01,0.01,0.01,0.01,40000,0.0,0.0
1996-11-15,0.01,0.01,0.01,0.01,20000,0.0,0.0
1996-11-18,0.01,0.01,0.01,0.01,60000,0.0,0.0
1996-11-19,0.01,0.01,0.01,0.01,80000,0.0,0.0
1996-11-29,0.01,0.01,0.01,0.01,40000,0.0,0.0
1996-12-09,0.01,0.01,0.01,0.01,20000,0.0,0.0
1996-12-12,0.01,0.01,0.01,0.01,20000,0.0,0.0
1996-12-13,0.01,0.01,0.01,0.01,20000,0.0,0.0
1996-12-17,0.01,0.01,0.01,0.01,40000,0.0,0.0
1996-12-18,0.01,0.01,0.01,0.01,100000,0.0,0.0
1996-12-19,0.01,0.01,0.01,0.01,20000,0.0,0.0
1996-12-20,0.01,0.01,0.01,0.01,20000,0.0,0.0
1996-12-24,0.01,0.01,0.01,0.01,20000,0.0,0.0
1996-12-26,0.01,0.01,0.01,0.01,220000,0.0,0.0
1996-12-31,0.01,0.01,0.01,0.01,220000,0.0,0.0
1997-01-02,0.01,0.01,0.01,0.01,60000,0.0,0.0
1997-01-03,0.01,0.01,0.01,0.01,40000,0.0,0.0
1997-01-08,0.01,0.01,0.01,0.01,20000,0.0,0.0
1997-01-09,0.01,0.01,0.01,0.01,20000,0.0,0.0
1997-01-10,0.01,0.01,0.01,0.01,220000,0.0,0.0
1997-01-13,0.01,0.01,0.01,0.01,160000,0.0,0.0
1997-01-15,0.01,0.01,0.01,0.01,20000,0.0,0.0
1997-01-16,0.01,0.01,0.01,0.01,40000,0.0,0.0
1997-01-21,0.01,0.01,0.01,0.01,40000,0.0,0.0
1997-01-24,0.01,0.01,0.01,0.01,20000,0.0,0.0
1997-01-27,0.01,0.01,0.01,0.01,20000,0.0,0.0
1997-01-28,0.01,0.01,0.01,0.01,40000,0.0,0.0
1997-01-29,0.01,0.01,0.01,0.01,40000,0.0,0.0
1997-02-04,0.01,0.01,0.01,0.01,20000,0.0,0.0
1997-02-11,0.01,0.01,0.01,0.01,20000,0.0,0.0
1997-02-12,0.01,0.01,0.01,0.01,40000,0.0,0.0
1997-02-14,0.01,0.01,0.01,0.01,40000,0.0,0.0
1997-02-18,0.01,0.01,0.01,0.01,20000,0.0,0.0
1997-02-20,0.01,0.01,0.01,0.01,20000,0.0,0.0
1997-02-21,0.01,0.01,0.01,0.01,40000,0.0,0.0
1997-02-24,0.01,0.01,0.01,0.01,140000,0.0,0.0
1997-02-25,0.01,0.01,0.01,0.01,60000,0.0,0.0
1997-02-27,0.01,0.01,0.01,0.01,40000,0.0,0.0
1997-03-03,0.01,0.01,0.01,0.01,20000,0.0,0.0
1997-03-04,0.01,0.01,0.01,0.01,60000,0.0,0.0
1997-03-05,0.01,0.01,0.01,0.01,140000,0.0,0.0
1997-03-06,0.01,0.01,0.01,0.01,40000,0.0,0.0
1997-03-14,0.01,0.01,0.01,0.01,20000,0.0,0.0
1997-03-17,0.01,0.01,0.01,0.01,20000,0.0,0.0
1997-03-25,0.01,0.01,0.01,0.01,40000,0.0,0.0
1997-03-26,0.01,0.01,0.01,0.01,60000,0.0,0.0
1997-04-01,0.01,0.01,0.01,0.01,20000,0.0,0.0
1997-04-04,0.01,0.01,0.01,0.01,20000,0.0,0.0
1997-04-07,0.01,0.01,0.01,0.01,60000,0.0,0.0
1997-04-09,0.01,0.01,0.01,0.01,40000,0.0,0.0
1997-04-11,0.01,0.01,0.01,0.01,20000,0.0,0.0
1997-04-15,0.01,0.01,0.01,0.01,60000,0.0,0.0
1997-04-22,0.01,0.01,0.01,0.01,40000,0.0,0.0
1997-04-23,0.01,0.01,0.01,0.01,40000,0.0,0.0
1997-04-24,0.01,0.01,0.01,0.01,80000,0.0,0.0
1997-04-25,0.01,0.01,0.01,0.01,40000,0.0,0.0
1997-04-29,0.01,0.01,0.01,0.01,120000,0.0,0.0
1997-04-30,0.01,0.01,0.01,0.01,80000,0.0,0.0
1997-05-02,0.01,0.01,0.01,0.01,40000,0.0,0.0
1997-05-05,0.01,0.01,0.01,0.01,40000,0.0,0.0
1997-05-06,0.01,0.01,0.01,0.01,80000,0.0,0.0
1997-05-07,0.01,0.01,0.01,0.01,40000,0.0,0.0
1997-05-12,0.01,0.01,0.01,0.01,160000,0.0,0.0
1997-05-13,0.01,0.01,0.01,0.01,200000,0.0,0.0
1997-05-15,0.01,0.01,0.01,0.01,40000,0.0,0.0
1997-05-16,0.01,0.01,0.01,0.01,20000,0.0,0.0
1997-05-19,0.01,0.01,0.01,0.01,120000,0.0,0.0
1997-05-20,0.01,0.01,0.01,0.01,80000,0.0,0.0
1997-05-21,0.01,0.01,0.01,0.01,60000,0.0,0.0
1997-05-23,0.01,0.01,0.01,0.01,80000,0.0,0.0
1997-05-26,0.01,0.01,0.01,0.01,60000,0.0,0.0
1997-05-27,0.01,0.01,0.01,0.01,80000,0.0,0.0
1997-05-28,0.01,0.01,0.01,0.01,40000,0.0,0.0
1997-05-29,0.01,0.01,0.01,0.01,60000,0.0,0.0
1997-06-02,0.01,0.01,0.01,0.01,20000,0.0,0.0
1997-06-03,0.01,0.01,0.01,0.01,60000,0.0,0.0
1997-06-04,0.01,0.01,0.01,0.01,40000,0.0,0.0
1997-06-06,0.01,0.01,0.01,0.01,20000,0.0,0.0
1997-06-09,0.01,0.01,0.01,0.01,20000,0.0,0.0
1997-06-10,0.01,0.01,0.01,0.01,220000,0.0,0.0
1997-06-11,0.01,0.01,0.01,0.01,460000,0.0,0.0
1997-06-12,0.01,0.01,0.01,0.01,160000,0.0,0.0
1997-06-13,0.01,0.01,0.01,0.01,120000,0.0,0.0
1997-06-16,0.01,0.01,0.01,0.01,80000,0.0,0.0
1997-06-17,0.01,0.01,0.01,0.01,160000,0.0,0.0
1997-06-18,0.01,0.01,0.01,0.01,140000,0.0,0.0
1997-06-19,0.01,0.01,0.01,0.01,900000,0.0,0.0
1997-06-20,0.01,0.01,0.01,0.01,560000,0.0,0.0
1997-06-23,0.01,0.01,0.01,0.01,560000,0.0,0.0
1997-06-24,0.01,0.01,0.01,0.01,4400000,0.0,0.0
1997-06-25,0.01,0.01,0.01,0.01,7020000,0.0,0.0
1997-06-26,0.01,0.01,0.01,0.01,6000000,0.0,0.0
1997-06-27,0.01,0.01,0.01,0.01,9100000,0.0,0.0
1997-06-30,0.01,0.01,0.01,0.01,5700000,0.0,0.0
1997-07-01,0.01,0.01,0.01,0.01,640000,0.0,0.0
1997-07-02,0.01,0.01,0.01,0.01,840000,0.0,0.0
1997-07-03,0.01,0.01,0.01,0.01,760000,0.0,0.0
1997-07-04,0.01,0.01,0.01,0.01,800000,0.0,0.0
1997-07-07,0.01,0.01,0.01,0.01,1060000,0.0,0.0
1997-07-08,0.01,0.01,0.01,0.01,860000,0.0,0.0
1997-07-09,0.01,0.01,0.01,0.01,440000,0.0,0.0
1997-07-10,0.01,0.01,0.01,0.01,700000,0.0,0.0
1997-07-11,0.01,0.01,0.01,0.01,1140000,0.0,0.0
1997-07-14,0.01,0.01,0.01,0.01,960000,0.0,0.0
1997-07-15,0.01,0.01,0.01,0.01,780000,0.0,0.0
1997-07-16,0.02,0.02,0.02,0.02,220000,0.0,0.0
1997-07-17,0.02,0.02,0.02,0.02,1080000,0.0,0.0
1997-07-21,0.02,0.02,0.02,0.02,680000,0.0,0.0
1997-07-22,0.02,0.02,0.02,0.02,1360000,0.0,0.0
1997-07-23,0.02,0.02,0.02,0.02,160000,0.0,0.0
1997-07-24,0.02,0.02,0.02,0.02,1040000,0.0,0.0
1997-07-25,0.02,0.02,0.02,0.02,800000,0.0,0.0
1997-07-28,0.02,0.02,0.02,0.02,1080000,0.0,0.0
1997-07-29,0.02,0.02,0.02,0.02,720000,0.0,0.0
1997-07-30,0.02,0.02,0.02,0.02,4080000,0.0,0.0
1997-07-31,0.02,0.02,0.02,0.02,3680000,0.0,0.0
1997-08-01,0.02,0.02,0.02,0.02,8440000,0.0,0.0
1997-08-04,0.62,0.62,0.62,0.62,1540000,2.5,0.0
1997-08-05,0.63,0.63,0.63,0.63,5520000,0.0,0.0
1997-08-06,0.63,0.63,0.63,0.63,60000,0.0,0.0
1997-08-07,0.68,0.68,0.68,0.68,80000,0.0,0.0
1997-08-08,0.73,0.73,0.73,0.73,360000,0.0,0.0
1997-08-11,0.73,0.76,0.73,0.76,1620000,0.0,0.0
1997-08-12,0.73,0.76,0.73,0.74,2180000,0.0,0.0
1997-08-13,0.74,0.74,0.73,0.73,840000,0.0,0.0
1997-08-14,0.73,0.76,0.69,0.71,1960000,0.0,0.0
1997-08-18,0.7,0.7,0.69,0.7,680000,0.0,0.0
1997-08-19,0.68,0.7,0.68,0.7,500000,0.0,0.0
1997-08-20,0.69,0.69,0.68,0.69,840000,0.0,0.0
1997-08-21,0.7,0.7,0.69,0.69,360000,0.0,0.0
1997-08-22,0.67,0.68,0.67,0.68,740000,0.0,0.0
1997-08-25,0.68,0.68,0.66,0.67,680000,0.0,0.0
1997-08-26,0.68,0.68,0.66,0.66,800000,0.0,0.0
1997-08-27,0.67,0.67,0.65,0.66,1260000,0.0,0.0
1997-08-28,0.65,0.65,0.61,0.62,3220000,0.0,0.0
1997-08-29,0.6,0.62,0.59,0.61,1920000,0.0,0.0
1997-09-01,0.61,0.62,0.61,0.62,1840000,0.0,0.0
1997-09-02,0.63,0.66,0.63,0.66,2060000,0.0,0.0
1997-09-03,0.7,0.71,0.7,0.71,860000,0.0,0.0
1997-09-04,0.72,0.72,0.68,0.69,1840000,0.0,0.0
1997-09-05,0.71,0.74,0.69,0.72,3220000,0.0,0.0
1997-09-08,0.71,0.77,0.7,0.77,2000000,0.0,0.0
1997-09-09,0.79,0.79,0.79,0.79,660000,0.0,0.0
1997-09-10,0.8,0.83,0.79,0.81,2460000,0.0,0.0
1997-09-11,0.8,0.82,0.79,0.79,1340000,0.0,0.0
1997-09-12,0.79,0.79,0.76,0.78,1860000,0.0,0.0
1997-09-15,0.77,0.77,0.75,0.75,1540000,0.0,0.0
1997-09-16,0.76,0.76,0.75,0.75,1740000,0.0,0.0
1997-09-17,0.76,0.76,0.75,0.75,220000,0.0,0.0
1997-09-18,0.74,0.74,0.71,0.73,1440000,0.0,0.0
1997-09-19,0.74,0.76,0.74,0.75,1080000,0.0,0.0
1997-09-22,0.73,0.74,0.73,0.74,1080000,0.0,0.0
1997-09-23,0.74,0.77,0.74,0.77,1380000,0.0,0.0
1997-09-24,0.76,0.78,0.76,0.77,1640000,0.0,0.0
1997-09-25,0.77,0.78,0.77,0.78,880000,0.0,0.0
1997-09-26,0.79,0.82,0.79,0.82,1080000,0.0,0.0
1997-09-29,0.83,0.86,0.83,0.86,2740000,0.0,0.0
