,Date,Open,Close
0,1996-01-01,2.76,2.78
1,1996-01-02,2.78,2.74
2,1996-01-03,2.74,2.72
3,1996-01-04,2.72,2.69
4,1996-01-05,2.69,2.69
5,1996-01-08,2.69,2.64
6,1996-01-09,2.64,2.65
7,1996-01-10,2.65,2.67
8,1996-01-11,2.67,2.7
9,1996-01-12,2.77,2.75
10,1996-01-15,2.75,2.73
11,1996-01-16,2.73,2.81
12,1996-01-17,2.81,2.74
13,1996-01-18,2.74,2.73
14,1996-01-19,2.73,2.74
15,1996-01-22,2.74,2.78
16,1996-01-23,2.78,2.67
17,1996-01-24,2.67,2.53
18,1996-01-25,2.53,2.49
19,1996-01-29,2.49,2.54
20,1996-01-30,2.54,2.5
21,1996-01-31,2.5,2.54
22,1996-02-01,2.54,2.61
23,1996-02-02,2.61,2.65
24,1996-02-05,2.65,2.66
25,1996-02-06,2.66,2.69
26,1996-02-07,2.69,2.78
27,1996-02-08,2.77,2.8
28,1996-02-09,2.8,2.91
29,1996-02-12,2.91,2.87
30,1996-02-13,2.87,2.89
31,1996-02-14,2.89,2.91
32,1996-02-15,2.91,2.88
33,1996-02-16,2.88,2.88
34,1996-02-19,2.88,2.96
35,1996-02-20,2.96,2.96
36,1996-02-22,2.96,3.07
37,1996-02-23,3.07,3.15
38,1996-02-26,3.15,3.32
39,1996-02-27,3.32,3.18
40,1996-02-28,3.18,3.14
41,1996-02-29,3.14,3.06
42,1996-03-01,3.06,3.07
43,1996-03-04,3.08,3.14
44,1996-03-06,3.14,3.17
45,1996-03-07,3.17,3.18
46,1996-03-08,3.18,3.15
47,1996-03-11,3.15,3.1
48,1996-03-12,3.1,3.08
49,1996-03-13,3.08,3.12
50,1996-03-14,3.12,3.18
51,1996-03-15,3.18,3.19
52,1996-03-18,3.19,3.19
53,1996-03-19,3.19,3.19
54,1996-03-21,3.19,3.26
55,1996-03-22,3.26,3.25
56,1996-03-25,3.25,3.23
57,1996-03-26,3.23,3.24
58,1996-03-27,3.24,3.32
59,1996-03-28,3.32,3.35
60,1996-03-29,3.35,3.32
61,1996-04-01,3.32,3.35
62,1996-04-02,3.35,3.33
63,1996-04-03,3.33,3.36
64,1996-04-04,3.36,3.34
65,1996-04-08,3.36,3.39
66,1996-04-09,3.39,3.36
67,1996-04-10,3.36,3.39
68,1996-04-11,3.39,3.4
69,1996-04-12,3.36,3.42
70,1996-04-15,3.42,3.5
71,1996-04-16,3.5,3.61
72,1996-04-17,3.61,3.76
73,1996-04-18,3.76,3.79
74,1996-04-19,3.79,3.79
75,1996-04-22,3.79,3.67
76,1996-04-23,3.67,3.55
77,1996-04-24,3.71,3.69
78,1996-04-25,3.69,3.61
79,1996-04-26,3.61,3.62
80,1996-04-29,3.62,3.59
81,1996-04-30,3.59,3.61
82,1996-05-01,3.61,3.65
83,1996-05-02,3.65,3.61
84,1996-05-03,3.61,3.52
85,1996-05-06,3.52,3.42
86,1996-05-07,3.42,3.41
87,1996-05-08,3.41,3.48
88,1996-05-09,3.48,3.44
89,1996-05-10,3.44,3.36
90,1996-05-13,3.36,3.31
91,1996-05-14,3.31,3.28
92,1996-05-15,3.3,3.3
93,1996-05-16,3.3,3.32
94,1996-05-17,3.32,3.32
95,1996-05-20,3.32,3.3
96,1996-05-21,3.3,3.17
97,1996-05-22,3.17,3.2
98,1996-05-23,3.2,3.19
99,1996-05-24,3.19,3.17
100,1996-05-27,3.17,3.09
101,1996-05-28,3.09,3.16
102,1996-05-29,3.2,3.22
103,1996-05-30,3.22,3.18
104,1996-05-31,3.18,3.18
105,1996-06-03,3.18,3.17
106,1996-06-04,3.17,3.17
107,1996-06-05,3.19,3.23
108,1996-06-06,3.27,3.29
109,1996-06-07,3.23,3.32
110,1996-06-10,3.35,3.41
111,1996-06-11,3.36,3.38
112,1996-06-12,3.41,3.42
113,1996-06-13,3.48,3.5
114,1996-06-14,3.52,3.56
115,1996-06-17,3.56,3.53
116,1996-06-18,3.52,3.55
117,1996-06-19,3.54,3.52
118,1996-06-20,3.48,3.49
119,1996-06-21,3.46,3.49
120,1996-06-24,3.47,3.48
121,1996-06-25,3.46,3.44
122,1996-06-26,3.46,3.45
123,1996-06-27,3.41,3.42
124,1996-06-28,3.4,3.44
125,1996-07-01,3.42,3.41
126,1996-07-02,3.41,3.52
127,1996-07-03,3.4,3.49
128,1996-07-04,3.48,3.46
129,1996-07-05,3.52,3.54
130,1996-07-08,3.51,3.53
131,1996-07-09,3.48,3.49
132,1996-07-10,3.4,3.42
133,1996-07-11,3.38,3.52
134,1996-07-12,3.49,3.5
135,1996-07-15,3.46,3.52
136,1996-07-16,3.51,3.53
137,1996-07-17,3.52,3.54
138,1996-07-18,3.7,3.77
139,1996-07-19,3.83,3.87
140,1996-07-22,3.88,3.89
141,1996-07-23,3.69,3.91
142,1996-07-24,3.82,3.86
143,1996-07-25,3.8,3.84
144,1996-07-26,3.82,3.83
145,1996-07-29,3.77,3.68
146,1996-07-30,3.65,3.37
147,1996-07-31,3.41,3.37
148,1996-08-01,3.35,3.31
149,1996-08-02,3.31,3.26
150,1996-08-05,3.25,3.29
151,1996-08-06,3.28,3.3
152,1996-08-07,3.3,3.37
153,1996-08-08,3.4,3.37
154,1996-08-09,3.37,3.4
155,1996-08-12,3.38,3.43
156,1996-08-13,3.41,3.42
157,1996-08-14,3.42,3.42
158,1996-08-16,3.38,3.37
159,1996-08-19,3.35,3.3
160,1996-08-20,3.31,3.32
161,1996-08-21,3.34,3.4
162,1996-08-22,3.42,3.48
163,1996-08-23,3.47,3.52
164,1996-08-26,3.54,3.6
165,1996-08-27,3.61,3.81
166,1996-08-28,3.77,3.65
167,1996-08-29,3.65,3.7
168,1996-08-30,3.74,3.7
169,1996-09-02,3.73,3.71
170,1996-09-03,3.73,3.69
171,1996-09-04,3.36,3.61
172,1996-09-05,3.66,3.68
173,1996-09-06,3.68,3.66
174,1996-09-09,3.63,3.61
175,1996-09-10,3.57,3.64
176,1996-09-11,3.59,3.51
177,1996-09-12,3.48,3.54
178,1996-09-13,3.54,3.55
179,1996-09-16,3.54,3.55
180,1996-09-17,3.57,3.6
181,1996-09-18,3.56,3.55
182,1996-09-19,3.54,3.54
183,1996-09-20,3.5,3.47
184,1996-09-23,3.49,3.38
185,1996-09-24,3.31,3.23
186,1996-09-25,3.29,3.29
187,1996-09-26,3.27,3.24
188,1996-09-27,3.18,3.17
189,1996-09-30,3.08,3.17
190,1996-10-01,3.13,3.09
191,1996-10-03,3.1,3.1
192,1996-10-04,3.09,3.12
193,1996-10-07,3.07,3.09
194,1996-10-08,3.05,3.11
195,1996-10-09,3.06,3.07
196,1996-10-10,3.12,3.21
197,1996-10-11,3.25,3.37
198,1996-10-14,3.32,3.35
199,1996-10-15,3.39,3.37
200,1996-10-16,3.37,3.35
201,1996-10-17,3.34,3.37
202,1996-10-18,3.36,3.38
203,1996-10-22,3.41,3.48
204,1996-10-23,3.54,3.52
205,1996-10-24,3.51,3.51
206,1996-10-25,3.5,3.52
207,1996-10-28,3.49,3.52
208,1996-10-29,3.48,3.48
209,1996-10-31,3.35,3.31
210,1996-11-01,3.3,3.29
211,1996-11-04,3.22,3.25
212,1996-11-05,3.25,3.28
213,1996-11-06,3.23,3.23
214,1996-11-07,3.25,3.24
215,1996-11-08,3.28,3.23
216,1996-11-11,3.22,3.2
217,1996-11-13,3.21,3.21
218,1996-11-14,3.2,3.23
219,1996-11-15,3.23,3.25
220,1996-11-18,3.26,3.23
221,1996-11-19,3.2,3.29
222,1996-11-20,3.25,3.27
223,1996-11-21,3.24,3.28
224,1996-11-22,3.28,3.29
225,1996-11-25,3.29,3.3
226,1996-11-26,3.35,3.31
227,1996-11-27,3.33,3.48
228,1996-11-28,3.61,3.65
229,1996-11-29,3.64,3.79
230,1996-12-02,3.8,3.8
231,1996-12-03,3.8,3.8
232,1996-12-04,3.79,3.76
233,1996-12-05,3.72,3.82
234,1996-12-06,3.73,3.88
235,1996-12-09,3.9,4.08
236,1996-12-10,4.09,4.16
237,1996-12-11,4.14,4.2
238,1996-12-12,4.24,4.24
239,1996-12-13,4.28,4.27
240,1996-12-16,4.4,4.44
241,1996-12-17,4.46,4.24
242,1996-12-18,4.25,4.27
243,1996-12-19,4.24,4.26
244,1996-12-20,4.29,4.12
245,1996-12-23,4.0,4.08
246,1996-12-24,4.03,4.18
247,1996-12-26,4.26,4.21
248,1996-12-31,4.16,4.12
249,1997-01-01,4.19,4.17
250,1997-01-02,4.19,4.04
251,1997-01-03,4.07,3.99
252,1997-01-06,4.05,3.95
253,1997-01-07,3.94,3.97
254,1997-01-08,4.07,4.07
255,1997-01-09,4.09,4.23
256,1997-01-10,4.27,4.44
257,1997-01-13,4.45,4.52
258,1997-01-14,4.54,4.56
259,1997-01-15,4.65,4.69
260,1997-01-16,4.74,4.49
261,1997-01-17,4.4,4.47
262,1997-01-20,4.41,4.43
263,1997-01-21,4.39,4.27
264,1997-01-22,4.34,4.34
265,1997-01-24,4.33,4.32
266,1997-01-27,4.34,4.36
267,1997-01-28,4.37,4.37
268,1997-01-29,4.4,4.47
269,1997-01-30,4.45,4.59
270,1997-01-31,4.53,4.52
271,1997-02-03,4.45,4.44
272,1997-02-04,4.43,4.36
273,1997-02-05,4.51,4.41
274,1997-02-06,4.4,4.36
275,1997-02-07,4.36,4.41
276,1997-02-10,4.4,4.44
277,1997-02-11,4.4,4.44
278,1997-02-12,4.47,4.49
279,1997-02-13,4.47,4.68
280,1997-02-14,4.71,4.65
281,1997-02-17,4.61,4.7
282,1997-02-18,4.65,4.81
283,1997-02-19,4.8,4.84
284,1997-02-20,4.8,4.74
285,1997-02-21,4.7,4.72
286,1997-02-24,4.71,4.53
