Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-08-06,13.21,13.54,12.46,12.96,24197800,0.0,0
2009-08-07,12.93,13.42,12.84,13.16,2454300,0.0,0
2009-08-10,13.32,13.32,12.5,12.79,2421000,0.0,0
2009-08-11,12.8,12.81,12.41,12.55,2305400,0.0,0
2009-08-12,12.93,12.97,12.54,12.81,1451300,0.0,0
2009-08-13,12.81,13.39,12.81,13.25,1150600,0.0,0
2009-08-14,13.21,13.61,13.01,13.29,637800,0.0,0
2009-08-17,13.03,13.11,12.97,12.99,254400,0.0,0
2009-08-18,13.2,13.77,13.09,13.67,1446700,0.0,0
2009-08-19,13.49,14.37,13.45,14.33,2070800,0.0,0
2009-08-20,14.38,14.38,13.85,14.22,1882100,0.0,0
2009-08-21,14.25,14.39,14.08,14.27,863600,0.0,0
2009-08-24,14.03,14.29,13.85,14.01,1021600,0.0,0
2009-08-25,14.13,14.33,14.05,14.29,530800,0.0,0
2009-08-26,14.17,14.29,13.73,14.29,708600,0.0,0
2009-08-27,14.29,14.58,14.05,14.54,1161100,0.0,0
2009-08-28,14.5,15.22,14.42,14.79,1295000,0.0,0
2009-08-31,14.7,14.74,14.26,14.58,1004800,0.0,0
2009-09-01,14.62,14.77,13.57,14.29,1383500,0.0,0
2009-09-02,14.22,14.62,14.0,14.16,1293400,0.0,0
2009-09-03,14.39,14.39,13.61,13.97,3657700,0.0,0
2009-09-04,14.21,14.42,14.01,14.22,1158600,0.0,0
2009-09-08,14.22,14.36,13.97,14.17,574900,0.0,0
2009-09-09,14.29,14.29,13.79,13.82,551200,0.0,0
2009-09-10,13.62,13.98,13.57,13.65,415200,0.0,0
2009-09-11,13.61,13.88,13.25,13.52,620300,0.0,0
2009-09-14,13.33,13.53,13.06,13.33,1614500,0.0,0
2009-09-15,13.81,13.89,13.32,13.76,1986900,0.0,0
2009-09-16,13.93,14.21,13.7,14.08,2021100,0.0,0
2009-09-17,14.14,14.34,13.24,13.33,1446400,0.0,0
2009-09-18,13.27,13.63,12.96,12.97,899900,0.0,0
2009-09-21,13.04,13.32,12.71,13.3,553000,0.0,0
2009-09-22,13.58,13.91,13.47,13.81,1114100,0.0,0
2009-09-23,14.11,14.25,13.85,13.93,530300,0.0,0
2009-09-24,13.88,14.29,13.41,14.01,778800,0.0,0
2009-09-25,14.0,14.0,13.69,13.72,468500,0.0,0
2009-09-28,13.87,14.29,13.64,14.13,233600,0.0,0
2009-09-29,14.05,14.29,13.57,13.64,356700,0.0,0
2009-09-30,13.61,13.88,13.58,13.67,512600,0.0,0
2009-10-01,13.61,13.69,12.98,13.06,660500,0.0,0
2009-10-02,12.97,13.1,12.73,12.89,629600,0.0,0
2009-10-05,12.89,13.24,12.81,13.21,188900,0.0,0
2009-10-06,13.41,13.77,13.17,13.19,469400,0.0,0
2009-10-07,13.27,13.3,12.75,12.92,291700,0.0,0
2009-10-08,12.9,12.96,12.77,12.82,557300,0.0,0
2009-10-09,12.8,13.17,12.77,13.01,870500,0.0,0
2009-10-12,12.99,13.17,12.85,13.09,1288800,0.0,0
2009-10-13,12.97,13.35,12.93,13.24,557300,0.0,0
2009-10-14,13.49,13.61,13.25,13.5,695500,0.0,0
2009-10-15,13.93,14.38,13.69,13.74,2092000,0.0,0
2009-10-16,13.8,13.8,12.98,13.16,1263800,0.0,0
2009-10-19,13.18,13.33,12.86,13.01,2142900,0.0,0
2009-10-20,13.09,13.4,13.03,13.24,489000,0.0,0
2009-10-21,13.11,13.54,12.9,13.21,233800,0.0,0
2009-10-22,13.08,13.08,12.5,13.04,983400,0.0,0
2009-10-23,12.92,13.14,12.75,12.85,1134100,0.0,0
2009-10-26,12.74,12.91,12.66,12.69,162400,0.0,0
2009-10-27,12.77,12.81,12.22,12.37,328800,0.0,0
2009-10-28,12.41,12.41,11.92,11.96,622000,0.0,0
2009-10-29,11.97,12.17,11.79,12.04,1183300,0.0,0
2009-10-30,12.09,12.16,11.91,12.01,278100,0.0,0
2009-11-02,12.09,12.09,11.79,11.91,276600,0.0,0
2009-11-03,11.76,11.87,11.56,11.6,363700,0.0,0
2009-11-04,11.69,12.21,11.48,11.84,805300,0.0,0
2009-11-05,12.03,12.61,11.89,12.27,274100,0.0,0
2009-11-06,12.27,12.57,11.91,12.24,257500,0.0,0
2009-11-09,12.22,12.61,12.08,12.54,252900,0.0,0
2009-11-10,12.57,12.57,12.16,12.37,146800,0.0,0
2009-11-11,12.44,12.44,12.11,12.3,153500,0.0,0
2009-11-12,12.33,12.77,12.33,12.49,130000,0.0,0
2009-11-13,12.5,12.61,12.34,12.48,62100,0.0,0
2009-11-16,12.52,12.98,12.44,12.82,155600,0.0,0
2009-11-17,12.68,12.97,12.48,12.87,98500,0.0,0
2009-11-18,12.93,12.93,12.66,12.84,115500,0.0,0
2009-11-19,12.69,12.73,12.21,12.47,116600,0.0,0
2009-11-20,12.46,12.53,12.26,12.36,423700,0.0,0
2009-11-23,12.45,12.5,12.13,12.16,465300,0.0,0
2009-11-24,12.09,12.28,12.02,12.22,522800,0.0,0
2009-11-25,12.32,12.8,12.3,12.41,135300,0.0,0
2009-11-27,12.12,12.72,12.06,12.7,61600,0.0,0
2009-11-30,12.71,12.81,12.21,12.7,276500,0.0,0
2009-12-01,12.73,13.09,12.73,12.78,417800,0.0,0
2009-12-02,12.84,12.9,12.32,12.5,846500,0.0,0
2009-12-03,12.48,12.77,12.48,12.76,507900,0.0,0
2009-12-04,13.13,13.38,12.49,13.23,946800,0.0,0
2009-12-07,13.21,13.56,13.21,13.51,308400,0.0,0
2009-12-08,13.3,13.59,13.25,13.41,249500,0.0,0
2009-12-09,13.3,13.46,13.09,13.46,96700,0.0,0
2009-12-10,13.45,13.61,13.41,13.43,255500,0.0,0
2009-12-11,13.37,13.37,13.18,13.28,77400,0.0,0
2009-12-14,13.41,13.53,13.37,13.49,224800,0.0,0
2009-12-15,13.49,13.53,13.38,13.41,140400,0.0,0
2009-12-16,13.52,13.72,13.41,13.61,315700,0.0,0
2009-12-17,13.54,13.6,12.93,13.06,149000,0.0,0
2009-12-18,13.05,13.45,13.0,13.13,417800,0.0,0
2009-12-21,13.45,13.49,13.1,13.21,144300,0.0,0
2009-12-22,13.21,13.4,13.0,13.4,312700,0.0,0
2009-12-23,13.41,13.49,13.33,13.44,223500,0.0,0
2009-12-24,13.39,13.61,13.39,13.44,30800,0.0,0
2009-12-28,13.41,14.25,13.41,13.92,795400,0.0,0
2009-12-29,14.03,14.16,13.93,14.04,227600,0.0,0
2009-12-30,13.86,14.24,13.86,14.17,302500,0.0,0
2009-12-31,14.1,14.65,14.1,14.65,555800,0.0,0
2010-01-04,14.66,15.14,14.42,15.1,538700,0.0,0
2010-01-05,15.18,15.41,14.5,15.22,301100,0.0,0
2010-01-06,15.18,15.46,14.89,15.34,533100,0.0,0
2010-01-07,15.25,15.35,14.94,15.24,271800,0.0,0
2010-01-08,15.14,15.46,15.1,15.35,289900,0.0,0
2010-01-11,15.38,15.66,15.24,15.45,512700,0.0,0
2010-01-12,15.33,15.33,15.01,15.22,916700,0.0,0
2010-01-13,15.18,15.18,14.62,14.75,943900,0.0,0
2010-01-14,14.8,15.11,14.54,14.76,1065400,0.0,0
2010-01-15,14.86,14.86,14.54,14.61,158700,0.0,0
2010-01-19,14.33,14.54,13.85,14.26,381300,0.0,0
2010-01-20,14.18,14.42,13.97,14.38,193800,0.0,0
2010-01-21,14.31,14.81,14.25,14.41,338600,0.0,0
2010-01-22,14.32,14.46,13.92,14.06,923500,0.0,0
2010-01-25,14.15,14.25,13.98,14.13,261400,0.0,0
2010-01-26,13.64,14.42,13.49,14.22,765400,0.0,0
2010-01-27,14.13,14.38,13.81,13.94,696300,0.0,0
2010-01-28,14.05,14.21,13.81,14.19,14457600,0.0,0
2010-01-29,14.19,14.3,13.81,13.92,3357000,0.0,0
2010-02-01,13.92,14.17,13.85,14.01,509500,0.0,0
2010-02-02,14.02,14.25,13.89,14.17,1772900,0.0,0
2010-02-03,14.05,14.17,14.0,14.11,1285700,0.0,0
2010-02-04,13.92,14.08,13.66,13.79,1376700,0.0,0
2010-02-05,13.81,13.87,13.29,13.77,538700,0.0,0
2010-02-08,13.68,13.85,13.51,13.62,498300,0.0,0
2010-02-09,13.65,13.92,13.47,13.61,189600,0.0,0
2010-02-10,13.5,13.57,13.22,13.45,578000,0.0,0
2010-02-11,13.42,13.81,13.21,13.72,370000,0.0,0
2010-02-12,13.6,13.93,13.45,13.9,163200,0.0,0
2010-02-16,13.93,14.02,13.83,14.0,422700,0.0,0
2010-02-17,14.09,14.09,13.75,13.94,507700,0.0,0
2010-02-18,13.99,14.01,13.85,13.97,461900,0.0,0
2010-02-19,14.01,14.11,13.9,14.04,374600,0.0,0
2010-02-22,14.01,14.09,13.8,13.89,846500,0.0,0
2010-02-23,13.89,14.01,13.72,13.92,1820200,0.0,0
2010-02-24,14.01,14.31,13.94,14.21,852300,0.0,0
2010-02-25,14.42,14.73,14.17,14.49,2319700,0.0,0
2010-02-26,14.46,14.57,14.38,14.54,280700,0.0,0
2010-03-01,14.98,15.06,14.51,14.66,872200,0.0,0
2010-03-02,14.57,15.01,14.57,14.99,981000,0.0,0
2010-03-03,15.02,15.97,15.02,15.14,1063400,0.0,0
2010-03-04,15.22,15.41,14.82,15.26,396600,0.0,0
2010-03-05,15.26,15.74,15.26,15.5,376700,0.0,0
2010-03-08,15.6,15.63,15.29,15.46,222000,0.0,0
2010-03-09,15.57,16.02,15.34,15.5,922700,0.0,0
2010-03-10,15.58,16.0,15.5,15.81,544900,0.0,0
2010-03-11,15.85,15.99,15.85,15.9,394700,0.0,0
2010-03-12,15.94,16.02,15.57,15.74,498400,0.0,0
2010-03-15,15.66,15.66,15.24,15.55,179200,0.0,0
2010-03-16,15.55,15.76,15.34,15.62,162300,0.0,0
2010-03-17,15.69,16.01,15.66,15.93,309400,0.0,0
2010-03-18,15.97,16.02,15.6,16.0,211200,0.0,0
2010-03-19,16.1,16.24,15.77,16.1,636500,0.0,0
2010-03-22,15.91,16.14,15.78,15.97,473400,0.0,0
2010-03-23,16.0,16.26,15.98,16.19,281900,0.0,0
2010-03-24,16.18,16.18,15.67,15.71,153500,0.0,0
2010-03-25,15.82,15.82,15.46,15.74,583500,0.0,0
2010-03-26,15.74,16.18,15.74,15.94,525000,0.0,0
2010-03-29,16.09,16.34,15.97,16.19,296100,0.0,0
2010-03-30,16.24,16.43,15.98,16.32,353900,0.0,0
2010-03-31,16.33,16.56,16.15,16.47,662000,0.0,0
2010-04-01,16.57,16.66,16.09,16.42,324600,0.0,0
2010-04-05,16.57,16.58,15.85,16.22,612000,0.0,0
2010-04-06,16.06,16.68,16.02,16.56,235800,0.0,0
2010-04-07,16.48,16.61,16.34,16.4,144600,0.0,0
2010-04-08,16.4,16.4,16.08,16.1,140200,0.0,0
2010-04-09,16.1,16.13,15.88,16.02,198300,0.0,0
2010-04-12,15.95,16.14,15.75,16.03,286700,0.0,0
2010-04-13,15.9,16.21,15.82,16.14,236700,0.0,0
2010-04-14,16.52,17.27,16.42,17.26,478300,0.0,0
2010-04-15,17.3,17.62,17.3,17.59,614800,0.0,0
2010-04-16,17.59,17.6,17.35,17.52,343900,0.0,0
2010-04-19,17.36,17.65,17.06,17.54,486700,0.0,0
2010-04-20,17.99,18.32,17.76,17.91,850600,0.0,0
2010-04-21,18.02,18.28,17.19,17.49,540200,0.0,0
2010-04-22,17.49,17.51,16.79,17.24,644100,0.0,0
2010-04-23,17.16,17.31,16.88,17.21,188600,0.0,0
2010-04-26,17.1,17.64,17.06,17.45,255000,0.0,0
2010-04-27,17.51,17.51,16.67,16.82,250600,0.0,0
2010-04-28,16.96,17.05,16.56,16.83,313900,0.0,0
2010-04-29,17.08,17.46,17.08,17.14,318500,0.0,0
