Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-12-06,4.71,5.22,4.7,5.18,27551000,0.0,0.0
2002-12-09,5.16,5.17,4.97,5.07,3149500,0.0,0.0
2002-12-10,5.08,5.23,5.03,5.16,1723000,0.0,0.0
2002-12-11,5.16,5.49,5.11,5.44,2549000,0.0,0.0
2002-12-12,5.44,5.44,5.27,5.3,1355500,0.0,0.0
2002-12-13,5.3,5.31,5.22,5.27,987500,0.0,0.0
2002-12-16,5.25,5.28,5.19,5.21,798000,0.0,0.0
2002-12-17,5.19,5.31,5.17,5.23,1646000,0.0,0.0
2002-12-18,5.22,5.22,5.14,5.15,742000,0.0,0.0
2002-12-19,5.14,5.16,5.09,5.11,684000,0.0,0.0
2002-12-20,5.12,5.39,5.07,5.37,904500,0.0,0.0
2002-12-23,5.36,5.38,5.24,5.24,638500,0.0,0.0
2002-12-24,5.27,5.27,5.19,5.2,218000,0.0,0.0
2002-12-26,5.21,5.21,5.14,5.14,325000,0.0,0.0
2002-12-27,5.13,5.13,5.04,5.07,830500,0.0,0.0
2002-12-30,5.11,5.17,5.08,5.11,1076500,0.0,0.0
2002-12-31,5.1,5.29,5.1,5.27,1778000,0.0,0.0
2003-01-02,5.27,5.31,5.25,5.28,315000,0.0,0.0
2003-01-03,5.28,5.53,5.26,5.53,861500,0.0,0.0
2003-01-06,5.44,5.84,5.44,5.81,1874500,0.0,0.0
2003-01-07,5.8,5.87,5.71,5.8,1383000,0.0,0.0
2003-01-08,5.8,5.83,5.76,5.8,411000,0.0,0.0
2003-01-09,5.81,5.94,5.76,5.92,649000,0.0,0.0
2003-01-10,5.9,5.96,5.88,5.92,844000,0.0,0.0
2003-01-13,5.92,6.0,5.9,5.99,810000,0.0,0.0
2003-01-14,5.99,6.04,5.93,5.93,554000,0.0,0.0
2003-01-15,5.85,5.85,5.65,5.68,1459000,0.0,0.0
2003-01-16,5.68,5.68,5.47,5.48,725000,0.0,0.0
2003-01-17,5.46,5.5,5.41,5.44,590500,0.0,0.0
2003-01-21,5.44,5.46,5.35,5.37,468000,0.0,0.0
2003-01-22,5.35,5.36,5.33,5.33,163500,0.0,0.0
