Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1992-01-22,0.46,0.58,0.46,0.54,168022400,0.0,0.0
1992-01-23,0.56,0.61,0.54,0.59,38368000,0.0,0.0
1992-01-24,0.59,0.62,0.57,0.59,12044800,0.0,0.0
1992-01-27,0.62,0.64,0.59,0.64,10716800,0.0,0.0
1992-01-28,0.63,0.65,0.61,0.63,19913600,0.0,0.0
1992-01-29,0.61,0.63,0.58,0.58,13238400,0.0,0.0
1992-01-30,0.59,0.59,0.52,0.52,10848000,0.0,0.0
1992-01-31,0.53,0.55,0.52,0.55,2496000,0.0,0.0
1992-02-03,0.56,0.56,0.54,0.55,2320000,0.0,0.0
1992-02-04,0.55,0.58,0.55,0.58,2499200,0.0,0.0
1992-02-05,0.58,0.58,0.57,0.57,1148800,0.0,0.0
1992-02-06,0.58,0.59,0.57,0.59,5504000,0.0,0.0
1992-02-07,0.57,0.59,0.55,0.55,4560000,0.0,0.0
1992-02-10,0.55,0.57,0.52,0.53,14140800,0.0,0.0
1992-02-11,0.53,0.53,0.48,0.48,9868800,0.0,0.0
1992-02-12,0.49,0.49,0.47,0.49,3942400,0.0,0.0
1992-02-13,0.49,0.49,0.46,0.47,3241600,0.0,0.0
1992-02-14,0.48,0.48,0.45,0.46,13753600,0.0,0.0
1992-02-18,0.47,0.47,0.41,0.42,3046400,0.0,0.0
1992-02-19,0.41,0.45,0.41,0.43,4284800,0.0,0.0
1992-02-20,0.48,0.51,0.47,0.49,4784000,0.0,0.0
1992-02-21,0.49,0.51,0.47,0.51,1865600,0.0,0.0
1992-02-24,0.51,0.55,0.5,0.51,3129600,0.0,0.0
1992-02-25,0.53,0.53,0.47,0.47,3129600,0.0,0.0
1992-02-26,0.46,0.48,0.46,0.47,1657600,0.0,0.0
1992-02-27,0.48,0.48,0.46,0.47,204800,0.0,0.0
1992-02-28,0.47,0.48,0.46,0.47,227200,0.0,0.0
1992-03-02,0.48,0.48,0.43,0.43,5177600,0.0,0.0
1992-03-03,0.44,0.46,0.43,0.46,531200,0.0,0.0
1992-03-04,0.46,0.48,0.44,0.47,464000,0.0,0.0
1992-03-05,0.46,0.48,0.45,0.45,454400,0.0,0.0
1992-03-06,0.45,0.47,0.43,0.44,1744000,0.0,0.0
1992-03-09,0.44,0.47,0.43,0.47,1078400,0.0,0.0
1992-03-10,0.45,0.52,0.45,0.5,1542400,0.0,0.0
1992-03-11,0.51,0.51,0.47,0.47,1020800,0.0,0.0
1992-03-12,0.46,0.46,0.44,0.46,5561600,0.0,0.0
1992-03-13,0.45,0.46,0.45,0.45,1744000,0.0,0.0
1992-03-16,0.47,0.47,0.45,0.45,835200,0.0,0.0
1992-03-17,0.45,0.47,0.45,0.45,396800,0.0,0.0
1992-03-18,0.47,0.47,0.44,0.45,630400,0.0,0.0
1992-03-19,0.49,0.51,0.46,0.51,3443200,0.0,0.0
1992-03-20,0.51,0.51,0.45,0.45,2876800,0.0,0.0
1992-03-23,0.47,0.47,0.45,0.46,608000,0.0,0.0
1992-03-24,0.48,0.49,0.44,0.45,2704000,0.0,0.0
1992-03-25,0.46,0.46,0.43,0.45,960000,0.0,0.0
1992-03-26,0.45,0.45,0.43,0.45,150400,0.0,0.0
1992-03-27,0.43,0.45,0.39,0.41,3897600,0.0,0.0
1992-03-30,0.4,0.43,0.4,0.43,3225600,0.0,0.0
1992-03-31,0.43,0.47,0.42,0.44,9430400,0.0,0.0
1992-04-01,0.43,0.44,0.41,0.42,3820800,0.0,0.0
1992-04-02,0.41,0.43,0.4,0.4,3200000,0.0,0.0
1992-04-03,0.39,0.41,0.39,0.41,6723200,0.0,0.0
1992-04-06,0.41,0.41,0.39,0.41,3872000,0.0,0.0
1992-04-07,0.4,0.41,0.35,0.35,2460800,0.0,0.0
1992-04-08,0.35,0.35,0.3,0.35,4124800,0.0,0.0
1992-04-09,0.37,0.37,0.34,0.37,1187200,0.0,0.0
1992-04-10,0.37,0.37,0.35,0.36,3033600,0.0,0.0
1992-04-13,0.36,0.36,0.33,0.33,483200,0.0,0.0
1992-04-14,0.36,0.36,0.33,0.33,534400,0.0,0.0
1992-04-15,0.36,0.36,0.33,0.33,1961600,0.0,0.0
1992-04-16,0.36,0.36,0.29,0.31,2217600,0.0,0.0
1992-04-20,0.31,0.31,0.28,0.29,3571200,0.0,0.0
1992-04-21,0.28,0.3,0.28,0.3,19568000,0.0,0.0
1992-04-22,0.29,0.32,0.29,0.29,3036800,0.0,0.0
1992-04-23,0.32,0.32,0.29,0.31,2550400,0.0,0.0
1992-04-24,0.29,0.31,0.29,0.31,790400,0.0,0.0
1992-04-27,0.31,0.32,0.29,0.3,4931200,0.0,0.0
1992-04-28,0.33,0.33,0.3,0.32,2198400,0.0,0.0
1992-04-29,0.32,0.33,0.31,0.31,1875200,0.0,0.0
1992-04-30,0.31,0.35,0.31,0.35,1107200,0.0,0.0
1992-05-01,0.35,0.36,0.33,0.33,1324800,0.0,0.0
1992-05-04,0.36,0.36,0.33,0.36,64000,0.0,0.0
1992-05-05,0.36,0.38,0.35,0.37,2246400,0.0,0.0
1992-05-06,0.38,0.41,0.38,0.39,4201600,0.0,0.0
1992-05-07,0.4,0.4,0.37,0.39,643200,0.0,0.0
1992-05-08,0.39,0.39,0.34,0.36,2067200,0.0,0.0
1992-05-11,0.37,0.37,0.37,0.37,44800,0.0,0.0
1992-05-12,0.35,0.35,0.32,0.34,896000,0.0,0.0
1992-05-13,0.35,0.35,0.32,0.32,256000,0.0,0.0
1992-05-14,0.32,0.32,0.29,0.29,1110400,0.0,0.0
1992-05-15,0.28,0.31,0.28,0.31,931200,0.0,0.0
1992-05-18,0.31,0.32,0.3,0.3,3686400,0.0,0.0
1992-05-19,0.31,0.31,0.3,0.3,972800,0.0,0.0
1992-05-20,0.31,0.32,0.3,0.32,2460800,0.0,0.0
1992-05-21,0.33,0.35,0.32,0.35,1446400,0.0,0.0
1992-05-22,0.33,0.35,0.33,0.35,278400,0.0,0.0
1992-05-26,0.32,0.33,0.31,0.33,646400,0.0,0.0
1992-05-27,0.31,0.33,0.31,0.32,457600,0.0,0.0
1992-05-28,0.31,0.33,0.31,0.32,1276800,0.0,0.0
1992-05-29,0.33,0.33,0.31,0.33,560000,0.0,0.0
1992-06-01,0.31,0.31,0.31,0.31,3200,0.0,0.0
1992-06-02,0.31,0.32,0.31,0.32,2166400,0.0,0.0
1992-06-03,0.31,0.33,0.31,0.33,76800,0.0,0.0
1992-06-04,0.33,0.33,0.33,0.33,3200,0.0,0.0
1992-06-05,0.32,0.32,0.32,0.32,3200,0.0,0.0
1992-06-08,0.31,0.32,0.31,0.32,2156800,0.0,0.0
1992-06-09,0.33,0.33,0.31,0.31,76800,0.0,0.0
1992-06-10,0.32,0.32,0.31,0.31,118400,0.0,0.0
1992-06-11,0.31,0.31,0.29,0.31,316800,0.0,0.0
1992-06-12,0.31,0.31,0.27,0.27,6361600,0.0,0.0
