Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1991-12-13,0.36,0.4,0.35,0.38,143667200,0.0,0.0
1991-12-16,0.38,0.39,0.37,0.38,22585600,0.0,0.0
1991-12-17,0.39,0.39,0.37,0.38,16176000,0.0,0.0
1991-12-18,0.38,0.39,0.38,0.39,10899200,0.0,0.0
1991-12-19,0.39,0.39,0.37,0.37,7299200,0.0,0.0
1991-12-20,0.37,0.39,0.37,0.38,5235200,0.0,0.0
1991-12-23,0.39,0.39,0.37,0.38,7894400,0.0,0.0
1991-12-24,0.37,0.41,0.37,0.41,7129600,0.0,0.0
1991-12-26,0.4,0.47,0.4,0.47,8672000,0.0,0.0
1991-12-27,0.47,0.47,0.44,0.45,6396800,0.0,0.0
1991-12-30,0.45,0.46,0.44,0.46,6627200,0.0,0.0
1991-12-31,0.46,0.53,0.46,0.52,12572800,0.0,0.0
1992-01-02,0.52,0.59,0.52,0.59,22121600,0.0,0.0
1992-01-03,0.59,0.6,0.57,0.59,6092800,0.0,0.0
1992-01-06,0.61,0.61,0.51,0.56,15987200,0.0,0.0
1992-01-07,0.55,0.57,0.53,0.54,4940800,0.0,0.0
1992-01-08,0.55,0.55,0.46,0.48,36828800,0.0,0.0
1992-01-09,0.49,0.52,0.49,0.52,20809600,0.0,0.0
1992-01-10,0.53,0.53,0.49,0.51,7961600,0.0,0.0
1992-01-13,0.52,0.57,0.5,0.55,8499200,0.0,0.0
1992-01-14,0.57,0.57,0.55,0.56,3628800,0.0,0.0
1992-01-15,0.57,0.58,0.55,0.56,5910400,0.0,0.0
1992-01-16,0.57,0.57,0.52,0.55,3654400,0.0,0.0
1992-01-17,0.53,0.55,0.53,0.53,1574400,0.0,0.0
1992-01-20,0.53,0.54,0.5,0.53,3350400,0.0,0.0
1992-01-21,0.54,0.54,0.5,0.51,3724800,0.0,0.0
1992-01-22,0.51,0.53,0.5,0.53,5132800,0.0,0.0
1992-01-23,0.54,0.54,0.5,0.5,3248000,0.0,0.0
1992-01-24,0.5,0.51,0.5,0.5,355200,0.0,0.0
1992-01-27,0.51,0.51,0.48,0.49,2675200,0.0,0.0
1992-01-28,0.49,0.49,0.47,0.48,3673600,0.0,0.0
1992-01-29,0.48,0.5,0.47,0.49,1702400,0.0,0.0
1992-01-30,0.48,0.52,0.48,0.5,2505600,0.0,0.0
1992-01-31,0.5,0.51,0.5,0.51,1702400,0.0,0.0
1992-02-03,0.51,0.55,0.5,0.52,2611200,0.0,0.0
1992-02-04,0.52,0.55,0.51,0.53,4233600,0.0,0.0
1992-02-05,0.52,0.53,0.52,0.52,3280000,0.0,0.0
1992-02-06,0.54,0.54,0.51,0.51,7232000,0.0,0.0
1992-02-07,0.53,0.53,0.46,0.5,8979200,0.0,0.0
1992-02-10,0.48,0.5,0.47,0.48,4940800,0.0,0.0
1992-02-11,0.48,0.5,0.47,0.48,1667200,0.0,0.0
1992-02-12,0.48,0.52,0.47,0.51,3603200,0.0,0.0
1992-02-13,0.52,0.52,0.48,0.48,1398400,0.0,0.0
1992-02-14,0.49,0.49,0.48,0.49,2825600,0.0,0.0
1992-02-18,0.49,0.49,0.47,0.48,1078400,0.0,0.0
1992-02-19,0.47,0.48,0.46,0.47,1408000,0.0,0.0
1992-02-20,0.47,0.49,0.47,0.49,5705600,0.0,0.0
1992-02-21,0.48,0.49,0.44,0.44,3836800,0.0,0.0
1992-02-24,0.44,0.46,0.39,0.42,12384000,0.0,0.0
1992-02-25,0.43,0.44,0.41,0.42,3513600,0.0,0.0
1992-02-26,0.44,0.44,0.42,0.44,3200000,0.0,0.0
1992-02-27,0.44,0.44,0.41,0.43,1209600,0.0,0.0
1992-02-28,0.43,0.44,0.42,0.43,3011200,0.0,0.0
1992-03-02,0.43,0.44,0.42,0.43,1257600,0.0,0.0
1992-03-03,0.44,0.45,0.42,0.42,4022400,0.0,0.0
1992-03-04,0.42,0.42,0.41,0.41,5580800,0.0,0.0
1992-03-05,0.42,0.42,0.4,0.4,1920000,0.0,0.0
1992-03-06,0.41,0.41,0.37,0.39,6329600,0.0,0.0
1992-03-09,0.4,0.4,0.37,0.39,2809600,0.0,0.0
1992-03-10,0.4,0.42,0.39,0.42,1900800,0.0,0.0
1992-03-11,0.42,0.42,0.39,0.39,5577600,0.0,0.0
1992-03-12,0.4,0.42,0.39,0.41,1644800,0.0,0.0
1992-03-13,0.4,0.42,0.4,0.41,4976000,0.0,0.0
1992-03-16,0.41,0.41,0.39,0.39,739200,0.0,0.0
1992-03-17,0.4,0.41,0.4,0.4,1865600,0.0,0.0
1992-03-18,0.42,0.44,0.41,0.43,3753600,0.0,0.0
1992-03-19,0.43,0.46,0.42,0.46,6108800,0.0,0.0
1992-03-20,0.47,0.49,0.47,0.47,5392000,0.0,0.0
1992-03-23,0.48,0.49,0.45,0.46,5219200,0.0,0.0
1992-03-24,0.47,0.48,0.45,0.46,5760000,0.0,0.0
1992-03-25,0.47,0.47,0.46,0.47,3718400,0.0,0.0
1992-03-26,0.48,0.48,0.46,0.47,2089600,0.0,0.0
1992-03-27,0.46,0.47,0.46,0.46,1456000,0.0,0.0
1992-03-30,0.46,0.47,0.44,0.46,2339200,0.0,0.0
1992-03-31,0.44,0.49,0.42,0.49,5353600,0.0,0.0
1992-04-01,0.46,0.49,0.46,0.46,3868800,0.0,0.0
1992-04-02,0.47,0.47,0.41,0.44,2947200,0.0,0.0
1992-04-03,0.43,0.47,0.43,0.44,3414400,0.0,0.0
1992-04-06,0.44,0.45,0.43,0.45,2742400,0.0,0.0
1992-04-07,0.46,0.47,0.44,0.45,2579200,0.0,0.0
1992-04-08,0.44,0.47,0.44,0.45,3123200,0.0,0.0
1992-04-09,0.45,0.46,0.44,0.44,4313600,0.0,0.0
1992-04-10,0.46,0.46,0.44,0.46,592000,0.0,0.0
1992-04-13,0.46,0.47,0.44,0.47,2115200,0.0,0.0
1992-04-14,0.47,0.49,0.47,0.48,1955200,0.0,0.0
1992-04-15,0.5,0.5,0.47,0.49,6112000,0.0,0.0
1992-04-16,0.5,0.51,0.48,0.48,2646400,0.0,0.0
1992-04-20,0.48,0.52,0.48,0.49,3318400,0.0,0.0
1992-04-21,0.51,0.51,0.49,0.49,1952000,0.0,0.0
1992-04-22,0.5,0.51,0.49,0.51,2198400,0.0,0.0
1992-04-23,0.5,0.51,0.48,0.49,1555200,0.0,0.0
1992-04-24,0.48,0.49,0.48,0.48,2112000,0.0,0.0
1992-04-27,0.49,0.49,0.48,0.48,1984000,0.0,0.0
1992-04-28,0.49,0.49,0.45,0.45,1923200,0.0,0.0
1992-04-29,0.46,0.46,0.45,0.46,563200,0.0,0.0
1992-04-30,0.46,0.46,0.43,0.44,3433600,0.0,0.0
1992-05-01,0.45,0.45,0.44,0.45,1120000,0.0,0.0
1992-05-04,0.45,0.46,0.44,0.45,3014400,0.0,0.0
1992-05-05,0.46,0.47,0.45,0.46,300800,0.0,0.0
1992-05-06,0.46,0.47,0.45,0.46,1779200,0.0,0.0
1992-05-07,0.47,0.47,0.45,0.45,412800,0.0,0.0
1992-05-08,0.45,0.47,0.45,0.45,179200,0.0,0.0
1992-05-11,0.47,0.47,0.44,0.45,1318400,0.0,0.0
1992-05-12,0.45,0.45,0.42,0.42,1654400,0.0,0.0
1992-05-13,0.43,0.43,0.4,0.41,3331200,0.0,0.0
1992-05-14,0.42,0.42,0.4,0.41,6102400,0.0,0.0
1992-05-15,0.4,0.41,0.39,0.4,1612800,0.0,0.0
1992-05-18,0.41,0.41,0.39,0.39,2275200,0.0,0.0
1992-05-19,0.4,0.4,0.39,0.39,1500800,0.0,0.0
1992-05-20,0.4,0.4,0.37,0.38,7673600,0.0,0.0
1992-05-21,0.38,0.39,0.37,0.38,4457600,0.0,0.0
1992-05-22,0.38,0.39,0.37,0.39,1846400,0.0,0.0
1992-05-26,0.39,0.4,0.38,0.4,3257600,0.0,0.0
1992-05-27,0.4,0.4,0.38,0.38,4080000,0.0,0.0
1992-05-28,0.38,0.39,0.38,0.38,630400,0.0,0.0
1992-05-29,0.39,0.39,0.38,0.39,1504000,0.0,0.0
1992-06-01,0.39,0.41,0.39,0.4,2649600,0.0,0.0
1992-06-02,0.41,0.42,0.39,0.39,2208000,0.0,0.0
1992-06-03,0.41,0.41,0.4,0.41,3337600,0.0,0.0
1992-06-04,0.42,0.44,0.41,0.43,8780800,0.0,0.0
1992-06-05,0.43,0.43,0.42,0.43,1609600,0.0,0.0
1992-06-08,0.42,0.43,0.4,0.4,2060800,0.0,0.0
1992-06-09,0.4,0.4,0.38,0.39,2982400,0.0,0.0
1992-06-10,0.38,0.4,0.37,0.38,5728000,0.0,0.0
1992-06-11,0.39,0.4,0.38,0.4,11107200,0.0,0.0
