Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-10-09,3.06,3.56,3.06,3.43,10201100,0.0,0.0
1997-10-10,3.8,3.82,3.45,3.59,10668500,0.0,0.0
1997-10-13,3.59,3.59,3.49,3.51,3043300,0.0,0.0
1997-10-14,3.48,3.49,3.27,3.36,2549200,0.0,0.0
1997-10-15,3.15,3.28,3.15,3.27,3166400,0.0,0.0
1997-10-16,3.27,3.27,3.15,3.17,1770200,0.0,0.0
1997-10-17,3.02,3.03,2.89,2.9,3286800,0.0,0.0
1997-10-20,2.42,2.59,2.41,2.54,11499100,0.0,0.0
1997-10-21,2.65,2.9,2.64,2.9,6924100,0.0,0.0
1997-10-22,2.66,2.67,2.55,2.56,4457800,0.0,0.0
1997-10-23,2.48,2.48,2.3,2.41,12493100,0.0,0.0
1997-10-24,2.46,2.48,2.22,2.28,9497900,0.0,0.0
1997-10-27,2.22,2.22,1.97,1.97,4904100,0.0,0.0
1997-10-28,1.81,2.42,1.8,2.42,10416800,0.0,0.0
1997-10-29,2.22,2.28,2.19,2.2,7547200,0.0,0.0
1997-10-30,2.07,2.16,2.07,2.14,2796300,0.0,0.0
1997-10-31,2.22,2.33,2.21,2.28,3610300,0.0,0.0
1997-11-03,2.48,2.65,2.48,2.61,6204800,0.0,0.0
1997-11-04,2.59,2.64,2.54,2.61,3144600,0.0,0.0
1997-11-05,2.66,2.84,2.66,2.82,3978700,0.0,0.0
1997-11-06,2.92,2.94,2.78,2.81,3649300,0.0,0.0
1997-11-07,2.61,2.76,2.59,2.74,4470300,0.0,0.0
1997-11-10,2.85,2.87,2.75,2.76,2434600,0.0,0.0
1997-11-11,2.71,2.75,2.69,2.7,2194000,0.0,0.0
1997-11-12,2.61,2.61,2.54,2.55,3904600,0.0,0.0
1997-11-13,2.58,2.67,2.49,2.53,2481600,0.0,0.0
1997-11-14,2.58,2.61,2.49,2.53,2205400,0.0,0.0
1997-11-17,2.7,2.71,2.65,2.71,3289800,0.0,0.0
1997-11-18,2.62,2.62,2.52,2.54,2240200,0.0,0.0
1997-11-19,2.51,2.51,2.43,2.46,1442300,0.0,0.0
1997-11-20,2.41,2.45,2.4,2.41,2577600,0.0,0.0
1997-11-21,2.42,2.53,2.42,2.53,4222500,0.0,0.0
1997-11-24,2.41,2.48,2.41,2.47,2254200,0.0,0.0
1997-11-25,2.48,2.57,2.48,2.54,1083200,0.0,0.0
1997-11-26,2.51,2.51,2.46,2.49,1135900,0.0,0.0
1997-11-28,2.54,2.54,2.53,2.54,1082500,0.0,0.0
1997-12-01,2.42,2.42,2.38,2.42,2364500,0.0,0.0
1997-12-02,2.44,2.46,2.41,2.42,2202400,0.0,0.0
1997-12-03,2.46,2.46,2.4,2.43,2782900,0.0,0.0
1997-12-04,2.55,2.57,2.54,2.54,2720900,0.0,0.0
1997-12-05,2.54,2.56,2.52,2.54,1795800,0.0,0.0
1997-12-08,2.64,2.71,2.64,2.65,2019400,0.0,0.0
1997-12-09,2.59,2.59,2.54,2.54,1486400,0.0,0.0
1997-12-10,2.57,2.57,2.42,2.43,1393400,0.0,0.0
1997-12-11,2.32,2.33,2.28,2.32,3127800,0.0,0.0
1997-12-12,2.31,2.35,2.3,2.3,2271400,0.0,0.0
1997-12-15,2.28,2.28,2.1,2.1,5162100,0.0,0.0
1997-12-16,2.1,2.2,2.09,2.17,3736000,0.0,0.0
1997-12-17,2.17,2.2,2.09,2.1,3309500,0.0,0.0
1997-12-18,2.08,2.08,2.02,2.02,1022400,0.0,0.0
1997-12-19,2.0,2.17,1.99,2.14,3055400,0.0,0.0
1997-12-22,2.12,2.16,2.1,2.12,1265700,0.0,0.0
1997-12-23,2.08,2.08,2.05,2.05,812900,0.0,0.0
1997-12-24,2.05,2.08,2.04,2.05,742100,0.0,0.0
1997-12-26,2.05,2.08,2.05,2.07,291800,0.0,0.0
1997-12-29,2.1,2.12,2.08,2.09,950500,0.0,0.0
1997-12-30,2.1,2.16,2.1,2.16,1464600,0.0,0.0
1997-12-31,2.16,2.16,2.07,2.1,916800,0.0,0.0
1998-01-02,2.09,2.12,2.08,2.12,568200,0.0,0.0
1998-01-05,2.12,2.14,2.08,2.12,1748900,0.0,0.0
1998-01-06,2.1,2.1,2.07,2.07,1503200,0.0,0.0
1998-01-07,2.03,2.03,1.87,1.87,1336000,0.0,0.0
1998-01-08,1.84,1.85,1.79,1.79,4583300,0.0,0.0
1998-01-09,1.79,1.79,1.67,1.68,5332000,0.0,0.0
1998-01-12,1.64,1.76,1.54,1.74,3468600,0.0,0.0
1998-01-13,1.81,1.95,1.8,1.94,2123100,0.0,0.0
1998-01-14,2.05,2.05,1.92,1.97,2802700,0.0,0.0
1998-01-15,1.96,1.97,1.92,1.94,1833200,0.0,0.0
1998-01-16,2.02,2.02,2.0,2.01,2318800,0.0,0.0
1998-01-20,2.06,2.15,2.06,2.12,3269800,0.0,0.0
1998-01-21,2.12,2.17,2.11,2.17,2870500,0.0,0.0
1998-01-22,2.17,2.23,2.13,2.23,1797800,0.0,0.0
1998-01-23,2.28,2.29,2.23,2.28,1194700,0.0,0.0
1998-01-26,2.43,2.45,2.38,2.45,3287300,0.0,0.0
1998-01-27,2.46,2.54,2.46,2.52,2171100,0.0,0.0
1998-01-28,2.54,2.65,2.54,2.65,3174400,0.0,0.0
1998-01-29,2.65,2.65,2.54,2.54,3232400,0.0,0.0
1998-01-30,2.56,2.75,2.56,2.74,4948800,0.0,0.0
1998-02-02,2.78,2.85,2.77,2.82,2353300,0.0,0.0
1998-02-03,2.94,3.02,2.9,3.01,5174100,0.0,0.0
1998-02-04,2.97,2.97,2.81,2.84,2419200,0.0,0.0
1998-02-05,2.97,3.0,2.86,2.87,1633700,0.0,0.0
1998-02-06,2.84,2.87,2.77,2.85,1084000,0.0,0.0
1998-02-09,2.85,2.87,2.74,2.75,1853700,0.0,0.0
1998-02-10,2.79,2.87,2.79,2.84,1728000,0.0,0.0
1998-02-11,2.93,2.93,2.87,2.92,3018100,0.0,0.0
1998-02-12,2.99,3.05,2.97,3.05,3441600,0.0,0.0
1998-02-13,3.01,3.01,2.97,2.98,1758900,0.0,0.0
1998-02-17,3.1,3.13,3.08,3.09,2099300,0.0,0.0
1998-02-18,3.1,3.15,3.09,3.14,1625200,0.0,0.0
1998-02-19,3.21,3.21,3.18,3.21,1119900,0.0,0.0
1998-02-20,3.23,3.23,3.12,3.13,1715800,0.0,0.0
1998-02-23,3.11,3.13,3.04,3.05,1025800,0.0,0.0
1998-02-24,3.08,3.14,3.06,3.12,2524300,0.0,0.0
1998-02-25,3.17,3.39,3.16,3.35,3694200,0.0,0.0
1998-02-26,3.5,3.5,3.41,3.43,1549000,0.0,0.0
1998-02-27,3.38,3.38,3.27,3.31,980400,0.0,0.0
1998-03-02,3.31,3.31,3.25,3.25,776400,0.0,0.0
1998-03-03,3.21,3.26,3.15,3.22,2349800,0.0,0.0
1998-03-04,3.08,3.11,3.05,3.06,1771700,0.0,0.0
1998-03-05,2.87,2.88,2.77,2.78,2941500,0.0,0.0
1998-03-06,2.89,3.09,2.89,3.04,2973300,0.0,0.0
1998-03-09,2.91,2.99,2.88,2.95,865800,0.0,0.0
1998-03-10,2.97,3.02,2.97,3.02,1176900,0.0,0.0
1998-03-11,3.14,3.17,3.13,3.14,1090000,0.0,0.0
1998-03-12,3.14,3.14,3.05,3.1,471100,0.0,0.0
1998-03-13,3.13,3.13,3.07,3.1,890400,0.0,0.0
1998-03-16,3.14,3.14,3.08,3.08,1241600,0.0,0.0
1998-03-17,3.09,3.09,2.95,2.96,2249800,0.0,0.0
1998-03-18,2.92,2.92,2.89,2.9,2121500,0.0,0.0
1998-03-19,2.92,2.98,2.92,2.97,1309400,0.0,0.0
1998-03-20,2.97,3.0,2.95,2.96,1987500,0.0,0.0
1998-03-23,2.87,2.9,2.87,2.88,726400,0.0,0.0
1998-03-24,2.94,3.0,2.94,2.98,930300,0.0,0.0
1998-03-25,3.11,3.14,3.08,3.11,2439100,0.0,0.0
1998-03-26,3.08,3.1,3.07,3.09,907100,0.0,0.0
1998-03-27,3.11,3.13,3.07,3.08,705300,0.0,0.0
1998-03-30,3.07,3.08,3.01,3.03,665700,0.0,0.0
1998-03-31,3.03,3.03,2.97,2.98,3265200,0.0,0.0
1998-04-01,2.97,2.97,2.93,2.96,1166500,0.0,0.0
1998-04-02,2.95,2.96,2.89,2.95,1445900,0.0,0.0
1998-04-03,2.95,2.95,2.91,2.92,599500,0.0,0.0
1998-04-06,2.93,2.95,2.92,2.92,330000,0.0,0.0
1998-04-07,2.88,2.88,2.82,2.82,1164300,0.0,0.0
1998-04-08,2.84,2.88,2.84,2.85,1172000,0.0,0.0
1998-04-09,2.79,2.85,2.79,2.83,828800,0.0,0.0
1998-04-13,2.77,2.77,2.68,2.7,1349900,0.0,0.0
1998-04-14,2.69,2.75,2.66,2.75,1474500,0.0,0.0
1998-04-15,2.77,2.79,2.75,2.78,1157900,0.0,0.0
1998-04-16,2.73,2.73,2.66,2.69,1010700,0.0,0.0
1998-04-17,2.64,2.64,2.61,2.62,1129700,0.0,0.0
1998-04-20,2.61,2.62,2.56,2.61,1067100,0.0,0.0
1998-04-21,2.64,2.72,2.64,2.71,1178200,0.0,0.0
1998-04-22,2.77,2.87,2.73,2.86,2118900,0.0,0.0
1998-04-23,2.81,2.83,2.79,2.8,2294100,0.0,0.0
