Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-11-10,38.59,41.75,38.3,40.52,80793700,0.0,0
1999-11-11,40.82,45.68,40.82,44.53,28309000,0.0,0
1999-11-12,45.13,45.5,41.12,41.86,14768100,0.0,0
1999-11-15,41.86,42.08,39.97,40.97,8675100,0.0,0
1999-11-16,40.3,40.38,38.59,39.19,6978600,0.0,0
1999-11-17,38.93,40.49,38.67,40.19,5806900,0.0,0
1999-11-18,40.34,40.93,39.26,39.37,4718700,0.0,0
1999-11-19,39.37,39.37,38.15,38.59,5091100,0.0,0
1999-11-22,38.04,38.15,36.22,37.48,4785400,0.0,0
1999-11-23,37.63,39.78,37.56,39.3,2832200,0.0,0
1999-11-24,39.37,40.67,39.33,40.37,2179400,0.3,0
1999-11-26,40.82,41.42,40.67,41.23,1322500,0.0,0
1999-11-29,41.75,41.9,39.96,40.63,1987000,0.0,0
1999-11-30,40.19,40.34,39.4,39.4,1686100,0.0,0
1999-12-01,39.52,40.19,39.14,39.29,1405700,0.0,0
1999-12-02,39.37,40.0,39.29,40.0,1391000,0.0,0
1999-12-03,40.22,40.37,39.55,39.63,1753500,0.0,0
1999-12-06,39.67,39.67,38.99,39.52,1398900,0.0,0
1999-12-07,39.33,40.56,39.29,40.56,1793100,0.0,0
1999-12-08,40.56,40.78,39.81,40.78,1774000,0.0,0
1999-12-09,40.78,41.01,39.74,40.26,1713600,0.0,0
1999-12-10,39.59,39.96,38.99,39.44,1248600,0.0,0
1999-12-13,39.59,39.93,38.7,39.37,1417800,0.0,0
1999-12-14,39.37,39.37,38.62,38.77,1886600,0.0,0
1999-12-15,38.77,38.81,37.99,38.02,1602800,0.0,0
1999-12-16,38.02,38.21,37.73,38.17,1364600,0.0,0
1999-12-17,38.62,40.34,38.58,39.74,1980800,0.0,0
1999-12-20,40.37,40.86,39.93,40.86,1501300,0.0,0
1999-12-21,40.71,41.16,40.26,41.16,1265200,0.0,0
1999-12-22,41.12,41.12,39.4,39.96,1264700,0.0,0
1999-12-23,39.67,40.49,39.14,40.41,1180600,0.0,0
1999-12-27,40.86,41.57,40.26,41.57,1478800,0.0,0
1999-12-28,41.45,41.57,40.6,41.16,1051400,0.0,0
1999-12-29,41.16,41.38,40.3,40.56,904700,0.0,0
1999-12-30,41.31,41.45,40.56,40.56,926700,0.0,0
1999-12-31,41.08,41.45,40.78,41.16,649300,0.0,0
2000-01-03,41.57,41.6,39.96,40.0,1273200,0.0,0
2000-01-04,39.96,39.96,38.55,38.73,1385800,0.0,0
2000-01-05,38.7,40.56,38.62,40.56,1401700,0.0,0
2000-01-06,39.29,40.63,38.77,40.56,1959100,0.0,0
2000-01-07,40.34,40.34,39.22,39.59,996000,0.0,0
2000-01-10,39.89,40.22,39.63,40.0,1191700,0.0,0
2000-01-11,40.04,40.22,38.92,38.92,1020000,0.0,0
2000-01-12,39.44,40.26,39.03,40.19,1097700,0.0,0
2000-01-13,40.34,40.86,40.19,40.75,1071200,0.0,0
2000-01-14,41.08,41.31,40.75,41.19,1160000,0.0,0
2000-01-18,41.16,41.16,40.19,40.97,980500,0.0,0
2000-01-19,40.86,40.9,40.22,40.71,1087300,0.0,0
2000-01-20,40.63,41.23,40.63,41.08,1972000,0.0,0
2000-01-21,41.08,41.08,39.78,40.11,1270100,0.0,0
2000-01-24,40.49,40.71,39.37,39.37,831400,0.0,0
2000-01-25,39.14,39.74,38.62,39.29,1263000,0.0,0
2000-01-26,38.92,39.14,38.47,38.85,933400,0.0,0
2000-01-27,38.96,38.99,38.17,38.85,1128400,0.0,0
2000-01-28,38.85,39.29,38.17,38.73,1324700,0.0,0
2000-01-31,37.58,38.17,35.19,35.79,5745800,0.0,0
2000-02-01,35.6,36.68,34.78,36.61,4761000,0.0,0
2000-02-02,35.64,35.75,34.11,34.74,4740600,0.0,0
2000-02-03,35.34,35.49,34.22,34.37,1951900,0.0,0
2000-02-04,34.71,34.71,33.44,33.63,1745200,0.0,0
2000-02-07,33.78,33.89,33.1,33.25,1480200,0.0,0
2000-02-08,33.55,35.42,33.25,35.42,2055100,0.0,0
2000-02-09,35.49,35.56,34.6,34.6,1209400,0.0,0
2000-02-10,34.63,34.89,33.7,34.04,995700,0.0,0
2000-02-11,33.89,34.0,32.88,32.88,1013900,0.0,0
2000-02-14,32.99,33.1,32.28,32.43,2052800,0.0,0
2000-02-15,32.47,32.81,31.95,32.77,1182900,0.0,0
2000-02-16,32.92,33.66,32.51,33.4,1530000,0.0,0
2000-02-17,33.7,34.74,33.48,34.6,1036000,0.0,0
2000-02-18,34.6,35.45,32.95,33.96,1529200,0.0,0
2000-02-22,33.96,33.96,32.54,32.81,1226000,0.0,0
2000-02-23,32.84,33.55,32.25,32.77,855700,0.0,0
2000-02-24,32.91,32.91,32.2,32.35,1049300,0.17,0
2000-02-25,32.87,33.36,32.35,33.21,961700,0.0,0
2000-02-28,33.24,33.28,32.61,32.91,565600,0.0,0
2000-02-29,32.91,33.09,32.61,32.68,750900,0.0,0
2000-03-01,32.68,32.72,31.04,31.41,1471000,0.0,0
2000-03-02,31.19,32.08,31.15,31.9,1136600,0.0,0
2000-03-03,31.9,32.01,31.45,31.52,1030700,0.0,0
2000-03-06,32.53,32.53,31.41,31.56,1431500,0.0,0
2000-03-07,31.56,31.6,29.32,30.29,2319100,0.0,0
2000-03-08,31.56,32.61,30.7,32.5,2275300,0.0,0
2000-03-09,32.61,32.61,31.37,31.71,1199700,0.0,0
2000-03-10,32.16,32.53,31.75,31.97,776700,0.0,0
2000-03-13,31.26,32.42,31.19,31.56,671700,0.0,0
2000-03-14,31.41,32.01,31.3,31.45,1072500,0.0,0
2000-03-15,31.67,33.13,30.89,32.87,2274800,0.0,0
2000-03-16,33.43,34.48,32.95,33.66,1635300,0.0,0
2000-03-17,34.14,34.14,33.21,33.21,622400,0.0,0
2000-03-20,33.81,34.03,33.06,33.84,843400,0.0,0
2000-03-21,33.69,34.93,33.06,34.81,889000,0.0,0
2000-03-22,34.81,35.34,33.99,34.03,763100,0.0,0
2000-03-23,33.99,35.86,33.51,35.67,1472900,0.0,0
2000-03-24,35.9,38.37,35.79,38.14,2148200,0.0,0
2000-03-27,37.69,38.29,37.47,37.81,960400,0.0,0
2000-03-28,37.4,37.69,35.94,36.05,639300,0.0,0
2000-03-29,36.65,36.65,34.89,35.34,869700,0.0,0
2000-03-30,35.19,35.97,34.89,35.04,682400,0.0,0
2000-03-31,35.64,37.69,34.81,37.68,727100,0.0,0
2000-04-03,37.1,37.1,35.3,35.53,830000,0.0,0
2000-04-04,35.53,35.75,33.13,34.59,1309000,0.0,0
2000-04-05,33.99,34.85,33.99,34.81,478000,0.0,0
2000-04-06,34.89,36.01,34.89,35.82,800700,0.0,0
2000-04-07,35.82,36.76,35.38,36.42,778200,0.0,0
2000-04-10,36.57,38.29,36.5,38.29,1275600,0.0,0
2000-04-11,37.88,37.88,37.17,37.81,616700,0.0,0
2000-04-12,37.58,37.62,36.65,36.8,608700,0.0,0
2000-04-13,36.8,36.8,35.56,36.05,566300,0.0,0
2000-04-14,35.0,35.15,32.91,32.91,859800,0.0,0
2000-04-17,34.1,35.6,32.91,34.7,1152900,0.0,0
2000-04-18,34.7,36.61,34.7,36.31,714900,0.0,0
2000-04-19,36.01,36.2,35.15,35.34,510200,0.0,0
2000-04-20,36.5,38.22,36.27,37.99,1730600,0.0,0
2000-04-24,37.69,37.84,37.1,37.47,1071000,0.0,0
2000-04-25,38.48,39.75,38.18,39.75,1644600,0.0,0
2000-04-26,39.79,40.05,38.85,39.6,1239300,0.0,0
2000-04-27,39.19,39.83,39.0,39.45,689400,0.0,0
2000-04-28,39.9,39.94,39.19,39.79,1011200,0.0,0
