,Date,CAT,AAPL
0,1962-01-02,0.13,0.0
1,1962-01-03,0.13,0.0
2,1962-01-04,0.14,0.0
3,1962-01-05,0.14,0.0
4,1962-01-08,0.14,0.0
5,1962-01-09,0.14,0.0
6,1962-01-10,0.14,0.0
7,1962-01-11,0.14,0.0
8,1962-01-12,0.14,0.0
9,1962-01-15,0.14,0.0
10,1962-01-16,0.14,0.0
11,1962-01-17,0.14,0.0
12,1962-01-18,0.14,0.0
13,1962-01-19,0.15,0.0
14,1962-01-22,0.15,0.0
15,1962-01-23,0.15,0.0
16,1962-01-24,0.14,0.0
17,1962-01-25,0.14,0.0
18,1962-01-26,0.14,0.0
19,1962-01-29,0.14,0.0
20,1962-01-30,0.15,0.0
21,1962-01-31,0.14,0.0
22,1962-02-01,0.14,0.0
23,1962-02-02,0.15,0.0
24,1962-02-05,0.15,0.0
25,1962-02-06,0.15,0.0
26,1962-02-07,0.15,0.0
27,1962-02-08,0.14,0.0
28,1962-02-09,0.14,0.0
29,1962-02-12,0.14,0.0
30,1962-02-13,0.14,0.0
31,1962-02-14,0.14,0.0
32,1962-02-15,0.14,0.0
33,1962-02-16,0.14,0.0
34,1962-02-19,0.14,0.0
35,1962-02-20,0.14,0.0
36,1962-02-21,0.14,0.0
37,1962-02-23,0.14,0.0
38,1962-02-26,0.14,0.0
39,1962-02-27,0.14,0.0
40,1962-02-28,0.14,0.0
41,1962-03-01,0.14,0.0
42,1962-03-02,0.14,0.0
43,1962-03-05,0.14,0.0
44,1962-03-06,0.14,0.0
45,1962-03-07,0.14,0.0
46,1962-03-08,0.14,0.0
47,1962-03-09,0.14,0.0
48,1962-03-12,0.14,0.0
49,1962-03-13,0.14,0.0
50,1962-03-14,0.14,0.0
51,1962-03-15,0.14,0.0
52,1962-03-16,0.14,0.0
53,1962-03-19,0.14,0.0
54,1962-03-20,0.14,0.0
55,1962-03-21,0.14,0.0
56,1962-03-22,0.14,0.0
57,1962-03-23,0.14,0.0
58,1962-03-26,0.14,0.0
59,1962-03-27,0.14,0.0
60,1962-03-28,0.14,0.0
61,1962-03-29,0.14,0.0
62,1962-03-30,0.14,0.0
63,1962-04-02,0.14,0.0
64,1962-04-03,0.14,0.0
65,1962-04-04,0.14,0.0
66,1962-04-05,0.14,0.0
67,1962-04-06,0.14,0.0
68,1962-04-09,0.14,0.0
69,1962-04-10,0.14,0.0
70,1962-04-11,0.14,0.0
71,1962-04-12,0.14,0.0
72,1962-04-13,0.14,0.0
73,1962-04-16,0.14,0.0
74,1962-04-17,0.13,0.0
75,1962-04-18,0.14,0.0
76,1962-04-19,0.14,0.0
77,1962-04-23,0.14,0.0
78,1962-04-24,0.13,0.0
79,1962-04-25,0.13,0.0
80,1962-04-26,0.13,0.0
81,1962-04-27,0.13,0.0
82,1962-04-30,0.13,0.0
83,1962-05-01,0.13,0.0
84,1962-05-02,0.13,0.0
85,1962-05-03,0.13,0.0
86,1962-05-04,0.13,0.0
87,1962-05-07,0.13,0.0
88,1962-05-08,0.13,0.0
89,1962-05-09,0.13,0.0
90,1962-05-10,0.13,0.0
91,1962-05-11,0.13,0.0
92,1962-05-14,0.13,0.0
93,1962-05-15,0.13,0.0
94,1962-05-16,0.13,0.0
95,1962-05-17,0.13,0.0
96,1962-05-18,0.13,0.0
97,1962-05-21,0.13,0.0
98,1962-05-22,0.13,0.0
99,1962-05-23,0.13,0.0
100,1962-05-24,0.12,0.0
101,1962-05-25,0.12,0.0
102,1962-05-28,0.12,0.0
103,1962-05-29,0.12,0.0
104,1962-05-31,0.12,0.0
105,1962-06-01,0.12,0.0
106,1962-06-04,0.12,0.0
107,1962-06-05,0.12,0.0
108,1962-06-06,0.12,0.0
109,1962-06-07,0.12,0.0
110,1962-06-08,0.12,0.0
111,1962-06-11,0.12,0.0
112,1962-06-12,0.12,0.0
113,1962-06-13,0.12,0.0
114,1962-06-14,0.12,0.0
115,1962-06-15,0.11,0.0
116,1962-06-18,0.12,0.0
117,1962-06-19,0.12,0.0
118,1962-06-20,0.12,0.0
119,1962-06-21,0.12,0.0
120,1962-06-22,0.11,0.0
121,1962-06-25,0.11,0.0
122,1962-06-26,0.1,0.0
123,1962-06-27,0.11,0.0
124,1962-06-28,0.11,0.0
125,1962-06-29,0.11,0.0
126,1962-07-02,0.11,0.0
127,1962-07-03,0.11,0.0
128,1962-07-05,0.12,0.0
129,1962-07-06,0.12,0.0
130,1962-07-09,0.12,0.0
131,1962-07-10,0.12,0.0
132,1962-07-11,0.12,0.0
133,1962-07-12,0.12,0.0
134,1962-07-13,0.12,0.0
135,1962-07-16,0.11,0.0
136,1962-07-17,0.12,0.0
137,1962-07-18,0.11,0.0
138,1962-07-19,0.11,0.0
139,1962-07-20,0.11,0.0
140,1962-07-23,0.11,0.0
141,1962-07-24,0.11,0.0
142,1962-07-25,0.11,0.0
143,1962-07-26,0.11,0.0
144,1962-07-27,0.11,0.0
145,1962-07-30,0.11,0.0
146,1962-07-31,0.11,0.0
147,1962-08-01,0.11,0.0
148,1962-08-02,0.11,0.0
149,1962-08-03,0.11,0.0
150,1962-08-06,0.11,0.0
151,1962-08-07,0.12,0.0
152,1962-08-08,0.11,0.0
153,1962-08-09,0.11,0.0
154,1962-08-10,0.11,0.0
155,1962-08-13,0.11,0.0
156,1962-08-14,0.11,0.0
157,1962-08-15,0.11,0.0
158,1962-08-16,0.12,0.0
159,1962-08-17,0.12,0.0
160,1962-08-20,0.12,0.0
161,1962-08-21,0.12,0.0
162,1962-08-22,0.12,0.0
163,1962-08-23,0.12,0.0
164,1962-08-24,0.12,0.0
165,1962-08-27,0.12,0.0
166,1962-08-28,0.13,0.0
167,1962-08-29,0.12,0.0
168,1962-08-30,0.12,0.0
169,1962-08-31,0.13,0.0
170,1962-09-04,0.13,0.0
171,1962-09-05,0.12,0.0
172,1962-09-06,0.12,0.0
173,1962-09-07,0.12,0.0
174,1962-09-10,0.12,0.0
175,1962-09-11,0.12,0.0
176,1962-09-12,0.12,0.0
177,1962-09-13,0.12,0.0
178,1962-09-14,0.12,0.0
179,1962-09-17,0.12,0.0
180,1962-09-18,0.12,0.0
181,1962-09-19,0.12,0.0
182,1962-09-20,0.12,0.0
183,1962-09-21,0.12,0.0
184,1962-09-24,0.12,0.0
185,1962-09-25,0.12,0.0
186,1962-09-26,0.12,0.0
187,1962-09-27,0.12,0.0
188,1962-09-28,0.11,0.0
189,1962-10-01,0.11,0.0
190,1962-10-02,0.11,0.0
191,1962-10-03,0.11,0.0
192,1962-10-04,0.11,0.0
193,1962-10-05,0.12,0.0
194,1962-10-08,0.11,0.0
195,1962-10-09,0.11,0.0
196,1962-10-10,0.11,0.0
197,1962-10-11,0.11,0.0
198,1962-10-12,0.11,0.0
199,1962-10-15,0.11,0.0
200,1962-10-16,0.12,0.0
201,1962-10-17,0.12,0.0
202,1962-10-18,0.12,0.0
203,1962-10-19,0.12,0.0
204,1962-10-22,0.11,0.0
205,1962-10-23,0.11,0.0
206,1962-10-24,0.11,0.0
207,1962-10-25,0.11,0.0
208,1962-10-26,0.11,0.0
209,1962-10-29,0.12,0.0
210,1962-10-30,0.11,0.0
211,1962-10-31,0.12,0.0
212,1962-11-01,0.12,0.0
213,1962-11-02,0.12,0.0
214,1962-11-05,0.12,0.0
215,1962-11-07,0.12,0.0
216,1962-11-08,0.13,0.0
217,1962-11-09,0.13,0.0
218,1962-11-12,0.13,0.0
219,1962-11-13,0.13,0.0
220,1962-11-14,0.13,0.0
221,1962-11-15,0.13,0.0
222,1962-11-16,0.13,0.0
223,1962-11-19,0.13,0.0
224,1962-11-20,0.13,0.0
225,1962-11-21,0.13,0.0
226,1962-11-23,0.13,0.0
227,1962-11-26,0.13,0.0
228,1962-11-27,0.13,0.0
229,1962-11-28,0.13,0.0
230,1962-11-29,0.13,0.0
231,1962-11-30,0.13,0.0
232,1962-12-03,0.13,0.0
233,1962-12-04,0.13,0.0
234,1962-12-05,0.14,0.0
235,1962-12-06,0.13,0.0
236,1962-12-07,0.14,0.0
237,1962-12-10,0.14,0.0
238,1962-12-11,0.13,0.0
239,1962-12-12,0.13,0.0
240,1962-12-13,0.13,0.0
241,1962-12-14,0.13,0.0
242,1962-12-17,0.13,0.0
243,1962-12-18,0.13,0.0
244,1962-12-19,0.13,0.0
245,1962-12-20,0.13,0.0
246,1962-12-21,0.13,0.0
247,1962-12-24,0.13,0.0
248,1962-12-26,0.13,0.0
249,1962-12-27,0.13,0.0
250,1962-12-28,0.13,0.0
251,1962-12-31,0.13,0.0
252,1963-01-02,0.13,0.0
253,1963-01-03,0.13,0.0
254,1963-01-04,0.13,0.0
255,1963-01-07,0.14,0.0
256,1963-01-08,0.14,0.0
257,1963-01-09,0.14,0.0
258,1963-01-10,0.14,0.0
259,1963-01-11,0.14,0.0
260,1963-01-14,0.14,0.0
261,1963-01-15,0.14,0.0
262,1963-01-16,0.14,0.0
263,1963-01-17,0.14,0.0
264,1963-01-18,0.14,0.0
265,1963-01-21,0.14,0.0
266,1963-01-22,0.13,0.0
267,1963-01-23,0.14,0.0
268,1963-01-24,0.13,0.0
269,1963-01-25,0.14,0.0
270,1963-01-28,0.14,0.0
271,1963-01-29,0.14,0.0
272,1963-01-30,0.14,0.0
273,1963-01-31,0.14,0.0
274,1963-02-01,0.14,0.0
275,1963-02-04,0.14,0.0
276,1963-02-05,0.14,0.0
277,1963-02-06,0.13,0.0
278,1963-02-07,0.14,0.0
279,1963-02-08,0.13,0.0
280,1963-02-11,0.13,0.0
281,1963-02-12,0.13,0.0
282,1963-02-13,0.13,0.0
283,1963-02-14,0.13,0.0
284,1963-02-15,0.13,0.0
285,1963-02-18,0.13,0.0
286,1963-02-19,0.13,0.0
287,1963-02-20,0.13,0.0
288,1963-02-21,0.13,0.0
289,1963-02-25,0.13,0.0
290,1963-02-26,0.13,0.0
291,1963-02-27,0.13,0.0
292,1963-02-28,0.13,0.0
293,1963-03-01,0.13,0.0
294,1963-03-04,0.13,0.0
295,1963-03-05,0.13,0.0
296,1963-03-06,0.13,0.0
297,1963-03-07,0.13,0.0
298,1963-03-08,0.13,0.0
299,1963-03-11,0.13,0.0
300,1963-03-12,0.13,0.0
301,1963-03-13,0.13,0.0
302,1963-03-14,0.13,0.0
303,1963-03-15,0.13,0.0
304,1963-03-18,0.13,0.0
305,1963-03-19,0.13,0.0
306,1963-03-20,0.13,0.0
307,1963-03-21,0.13,0.0
308,1963-03-22,0.13,0.0
309,1963-03-25,0.13,0.0
310,1963-03-26,0.13,0.0
311,1963-03-27,0.13,0.0
312,1963-03-28,0.13,0.0
313,1963-03-29,0.13,0.0
314,1963-04-01,0.13,0.0
315,1963-04-02,0.13,0.0
316,1963-04-03,0.13,0.0
317,1963-04-04,0.14,0.0
318,1963-04-05,0.14,0.0
319,1963-04-08,0.14,0.0
320,1963-04-09,0.14,0.0
321,1963-04-10,0.14,0.0
322,1963-04-11,0.14,0.0
323,1963-04-15,0.14,0.0
324,1963-04-16,0.14,0.0
325,1963-04-17,0.14,0.0
326,1963-04-18,0.14,0.0
327,1963-04-19,0.14,0.0
328,1963-04-22,0.14,0.0
329,1963-04-23,0.14,0.0
330,1963-04-24,0.13,0.0
331,1963-04-25,0.13,0.0
332,1963-04-26,0.14,0.0
333,1963-04-29,0.14,0.0
334,1963-04-30,0.14,0.0
335,1963-05-01,0.14,0.0
336,1963-05-02,0.14,0.0
337,1963-05-03,0.14,0.0
338,1963-05-06,0.14,0.0
339,1963-05-07,0.14,0.0
340,1963-05-08,0.14,0.0
341,1963-05-09,0.14,0.0
342,1963-05-10,0.14,0.0
343,1963-05-13,0.15,0.0
344,1963-05-14,0.15,0.0
345,1963-05-15,0.15,0.0
346,1963-05-16,0.15,0.0
347,1963-05-17,0.15,0.0
348,1963-05-20,0.15,0.0
349,1963-05-21,0.15,0.0
350,1963-05-22,0.15,0.0
351,1963-05-23,0.15,0.0
352,1963-05-24,0.15,0.0
353,1963-05-27,0.15,0.0
354,1963-05-28,0.15,0.0
355,1963-05-29,0.16,0.0
356,1963-05-31,0.16,0.0
357,1963-06-03,0.16,0.0
358,1963-06-04,0.17,0.0
359,1963-06-05,0.17,0.0
360,1963-06-06,0.17,0.0
361,1963-06-07,0.17,0.0
362,1963-06-10,0.16,0.0
363,1963-06-11,0.16,0.0
364,1963-06-12,0.16,0.0
365,1963-06-13,0.16,0.0
366,1963-06-14,0.16,0.0
367,1963-06-17,0.16,0.0
368,1963-06-18,0.16,0.0
369,1963-06-19,0.16,0.0
370,1963-06-20,0.16,0.0
371,1963-06-21,0.16,0.0
372,1963-06-24,0.16,0.0
373,1963-06-25,0.16,0.0
374,1963-06-26,0.16,0.0
375,1963-06-27,0.16,0.0
376,1963-06-28,0.16,0.0
377,1963-07-01,0.16,0.0
378,1963-07-02,0.16,0.0
379,1963-07-03,0.16,0.0
380,1963-07-05,0.16,0.0
381,1963-07-08,0.16,0.0
382,1963-07-09,0.16,0.0
383,1963-07-10,0.16,0.0
384,1963-07-11,0.17,0.0
385,1963-07-12,0.17,0.0
386,1963-07-15,0.17,0.0
387,1963-07-16,0.16,0.0
388,1963-07-17,0.16,0.0
389,1963-07-18,0.16,0.0
390,1963-07-19,0.16,0.0
391,1963-07-22,0.16,0.0
392,1963-07-23,0.16,0.0
393,1963-07-24,0.16,0.0
394,1963-07-25,0.16,0.0
395,1963-07-26,0.16,0.0
396,1963-07-29,0.15,0.0
397,1963-07-30,0.15,0.0
398,1963-07-31,0.16,0.0
399,1963-08-01,0.16,0.0
400,1963-08-02,0.16,0.0
401,1963-08-05,0.16,0.0
402,1963-08-06,0.16,0.0
403,1963-08-07,0.16,0.0
404,1963-08-08,0.16,0.0
405,1963-08-09,0.16,0.0
406,1963-08-12,0.16,0.0
407,1963-08-13,0.16,0.0
408,1963-08-14,0.16,0.0
409,1963-08-15,0.16,0.0
410,1963-08-16,0.16,0.0
411,1963-08-19,0.16,0.0
412,1963-08-20,0.17,0.0
413,1963-08-21,0.17,0.0
414,1963-08-22,0.17,0.0
415,1963-08-23,0.17,0.0
416,1963-08-26,0.17,0.0
417,1963-08-27,0.17,0.0
418,1963-08-28,0.16,0.0
419,1963-08-29,0.17,0.0
420,1963-08-30,0.17,0.0
421,1963-09-03,0.16,0.0
422,1963-09-04,0.16,0.0
423,1963-09-05,0.16,0.0
424,1963-09-06,0.16,0.0
425,1963-09-09,0.16,0.0
426,1963-09-10,0.16,0.0
427,1963-09-11,0.16,0.0
428,1963-09-12,0.16,0.0
429,1963-09-13,0.16,0.0
430,1963-09-16,0.16,0.0
431,1963-09-17,0.16,0.0
432,1963-09-18,0.16,0.0
433,1963-09-19,0.16,0.0
434,1963-09-20,0.16,0.0
435,1963-09-23,0.16,0.0
436,1963-09-24,0.16,0.0
437,1963-09-25,0.16,0.0
438,1963-09-26,0.16,0.0
439,1963-09-27,0.15,0.0
440,1963-09-30,0.16,0.0
441,1963-10-01,0.16,0.0
442,1963-10-02,0.16,0.0
443,1963-10-03,0.16,0.0
444,1963-10-04,0.16,0.0
445,1963-10-07,0.16,0.0
446,1963-10-08,0.16,0.0
447,1963-10-09,0.16,0.0
448,1963-10-10,0.16,0.0
449,1963-10-11,0.16,0.0
450,1963-10-14,0.16,0.0
451,1963-10-15,0.16,0.0
452,1963-10-16,0.16,0.0
453,1963-10-17,0.16,0.0
454,1963-10-18,0.16,0.0
455,1963-10-21,0.16,0.0
456,1963-10-22,0.16,0.0
457,1963-10-23,0.16,0.0
458,1963-10-24,0.16,0.0
459,1963-10-25,0.16,0.0
460,1963-10-28,0.16,0.0
461,1963-10-29,0.17,0.0
462,1963-10-30,0.18,0.0
463,1963-10-31,0.17,0.0
464,1963-11-01,0.17,0.0
465,1963-11-04,0.17,0.0
466,1963-11-06,0.17,0.0
467,1963-11-07,0.17,0.0
468,1963-11-08,0.17,0.0
469,1963-11-11,0.17,0.0
470,1963-11-12,0.17,0.0
471,1963-11-13,0.17,0.0
472,1963-11-14,0.17,0.0
473,1963-11-15,0.17,0.0
474,1963-11-18,0.17,0.0
475,1963-11-19,0.17,0.0
476,1963-11-20,0.17,0.0
477,1963-11-21,0.18,0.0
478,1963-11-22,0.17,0.0
479,1963-11-26,0.17,0.0
480,1963-11-27,0.17,0.0
481,1963-11-29,0.17,0.0
482,1963-12-02,0.17,0.0
483,1963-12-03,0.18,0.0
484,1963-12-04,0.18,0.0
485,1963-12-05,0.18,0.0
486,1963-12-06,0.18,0.0
487,1963-12-09,0.18,0.0
488,1963-12-10,0.18,0.0
489,1963-12-11,0.18,0.0
490,1963-12-12,0.18,0.0
491,1963-12-13,0.18,0.0
492,1963-12-16,0.17,0.0
493,1963-12-17,0.18,0.0
494,1963-12-18,0.18,0.0
495,1963-12-19,0.18,0.0
496,1963-12-20,0.17,0.0
497,1963-12-23,0.17,0.0
498,1963-12-24,0.18,0.0
499,1963-12-26,0.17,0.0
500,1963-12-27,0.18,0.0
501,1963-12-30,0.18,0.0
502,1963-12-31,0.18,0.0
503,1964-01-02,0.18,0.0
504,1964-01-03,0.18,0.0
505,1964-01-06,0.18,0.0
506,1964-01-07,0.18,0.0
507,1964-01-08,0.18,0.0
508,1964-01-09,0.18,0.0
509,1964-01-10,0.18,0.0
510,1964-01-13,0.19,0.0
511,1964-01-14,0.19,0.0
512,1964-01-15,0.19,0.0
513,1964-01-16,0.19,0.0
514,1964-01-17,0.19,0.0
515,1964-01-20,0.19,0.0
516,1964-01-21,0.19,0.0
517,1964-01-22,0.19,0.0
518,1964-01-23,0.19,0.0
519,1964-01-24,0.19,0.0
520,1964-01-27,0.19,0.0
521,1964-01-28,0.19,0.0
522,1964-01-29,0.19,0.0
523,1964-01-30,0.2,0.0
524,1964-01-31,0.19,0.0
525,1964-02-03,0.19,0.0
526,1964-02-04,0.19,0.0
527,1964-02-05,0.19,0.0
528,1964-02-06,0.19,0.0
529,1964-02-07,0.19,0.0
530,1964-02-10,0.19,0.0
